index,nutrient_sums,suitable_combinations
0,"豆腐(内脂): 400.0克,鸡蛋: 50.0克,香菜: 10.0克,火腿: 50.0克,猪肉(瘦): 50.0克,玉米淀粉: 25.0克,精盐: 1.0克,花生油: 1.0克"," (18, 30)_男_低,YES: 烟酸(毫克): 8.745000000000001 within (5.0, 11.666666666666666),铁(毫克): 8.129 within (4.0, 14.0),维生素E(毫克): 15.0306 within (4.666666666666667, 233.33333333333334),锌(毫克): 5.3997 within (4.0, 13.333333333333334),铜(毫克): 0.7313999999999999 within (0.26666666666666666, 2.6666666666666665),磷(毫克): 443.79999999999995 within (240.0, 1166.6666666666667), NO: 硫胺素(毫克): 0.7165不合适,钙(毫克): 115.44 not (266.6666666666667, 666.6666666666666),蛋白质(克): 45.279999999999994 not (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.374不合适,镁(毫克): 128.34000000000003不合适,脂肪(克): 29.863999999999997 not (15.933333333333332, 23.900000000000002),维生素C(毫克): 4.800000000000001 not (33.333333333333336, 666.6666666666666),锰(毫克): 1.1417 not (1.5, 3.6666666666666665),膳食纤维(克): 1.745 not (8.333333333333334, 10.0),维生素A(微克): 162.0 not (256.6666666666667, 1000.0),钾(毫克): 748.85不合适,钠(毫克): 1063.0200000000002不合适,硒(微克): 16.873000000000005 not (20.0, 133.33333333333334)"
1,"鸡蛋: 50.0克,香蕉: 50.0克,小麦粉(标准粉): 50.0克,芝麻籽(白): 5.0克,精盐: 1.0克,花生油: 1.0克"," (18, 30)_男_低,YES: 铜(毫克): 0.3974 within (0.26666666666666666, 2.6666666666666665),钠(毫克): 462.555符合, NO: 硫胺素(毫克): 0.2285不合适,钙(毫克): 77.34 not (266.6666666666667, 666.6666666666666),蛋白质(克): 13.715 not (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.22450000000000003不合适,镁(毫克): 53.64000000000001不合适,脂肪(克): 8.294 not (15.933333333333332, 23.900000000000002),烟酸(毫克): 1.6225 not (5.0, 11.666666666666666),铁(毫克): 3.6239999999999997 not (4.0, 14.0),维生素C(毫克): 4.35 not (33.333333333333336, 666.6666666666666),锰(毫克): 0.9997 not (1.5, 3.6666666666666665),膳食纤维(克): 2.8400000000000003 not (8.333333333333334, 10.0),维生素E(毫克): 4.2046 not (4.666666666666667, 233.33333333333334),锌(毫克): 1.6626999999999998 not (4.0, 13.333333333333334),维生素A(微克): 126.6 not (256.6666666666667, 1000.0),钾(毫克): 364.45不合适,磷(毫克): 195.8 not (240.0, 1166.6666666666667),硒(微克): 10.562999999999999 not (20.0, 133.33333333333334)"
2,"鲑鱼[大麻哈鱼]: 100.0克,橄榄油: 10.0克,精盐: 2.0克,罗勒: 2.0克,全麦面包: 50.0克,生菜: 20.0克,樱桃: 50.0克,午餐肉: 20.0克,甜面酱: 10.0克,樱桃: 20.0克,蓝莓: 2.0克"," (18, 30)_男_低,YES: 蛋白质(克): 26.987799999999996 within (21.666666666666668, 35.833333333333336),脂肪(克): 22.9694 within (15.933333333333332, 23.900000000000002),烟酸(毫克): 9.542359999999999 within (5.0, 11.666666666666666),维生素A(微克): 546.7239999999999 within (256.6666666666667, 1000.0),铜(毫克): 0.26944 within (0.26666666666666666, 2.6666666666666665),磷(毫克): 310.04 within (240.0, 1166.6666666666667),硒(微克): 44.05 within (20.0, 133.33333333333334), NO: 硫胺素(毫克): 0.34674000000000005不合适,钙(毫克): 128.96 not (266.6666666666667, 666.6666666666666),核黄素(毫克): 0.31832000000000005不合适,镁(毫克): 92.97999999999999不合适,铁(毫克): 2.6606 not (4.0, 14.0),维生素C(毫克): 9.134 not (33.333333333333336, 666.6666666666666),锰(毫克): 1.31712 not (1.5, 3.6666666666666665),膳食纤维(克): 3.736 not (8.333333333333334, 10.0),维生素E(毫克): 3.9514000000000005 not (4.666666666666667, 233.33333333333334),锌(毫克): 2.6264000000000003 not (4.0, 13.333333333333334),钾(毫克): 750.6399999999999不合适,钠(毫克): 1494.454不合适"
3,"精盐: 5.0克,柠檬: 50.0克,花生油: 1.0克"," (18, 30)_男_低,YES: , NO: 硫胺素(毫克): 0.025不合适,钙(毫克): 51.72 not (266.6666666666667, 666.6666666666666),蛋白质(克): 0.55 not (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.01不合适,镁(毫克): 18.62不合适,脂肪(克): 1.5990000000000002 not (15.933333333333332, 23.900000000000002),烟酸(毫克): 0.3 not (5.0, 11.666666666666666),铁(毫克): 0.479 not (4.0, 14.0),维生素C(毫克): 11.0 not (33.333333333333336, 666.6666666666666),锰(毫克): 0.0428 not (1.5, 3.6666666666666665),膳食纤维(克): 0.65 not (8.333333333333334, 10.0),维生素E(毫克): 0.9905999999999999 not (4.666666666666667, 233.33333333333334),锌(毫克): 0.34180000000000005 not (4.0, 13.333333333333334),维生素A(微克): 0.0 not (256.6666666666667, 1000.0),铜(毫克): 0.07850000000000001 not (0.26666666666666666, 2.6666666666666665),钾(毫克): 105.21000000000001不合适,磷(毫克): 11.15 not (240.0, 1166.6666666666667),钠(毫克): 1966.1350000000002不合适,硒(微克): 0.3 not (20.0, 133.33333333333334)"
4,"鸡腿: 200.0克,胡萝卜: 50.0克,土豆: 100.0克,洋葱: 25.0克,青豆: 30.0克,咖喱粉: 50.0克,精盐: 2.0克,酱油: 10.0克,火腿: 10.0克,玉米粒: 10.0克,海苔: 5.0克,番茄酱: 5.0克,花生油: 1.0克"," (18, 30)_男_低,YES: 硫胺素(毫克): 0.45970000000000005符合,钙(毫克): 386.21 within (266.6666666666667, 666.6666666666666),维生素C(毫克): 41.45 within (33.333333333333336, 666.6666666666666),维生素E(毫克): 16.877099999999995 within (4.666666666666667, 233.33333333333334),锌(毫克): 6.786600000000002 within (4.0, 13.333333333333334),铜(毫克): 1.46105 within (0.26666666666666666, 2.6666666666666665),磷(毫克): 782.15 within (240.0, 1166.6666666666667),硒(微克): 51.081 within (20.0, 133.33333333333334), NO: 蛋白质(克): 57.192 not (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.59775不合适,镁(毫克): 298.15999999999997不合适,脂肪(克): 42.664 not (15.933333333333332, 23.900000000000002),烟酸(毫克): 18.235000000000003 not (5.0, 11.666666666666666),铁(毫克): 17.4155 not (4.0, 14.0),锰(毫克): 5.33385 not (1.5, 3.6666666666666665),膳食纤维(克): 36.10999999999999 not (8.333333333333334, 10.0),维生素A(微克): 2750.07 not (256.6666666666667, 1000.0),钾(毫克): 2056.7400000000002不合适,钠(毫克): 1855.7700000000002不合适"
5,"小麦粉: 162.0克,鸡蛋: 50.0克,红糖: 57.0克,酵母(干): 3.0克,泡打粉: 1.0克,红豆馅: 70.0克,枣: 50.0克,葡萄干: 30.0克,精盐: 1.0克,花生油: 1.0克"," (18, 30)_男_低,YES: 蛋白质(克): 31.332 within (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.42010000000000003符合,烟酸(毫克): 6.5072 within (5.0, 11.666666666666666),铁(毫克): 12.261 within (4.0, 14.0),维生素C(毫克): 36.0 within (33.333333333333336, 666.6666666666666),锰(毫克): 3.0412999999999997 within (1.5, 3.6666666666666665),膳食纤维(克): 9.671000000000001 within (8.333333333333334, 10.0),维生素E(毫克): 10.6756 within (4.666666666666667, 233.33333333333334),锌(毫克): 4.122700000000001 within (4.0, 13.333333333333334),铜(毫克): 1.1153 within (0.26666666666666666, 2.6666666666666665),磷(毫克): 602.26 within (240.0, 1166.6666666666667), NO: 硫胺素(毫克): 0.7761000000000001不合适,钙(毫克): 242.04999999999998 not (266.6666666666667, 666.6666666666666),镁(毫克): 144.71000000000004不合适,脂肪(克): 10.623999999999999 not (15.933333333333332, 23.900000000000002),维生素A(微克): 127.374 not (256.6666666666667, 1000.0),钾(毫克): 1204.45不合适,钠(毫克): 1031.488不合适,硒(微克): 19.5762 not (20.0, 133.33333333333334)"
6,"鸡腿: 850.0克,调味料: 50.0克,泡打粉: 2.0克,鸡蛋: 50.0克,小麦粉(标准粉): 100.0克,玉米淀粉: 40.0克,精盐: 5.0克,洋葱粉: 5.0克,蒜: 5.0克,辣椒粉: 1.0克,咖喱粉: 1.0克,胡椒粉(黑色): 1.0克,花生油: 1.0克"," (18, 30)_男_低,YES: 锰(毫克): 2.2915300000000003 within (1.5, 3.6666666666666665),锌(毫克): 12.361800000000004 within (4.0, 13.333333333333334),维生素A(微克): 524.063 within (256.6666666666667, 1000.0),铜(毫克): 1.43575 within (0.26666666666666666, 2.6666666666666665),硒(微克): 120.21700000000001 within (20.0, 133.33333333333334), NO: 硫胺素(毫克): 0.56779不合适,钙(毫克): 265.45 not (266.6666666666667, 666.6666666666666),蛋白质(克): 167.6693 not (21.666666666666668, 35.833333333333336),核黄素(毫克): 1.5425000000000004不合适,镁(毫克): 370.48999999999995不合适,脂肪(克): 117.94170000000003 not (15.933333333333332, 23.900000000000002),烟酸(毫克): 56.461479999999995 not (5.0, 11.666666666666666),铁(毫克): 20.368100000000005 not (4.0, 14.0),维生素C(毫克): 2.737 not (33.333333333333336, 666.6666666666666),膳食纤维(克): 4.269 not (8.333333333333334, 10.0),维生素E(毫克): 3.8792000000000004 not (4.666666666666667, 233.33333333333334),钾(毫克): 2727.7799999999997不合适,磷(毫克): 2025.2700000000002 not (240.0, 1166.6666666666667),钠(毫克): 11685.775000000001不合适"
7,"鲫鱼[喜头鱼，海附鱼]: 400.0克,羊排: 300.0克,羊排: 300.0克,猪肚: 200.0克,香菇: 200.0克,大白菜: 300.0克,油面筋: 100.0克,白萝卜: 200.0克,大葱: 50.0克,小葱: 50.0克,姜: 50.0克,香菜: 50.0克,崇明老白酒: 30.0克,黄酒: 50.0克,精盐: 5.0克,花椒: 3.0克,胡椒粉: 3.0克,猪油(板油): 10.0克"," (18, 30)_男_低,YES: 维生素C(毫克): 180.0 within (33.333333333333336, 666.6666666666666),维生素E(毫克): 21.9121 within (4.666666666666667, 233.33333333333334),铜(毫克): 1.7872000000000001 within (0.26666666666666666, 2.6666666666666665),硒(微克): 123.55799999999999 within (20.0, 133.33333333333334), NO: 硫胺素(毫克): 1.6463000000000003不合适,钙(毫克): 817.8299999999999 not (266.6666666666667, 666.6666666666666),蛋白质(克): 250.68900000000008 not (21.666666666666668, 35.833333333333336),核黄素(毫克): 3.054699999999999不合适,镁(毫克): 481.37不合适,脂肪(克): 129.853 not (15.933333333333332, 23.900000000000002),烟酸(毫克): 53.852000000000004 not (5.0, 11.666666666666666),铁(毫克): 29.735000000000003 not (4.0, 14.0),锰(毫克): 5.0511 not (1.5, 3.6666666666666665),膳食纤维(克): 16.529999999999998 not (8.333333333333334, 10.0),锌(毫克): 38.30590000000001 not (4.0, 13.333333333333334),维生素A(微克): 4504.09 not (256.6666666666667, 1000.0),钾(毫克): 3692.8399999999997不合适,磷(毫克): 2526.23 not (240.0, 1166.6666666666667),钠(毫克): 3059.669不合适"
8,"燕麦片: 55.0克,鸡蛋: 99.0克,洋葱: 36.0克,胡萝卜: 50.0克,精盐: 2.0克,胡椒粉: 1.0克,五香粉: 1.0克,酱油: 5.0克,胡椒粉(黑色): 1.0克,花生油: 1.0克"," (18, 30)_男_低,YES: 蛋白质(克): 22.837900000000005 within (21.666666666666668, 35.833333333333336),铁(毫克): 6.6532 within (4.0, 14.0),锰(毫克): 2.15507 within (1.5, 3.6666666666666665),铜(毫克): 0.46789000000000003 within (0.26666666666666666, 2.6666666666666665),磷(毫克): 325.5 within (240.0, 1166.6666666666667), NO: 硫胺素(毫克): 0.3275400000000001不合适,钙(毫克): 190.19000000000003 not (266.6666666666667, 666.6666666666666),核黄素(毫克): 0.3856700000000001不合适,镁(毫克): 122.23不合适,脂肪(克): 13.7121 not (15.933333333333332, 23.900000000000002),烟酸(毫克): 1.57709 not (5.0, 11.666666666666666),维生素C(毫克): 5.614000000000001 not (33.333333333333336, 666.6666666666666),膳食纤维(克): 5.281 not (8.333333333333334, 10.0),维生素E(毫克): 4.374200000000001 not (4.666666666666667, 233.33333333333334),锌(毫克): 2.7678999999999996 not (4.0, 13.333333333333334),维生素A(微克): 2739.5170000000003 not (256.6666666666667, 1000.0),钾(毫克): 531.5699999999999不合适,钠(毫克): 1295.9360000000001不合适,硒(微克): 17.0398 not (20.0, 133.33333333333334)"
9,"腊肠: 50.0克,胡萝卜: 50.0克,土豆: 100.0克,玉米: 50.0克,精盐: 5.0克,蚝油: 10.0克,生抽: 10.0克,芝麻油: 10.0克,老抽: 5.0克"," (18, 30)_男_低,YES: 铁(毫克): 4.0649999999999995 within (4.0, 14.0),维生素C(毫克): 37.95 within (33.333333333333336, 666.6666666666666),维生素E(毫克): 7.423000000000001 within (4.666666666666667, 233.33333333333334),铜(毫克): 0.2795 within (0.26666666666666666, 2.6666666666666665), NO: 硫胺素(毫克): 0.21750000000000003不合适,钙(毫克): 43.95 not (266.6666666666667, 666.6666666666666),蛋白质(克): 17.11 not (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.20600000000000002不合适,镁(毫克): 63.300000000000004不合适,脂肪(克): 35.095000000000006 not (15.933333333333332, 23.900000000000002),烟酸(毫克): 4.663499999999999 not (5.0, 11.666666666666666),锰(毫克): 0.5894999999999999 not (1.5, 3.6666666666666665),膳食纤维(克): 3.57 not (8.333333333333334, 10.0),锌(毫克): 2.447 not (4.0, 13.333333333333334),维生素A(微克): 2538.3 not (256.6666666666667, 1000.0),钾(毫克): 749.6000000000001不合适,磷(毫克): 177.55 not (240.0, 1166.6666666666667),钠(毫克): 4147.41不合适,硒(微克): 6.304999999999999 not (20.0, 133.33333333333334)"
