index,nutrient_sums,suitable_combinations
0,"豆腐(内脂): 360.7克,鸡蛋: 111.4克,香菜: 49.9克,火腿: 10.0克,猪肉(瘦): 13.2克,玉米淀粉: 0.0克,精盐: 6.0克,花生油: 0.0克"," (18, 30)_男_低,YES: 硫胺素(毫克): 0.4582符合,核黄素(毫克): 0.50105符合,镁(毫克): 119.595符合,脂肪(克): 20.4145 within (15.933333333333332, 23.900000000000002),铁(毫克): 7.236699999999999 within (4.0, 14.0),维生素E(毫克): 14.332659999999999 within (4.666666666666667, 233.33333333333334),锌(毫克): 4.05888 within (4.0, 13.333333333333334),维生素A(微克): 271.08400000000006 within (256.6666666666667, 1000.0),铜(毫克): 0.7717199999999999 within (0.26666666666666666, 2.6666666666666665),钾(毫克): 713.0490000000001符合,磷(毫克): 408.818 within (240.0, 1166.6666666666667),硒(微克): 20.769900000000003 within (20.0, 133.33333333333334), NO: 钙(毫克): 176.514 not (266.6666666666667, 666.6666666666666),蛋白质(克): 38.02900000000001 not (21.666666666666668, 35.833333333333336),烟酸(毫克): 3.9623 not (5.0, 11.666666666666666),维生素C(毫克): 23.951999999999998 not (33.333333333333336, 666.6666666666666),锰(毫克): 1.1474600000000001 not (1.5, 3.6666666666666665),膳食纤维(克): 2.0416 not (8.333333333333334, 10.0),钠(毫克): 2668.6973不合适"
7,"鲫鱼[喜头鱼，海附鱼]: 0.0克,羊排: 88.1克,羊排: 0.0克,猪肚: 9.3克,香菇: 49.8克,大白菜: 389.9克,油面筋: 0.0克,白萝卜: 237.6克,大葱: 19.0克,小葱: 70.1克,姜: 30.4克,香菜: 96.6克,崇明老白酒: 51.4克,黄酒: 33.1克,精盐: 2.9克,花椒: 1.3克,胡椒粉: 2.2克,猪油(板油): 18.1克"," (18, 30)_男_低,YES: 硫胺素(毫克): 0.4575799999999999符合,钙(毫克): 466.465 within (266.6666666666667, 666.6666666666666),蛋白质(克): 31.0249 within (21.666666666666668, 35.833333333333336),烟酸(毫克): 10.984799999999998 within (5.0, 11.666666666666666),铁(毫克): 10.6893 within (4.0, 14.0),维生素C(毫克): 236.29999999999998 within (33.333333333333336, 666.6666666666666),锰(毫克): 2.5261 within (1.5, 3.6666666666666665),维生素E(毫克): 10.952250000000001 within (4.666666666666667, 233.33333333333334),锌(毫克): 6.759989999999999 within (4.0, 13.333333333333334),铜(毫克): 0.69514 within (0.26666666666666666, 2.6666666666666665),磷(毫克): 466.02200000000005 within (240.0, 1166.6666666666667), NO: 核黄素(毫克): 0.7880799999999999不合适,镁(毫克): 168.456不合适,脂肪(克): 29.036300000000004 not (15.933333333333332, 23.900000000000002),膳食纤维(克): 10.770700000000001 not (8.333333333333334, 10.0),维生素A(微克): 5390.7406 not (256.6666666666667, 1000.0),钾(毫克): 1119.746不合适,钠(毫克): 1662.2513不合适,硒(微克): 8.839929999999999 not (20.0, 133.33333333333334)"
8,"燕麦片: 95.9克,鸡蛋: 124.5克,洋葱: 30.4克,胡萝卜: 44.6克,精盐: 2.5克,胡椒粉: 2.0克,五香粉: 1.1克,酱油: 8.4克,胡椒粉(黑色): 0.8克,花生油: 0.7克"," (18, 30)_男_低,YES: 硫胺素(毫克): 0.474262符合,钙(毫克): 277.44100000000003 within (266.6666666666667, 666.6666666666666),蛋白质(克): 32.5668 within (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.5070220000000001符合,脂肪(克): 18.41896000000001 within (15.933333333333332, 23.900000000000002),铁(毫克): 10.111740000000005 within (4.0, 14.0),锰(毫克): 3.5108180000000004 within (1.5, 3.6666666666666665),维生素E(毫克): 5.9436 within (4.666666666666667, 233.33333333333334),锌(毫克): 4.10552 within (4.0, 13.333333333333334),铜(毫克): 0.68901 within (0.26666666666666666, 2.6666666666666665),钾(毫克): 648.195符合,磷(毫克): 478.77600000000007 within (240.0, 1166.6666666666667),硒(微克): 22.53042 within (20.0, 133.33333333333334), NO: 镁(毫克): 197.98100000000002不合适,烟酸(毫克): 2.1726780000000003 not (5.0, 11.666666666666666),维生素C(毫克): 4.881 not (33.333333333333336, 666.6666666666666),膳食纤维(克): 7.197 not (8.333333333333334, 10.0),维生素A(微克): 2528.288 not (256.6666666666667, 1000.0),钠(毫克): 1755.4925不合适"
9,"腊肠: 100.0克,胡萝卜: 80.7克,土豆: 193.9克,玉米: 45.9克,精盐: 0.0克,蚝油: 20.0克,生抽: 15.3克,芝麻油: 14.6克,老抽: 7.4克"," (18, 30)_男_低,YES: 蛋白质(克): 31.32351 within (21.666666666666668, 35.833333333333336),镁(毫克): 102.70000000000002符合,烟酸(毫克): 8.001941 within (5.0, 11.666666666666666),铁(毫克): 6.9239000000000015 within (4.0, 14.0),维生素C(毫克): 64.4583 within (33.333333333333336, 666.6666666666666),维生素E(毫克): 10.769139999999998 within (4.666666666666667, 233.33333333333334),锌(毫克): 4.266720000000001 within (4.0, 13.333333333333334),铜(毫克): 0.46344500000000005 within (0.26666666666666666, 2.6666666666666665),磷(毫克): 275.069 within (240.0, 1166.6666666666667), NO: 硫胺素(毫克): 0.329102不合适,钙(毫克): 76.90299999999999 not (266.6666666666667, 666.6666666666666),核黄素(毫克): 0.331606不合适,脂肪(克): 64.08598 not (15.933333333333332, 23.900000000000002),锰(毫克): 0.9253509999999999 not (1.5, 3.6666666666666665),膳食纤维(克): 4.9879999999999995 not (8.333333333333334, 10.0),维生素A(微克): 4074.5721000000003 not (256.6666666666667, 1000.0),钾(毫克): 1261.142不合适,钠(毫克): 3869.8288000000002不合适,硒(微克): 11.45079 not (20.0, 133.33333333333334)"
10,"鸡蛋: 65.0克,甘蓝菜: 274.1克,牛肉(瘦): 89.6克,精盐: 0.5克,花生油: 0.0克"," (18, 30)_男_低,YES: 钙(毫克): 395.422 within (266.6666666666667, 666.6666666666666),蛋白质(克): 34.419 within (21.666666666666668, 35.833333333333336),烟酸(毫克): 8.515799999999999 within (5.0, 11.666666666666666),铁(毫克): 9.2958 within (4.0, 14.0),维生素C(毫克): 208.316 within (33.333333333333336, 666.6666666666666),锰(毫克): 1.5160200000000001 within (1.5, 3.6666666666666665),锌(毫克): 7.6036600000000005 within (4.0, 13.333333333333334),维生素A(微克): 955.9293 within (256.6666666666667, 1000.0),铜(毫克): 0.54307 within (0.26666666666666666, 2.6666666666666665),钾(毫克): 639.6980000000001符合,磷(毫克): 375.66200000000003 within (240.0, 1166.6666666666667),钠(毫克): 468.47610000000003符合,硒(微克): 21.190879999999996 within (20.0, 133.33333333333334), NO: 硫胺素(毫克): 0.18904不合适,核黄素(毫克): 0.53867不合适,镁(毫克): 74.664不合适,脂肪(克): 8.8772 not (15.933333333333332, 23.900000000000002),膳食纤维(克): 4.3856 not (8.333333333333334, 10.0),维生素E(毫克): 4.14096 not (4.666666666666667, 233.33333333333334)"
12,"鸡腿: 0.0克,黄瓜: 300.0克,胡萝卜: 46.5克,黄豆芽: 134.1克,面条均值: 233.1克,花生酱: 8.3克,海鲜酱汁: 51.5克,精盐: 0.8克,花生油: 1.6克"," (18, 30)_男_低,YES: 蛋白质(克): 30.041600000000003 within (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.5072150000000001符合,烟酸(毫克): 5.587645 within (5.0, 11.666666666666666),铁(毫克): 11.750149999999998 within (4.0, 14.0),锰(毫克): 2.9025049999999997 within (1.5, 3.6666666666666665),膳食纤维(克): 8.369299999999999 within (8.333333333333334, 10.0),锌(毫克): 5.189149999999999 within (4.0, 13.333333333333334),铜(毫克): 0.8347249999999999 within (0.26666666666666666, 2.6666666666666665),磷(毫克): 592.4110000000002 within (240.0, 1166.6666666666667),硒(微克): 30.662619999999997 within (20.0, 133.33333333333334), NO: 硫胺素(毫克): 0.6810399999999999不合适,钙(毫克): 139.55599999999998 not (266.6666666666667, 666.6666666666666),镁(毫克): 177.801不合适,脂肪(克): 11.96215 not (15.933333333333332, 23.900000000000002),维生素C(毫克): 22.077499999999997 not (33.333333333333336, 666.6666666666666),维生素E(毫克): 3.8356200000000005 not (4.666666666666667, 233.33333333333334),维生素A(微克): 2432.619 not (256.6666666666667, 1000.0),钾(毫克): 1188.6750000000002不合适,钠(毫克): 1453.4972不合适"
13,"鳜鱼[桂鱼，花鲫鱼]: 93.1克,姜: 40.0克,大葱: 100.0克,甜椒[灯笼椒，柿子椒]: 22.9克,酱油: 10.9克,花生油: 100.0克,精盐: 0.5克"," (18, 30)_男_低,YES: 蛋白质(克): 21.738899999999997 within (21.666666666666668, 35.833333333333336),烟酸(毫克): 6.827252 within (5.0, 11.666666666666666),铁(毫克): 5.315169999999999 within (4.0, 14.0),维生素C(毫克): 35.088 within (33.333333333333336, 666.6666666666666),锰(毫克): 1.9577600000000002 within (1.5, 3.6666666666666665),维生素E(毫克): 43.305080000000004 within (4.666666666666667, 233.33333333333334),铜(毫克): 0.40487899999999993 within (0.26666666666666666, 2.6666666666666665),钾(毫克): 618.956符合,磷(毫克): 279.853 within (240.0, 1166.6666666666667),硒(微克): 25.744719999999997 within (20.0, 133.33333333333334), NO: 硫胺素(毫克): 0.06806799999999999不合适,钙(毫克): 115.622 not (266.6666666666667, 666.6666666666666),核黄素(毫克): 0.145921不合适,镁(毫克): 74.311不合适,脂肪(克): 104.45159000000001 not (15.933333333333332, 23.900000000000002),膳食纤维(克): 2.7550999999999997 not (8.333333333333334, 10.0),锌(毫克): 2.0819499999999995 not (4.0, 13.333333333333334),维生素A(微克): 34.224999999999994 not (256.6666666666667, 1000.0),钠(毫克): 1018.8172999999999不合适"
14,"猪大排: 100.8克,大白菜: 19.7克,药草新鲜均值: 175.5克,红萝卜: 93.5克,南瓜: 11.1克,陈皮: 0.0克,蜜枣: 25.4克,咸鸭蛋: 8.3克,无花果: 8.8克,精盐: 0.5克,花生油: 0.6克"," (18, 30)_男_低,YES: 钙(毫克): 370.26800000000003 within (266.6666666666667, 666.6666666666666),蛋白质(克): 26.393700000000006 within (21.666666666666668, 35.833333333333336),镁(毫克): 105.85399999999997符合,脂肪(克): 23.804599999999997 within (15.933333333333332, 23.900000000000002),烟酸(毫克): 7.4242 within (5.0, 11.666666666666666),铁(毫克): 11.7146 within (4.0, 14.0),维生素C(毫克): 275.02200000000005 within (33.333333333333336, 666.6666666666666),锰(毫克): 1.912215 within (1.5, 3.6666666666666665),膳食纤维(克): 9.3673 within (8.333333333333334, 10.0),维生素E(毫克): 5.274630000000001 within (4.666666666666667, 233.33333333333334),锌(毫克): 4.26535 within (4.0, 13.333333333333334),维生素A(微克): 572.9547000000001 within (256.6666666666667, 1000.0),铜(毫克): 0.440037 within (0.26666666666666666, 2.6666666666666665),磷(毫克): 277.241 within (240.0, 1166.6666666666667), NO: 硫胺素(毫克): 1.20094不合适,核黄素(毫克): 0.40445999999999993不合适,钾(毫克): 1647.8769999999997不合适,钠(毫克): 660.5456999999999不合适,硒(微克): 13.352010000000002 not (20.0, 133.33333333333334)"
15,"鸡蛋: 50.0克,山药: 50.0克,大白菜(青白口): 20.0克,精盐: 1.0克,花生油: 1.0克"," (18, 30)_男_低,YES: 钠(毫克): 477.87500000000006符合, NO: 硫胺素(毫克): 0.186不合适,钙(毫克): 43.339999999999996 not (266.6666666666667, 666.6666666666666),蛋白质(克): 11.63 not (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.28300000000000003不合适,镁(毫克): 16.84不合适,脂肪(克): 5.9190000000000005 not (15.933333333333332, 23.900000000000002),烟酸(毫克): 0.33 not (5.0, 11.666666666666666),铁(毫克): 1.309 not (4.0, 14.0),维生素C(毫克): 8.100000000000001 not (33.333333333333336, 666.6666666666666),锰(毫克): 0.1182 not (1.5, 3.6666666666666665),膳食纤维(克): 0.88 not (8.333333333333334, 10.0),维生素E(毫克): 1.5326000000000002 not (4.666666666666667, 233.33333333333334),锌(毫克): 0.8142 not (4.0, 13.333333333333334),维生素A(微克): 140.29999999999998 not (256.6666666666667, 1000.0),铜(毫克): 0.20590000000000003 not (0.26666666666666666, 2.6666666666666665),钾(毫克): 201.64999999999998不合适,磷(毫克): 87.75 not (240.0, 1166.6666666666667),硒(微克): 7.533 not (20.0, 133.33333333333334)"
17,"大葱: 47.7克,香菜[芫荽]: 93.0克,洋葱[葱头]: 93.9克,生抽: 72.8克,芝麻油: 5.6克,精盐: 0.9克"," (18, 30)_男_低,YES: 铁(毫克): 5.32589 within (4.0, 14.0),维生素C(毫克): 59.6976 within (33.333333333333336, 666.6666666666666),维生素E(毫克): 4.7435599999999996 within (4.666666666666667, 233.33333333333334),铜(毫克): 0.33238100000000004 within (0.26666666666666666, 2.6666666666666665),钾(毫克): 707.844符合, NO: 硫胺素(毫克): 0.10926400000000001不合适,钙(毫克): 141.71 not (266.6666666666667, 666.6666666666666),蛋白质(克): 7.0122 not (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.259483不合适,镁(毫克): 70.441不合适,脂肪(克): 6.265 not (15.933333333333332, 23.900000000000002),烟酸(毫克): 3.1796640000000007 not (5.0, 11.666666666666666),锰(毫克): 0.7713810000000001 not (1.5, 3.6666666666666665),膳食纤维(克): 3.3324000000000003 not (8.333333333333334, 10.0),锌(毫克): 1.10821 not (4.0, 13.333333333333334),维生素A(微克): 184.82340000000002 not (256.6666666666667, 1000.0),磷(毫克): 134.10299999999998 not (240.0, 1166.6666666666667),钠(毫克): 5053.2912不合适,硒(微克): 2.23739 not (20.0, 133.33333333333334)"
