index,nutrient_sums,suitable_combinations
0,"豆腐(内脂): 323.5克,鸡蛋: 96.8克,香菜: 20.0克,火腿: 4.6克,猪肉(瘦): 67.9克,玉米淀粉: 43.3克,精盐: 0.8克,花生油: 2.0克"," (18, 30)_男_低,YES: 核黄素(毫克): 0.47577符合,镁(毫克): 114.46900000000001符合,脂肪(克): 22.2564 within (15.933333333333332, 23.900000000000002),烟酸(毫克): 6.0747 within (5.0, 11.666666666666666),铁(毫克): 9.040199999999999 within (4.0, 14.0),维生素E(毫克): 13.596079999999999 within (4.666666666666667, 233.33333333333334),锌(毫克): 5.11411 within (4.0, 13.333333333333334),维生素A(微克): 258.504 within (256.6666666666667, 1000.0),铜(毫克): 0.7205500000000001 within (0.26666666666666666, 2.6666666666666665),钾(毫克): 731.6080000000001符合,磷(毫克): 463.63100000000003 within (240.0, 1166.6666666666667),硒(微克): 23.50477 within (20.0, 133.33333333333334), NO: 硫胺素(毫克): 0.70111不合适,钙(毫克): 141.82500000000005 not (266.6666666666667, 666.6666666666666),蛋白质(克): 44.448699999999995 not (21.666666666666668, 35.833333333333336),维生素C(毫克): 9.600000000000001 not (33.333333333333336, 666.6666666666666),锰(毫克): 0.9885999999999999 not (1.5, 3.6666666666666665),膳食纤维(克): 1.5773000000000001 not (8.333333333333334, 10.0),钠(毫克): 564.0126不合适"
4,"鸡腿: 62.6克,胡萝卜: 0.0克,土豆: 200.0克,洋葱: 50.0克,青豆: 29.2克,咖喱粉: 27.3克,精盐: 0.6克,酱油: 0.0克,火腿: 4.5克,玉米粒: 20.0克,海苔: 10.0克,番茄酱: 6.3克,花生油: 2.0克"," (18, 30)_男_低,YES: 硫胺素(毫克): 0.478778符合,钙(毫克): 270.25200000000007 within (266.6666666666667, 666.6666666666666),蛋白质(克): 34.39387 within (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.42744000000000004符合,脂肪(克): 21.756330000000002 within (15.933333333333332, 23.900000000000002),烟酸(毫克): 9.843180000000002 within (5.0, 11.666666666666666),铁(毫克): 12.5154 within (4.0, 14.0),维生素C(毫克): 76.4911 within (33.333333333333336, 666.6666666666666),锰(毫克): 3.64996 within (1.5, 3.6666666666666665),维生素E(毫克): 11.24713 within (4.666666666666667, 233.33333333333334),锌(毫克): 4.74312 within (4.0, 13.333333333333334),维生素A(微克): 264.8541 within (256.6666666666667, 1000.0),铜(毫克): 1.2384299999999997 within (0.26666666666666666, 2.6666666666666665),磷(毫克): 523.4239999999999 within (240.0, 1166.6666666666667),钠(毫克): 516.5108000000001符合,硒(微克): 28.529290000000007 within (20.0, 133.33333333333334), NO: 镁(毫克): 234.458不合适,膳食纤维(克): 26.685100000000006 not (8.333333333333334, 10.0),钾(毫克): 1744.6690000000003不合适"
6,"鸡腿: 57.7克,调味料: 2.3克,泡打粉: 0.0克,鸡蛋: 87.3克,小麦粉(标准粉): 107.8克,玉米淀粉: 0.0克,精盐: 0.0克,洋葱粉: 10.0克,蒜: 10.0克,辣椒粉: 1.8克,咖喱粉: 1.3克,胡椒粉(黑色): 2.0克,花生油: 1.2克"," (18, 30)_男_低,YES: 硫胺素(毫克): 0.48042800000000013符合,蛋白质(克): 35.81727 within (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.44728999999999997符合,镁(毫克): 107.281符合,脂肪(克): 18.57843 within (15.933333333333332, 23.900000000000002),烟酸(毫克): 6.22324 within (5.0, 11.666666666666666),铁(毫克): 7.817400000000001 within (4.0, 14.0),锰(毫克): 2.4263799999999995 within (1.5, 3.6666666666666665),维生素E(毫克): 4.73091 within (4.666666666666667, 233.33333333333334),锌(毫克): 4.02498 within (4.0, 13.333333333333334),维生素A(微克): 289.5101 within (256.6666666666667, 1000.0),铜(毫克): 0.7884 within (0.26666666666666666, 2.6666666666666665),钾(毫克): 687.8820000000001符合,磷(毫克): 483.7210000000001 within (240.0, 1166.6666666666667),钠(毫克): 535.2181符合,硒(微克): 29.067600000000002 within (20.0, 133.33333333333334), NO: 钙(毫克): 161.69100000000003 not (266.6666666666667, 666.6666666666666),维生素C(毫克): 5.4691 not (33.333333333333336, 666.6666666666666),膳食纤维(克): 5.974400000000001 not (8.333333333333334, 10.0)"
8,"燕麦片: 101.8克,鸡蛋: 108.6克,洋葱: 9.7克,胡萝卜: 100.0克,精盐: 0.3克,胡椒粉: 1.6克,五香粉: 0.1克,酱油: 1.7克,胡椒粉(黑色): 0.0克,花生油: 0.0克"," (18, 30)_男_低,YES: 硫胺素(毫克): 0.49747600000000003符合,钙(毫克): 285.9629999999999 within (266.6666666666667, 666.6666666666666),蛋白质(克): 31.0241 within (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.48902199999999996符合,脂肪(克): 16.678969999999996 within (15.933333333333332, 23.900000000000002),铁(毫克): 9.806980000000001 within (4.0, 14.0),锰(毫克): 3.634643 within (1.5, 3.6666666666666665),膳食纤维(克): 8.410899999999998 within (8.333333333333334, 10.0),维生素E(毫克): 5.795030000000001 within (4.666666666666667, 233.33333333333334),锌(毫克): 4.11481 within (4.0, 13.333333333333334),铜(毫克): 0.6772699999999999 within (0.26666666666666666, 2.6666666666666665),钾(毫克): 730.5010000000002符合,磷(毫克): 479.647 within (240.0, 1166.6666666666667),硒(微克): 20.253890000000002 within (20.0, 133.33333333333334), NO: 镁(毫克): 206.65099999999998不合适,烟酸(毫克): 2.511428 not (5.0, 11.666666666666666),维生素C(毫克): 6.617800000000001 not (33.333333333333336, 666.6666666666666),维生素A(微克): 5266.1422 not (256.6666666666667, 1000.0),钠(毫克): 449.94219999999996不合适"
9,"腊肠: 83.6克,胡萝卜: 4.5克,土豆: 188.4克,玉米: 100.0克,精盐: 1.1克,蚝油: 19.8克,生抽: 0.0克,芝麻油: 20.0克,老抽: 0.0克"," (18, 30)_男_低,YES: 蛋白质(克): 27.72645 within (21.666666666666668, 35.833333333333336),镁(毫克): 99.83600000000001符合,烟酸(毫克): 7.251835000000001 within (5.0, 11.666666666666666),铁(毫克): 5.9845 within (4.0, 14.0),维生素C(毫克): 67.1335 within (33.333333333333336, 666.6666666666666),维生素E(毫克): 14.215500000000002 within (4.666666666666667, 233.33333333333334),锌(毫克): 4.0346 within (4.0, 13.333333333333334),维生素A(微克): 290.2962 within (256.6666666666667, 1000.0),铜(毫克): 0.421825 within (0.26666666666666666, 2.6666666666666665),磷(毫克): 276.17900000000003 within (240.0, 1166.6666666666667), NO: 硫胺素(毫克): 0.34911000000000003不合适,钙(毫克): 43.613 not (266.6666666666667, 666.6666666666666),核黄素(毫克): 0.30215不合适,脂肪(克): 61.9658 not (15.933333333333332, 23.900000000000002),锰(毫克): 0.8583450000000001 not (1.5, 3.6666666666666665),膳食纤维(克): 4.384399999999999 not (8.333333333333334, 10.0),钾(毫克): 1031.962不合适,钠(毫克): 2520.0528不合适,硒(微克): 10.446739999999998 not (20.0, 133.33333333333334)"
10,"鸡蛋: 46.5克,甘蓝菜: 279.5克,牛肉(瘦): 103.7克,精盐: 0.7克,花生油: 2.0克"," (18, 30)_男_低,YES: 钙(毫克): 393.52700000000004 within (266.6666666666667, 666.6666666666666),蛋白质(克): 34.957899999999995 within (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.51191符合,烟酸(毫克): 9.4211 within (5.0, 11.666666666666666),铁(毫克): 9.488599999999998 within (4.0, 14.0),维生素C(毫克): 212.42 within (33.333333333333336, 666.6666666666666),锰(毫克): 1.5500599999999998 within (1.5, 3.6666666666666665),维生素E(毫克): 4.7429499999999996 within (4.666666666666667, 233.33333333333334),锌(毫克): 8.00355 within (4.0, 13.333333333333334),维生素A(微克): 929.2155 within (256.6666666666667, 1000.0),铜(毫克): 0.5470999999999999 within (0.26666666666666666, 2.6666666666666665),钾(毫克): 656.9159999999999符合,磷(毫克): 378.864 within (240.0, 1166.6666666666667),钠(毫克): 533.1252000000001符合,硒(微克): 20.07505 within (20.0, 133.33333333333334), NO: 硫胺素(毫克): 0.17964000000000002不合适,镁(毫克): 76.791不合适,脂肪(克): 9.5931 not (15.933333333333332, 23.900000000000002),膳食纤维(克): 4.472 not (8.333333333333334, 10.0)"
12,"鸡腿: 25.2克,黄瓜: 0.0克,胡萝卜: 12.1克,黄豆芽: 200.0克,面条均值: 152.4克,花生酱: 20.0克,海鲜酱汁: 0.0克,精盐: 0.0克,花生油: 1.4克"," (18, 30)_男_低,YES: 硫胺素(毫克): 0.430306符合,蛋白质(克): 27.17373 within (21.666666666666668, 35.833333333333336),镁(毫克): 115.684符合,脂肪(克): 19.57044 within (15.933333333333332, 23.900000000000002),烟酸(毫克): 5.364543 within (5.0, 11.666666666666666),铁(毫克): 9.1813 within (4.0, 14.0),锰(毫克): 2.020123 within (1.5, 3.6666666666666665),锌(毫克): 4.16932 within (4.0, 13.333333333333334),维生素A(微克): 627.5158 within (256.6666666666667, 1000.0),铜(毫克): 0.659305 within (0.26666666666666666, 2.6666666666666665),钾(毫克): 645.2579999999999符合,磷(毫克): 460.67699999999996 within (240.0, 1166.6666666666667),钠(毫克): 549.6988符合,硒(微克): 23.25666 within (20.0, 133.33333333333334), NO: 钙(毫克): 77.83700000000002 not (266.6666666666667, 666.6666666666666),核黄素(毫克): 0.318978不合适,维生素C(毫克): 16.7139 not (33.333333333333336, 666.6666666666666),膳食纤维(克): 5.1579999999999995 not (8.333333333333334, 10.0),维生素E(毫克): 3.59342 not (4.666666666666667, 233.33333333333334)"
13,"鳜鱼[桂鱼，花鲫鱼]: 485.5克,姜: 35.1克,大葱: 100.0克,甜椒[灯笼椒，柿子椒]: 77.0克,酱油: 0.0克,花生油: 0.0克,精盐: 0.3克"," (18, 30)_男_低,YES: 钙(毫克): 355.18799999999993 within (266.6666666666667, 666.6666666666666),核黄素(毫克): 0.42348符合,脂肪(克): 21.055600000000002 within (15.933333333333332, 23.900000000000002),铁(毫克): 6.6654 within (4.0, 14.0),维生素C(毫克): 73.844 within (33.333333333333336, 666.6666666666666),锰(毫克): 1.6421200000000002 within (1.5, 3.6666666666666665),维生素E(毫克): 4.97815 within (4.666666666666667, 233.33333333333334),锌(毫克): 5.861210000000002 within (4.0, 13.333333333333334),铜(毫克): 0.68436 within (0.26666666666666666, 2.6666666666666665),磷(毫克): 1115.7100000000003 within (240.0, 1166.6666666666667),钠(毫克): 463.5569符合,硒(微克): 129.81965999999997 within (20.0, 133.33333333333334), NO: 硫胺素(毫克): 0.15722000000000003不合适,蛋白质(克): 99.5408 not (21.666666666666668, 35.833333333333336),镁(毫克): 199.05不合适,烟酸(毫克): 30.118300000000005 not (5.0, 11.666666666666666),膳食纤维(克): 3.3257 not (8.333333333333334, 10.0),维生素A(微克): 112.15 not (256.6666666666667, 1000.0),钾(毫克): 1789.152不合适"
15,"鸡蛋: 100.0克,山药: 79.3克,大白菜(青白口): 34.0克,精盐: 0.9克,花生油: 1.1克"," (18, 30)_男_低,YES: 核黄素(毫克): 0.5056400000000001符合,维生素A(微克): 271.2502 within (256.6666666666667, 1000.0),铜(毫克): 0.3568299999999999 within (0.26666666666666666, 2.6666666666666665),钠(毫克): 516.5433符合, NO: 硫胺素(毫克): 0.31844999999999996不合适,钙(毫克): 80.918 not (266.6666666666667, 666.6666666666666),蛋白质(克): 21.2302 not (21.666666666666668, 35.833333333333336),镁(毫克): 28.959999999999997不合适,脂肪(克): 10.725900000000001 not (15.933333333333332, 23.900000000000002),烟酸(毫克): 0.5739 not (5.0, 11.666666666666666),铁(毫克): 2.4827999999999997 not (4.0, 14.0),维生素C(毫克): 13.485000000000001 not (33.333333333333336, 666.6666666666666),锰(毫克): 0.1958 not (1.5, 3.6666666666666665),膳食纤维(克): 1.4162 not (8.333333333333334, 10.0),维生素E(毫克): 2.61538 not (4.666666666666667, 233.33333333333334),锌(毫克): 1.52895 not (4.0, 13.333333333333334),钾(毫克): 353.646不合适,磷(毫克): 166.647 not (240.0, 1166.6666666666667),硒(微克): 14.91775 not (20.0, 133.33333333333334)"
20,"胡萝卜: 0.0克,豆腐皮: 39.4克,菠菜: 25.8克,山药: 84.9克,粉丝: 63.0克,鸡蛋: 42.7克,小麦粉(标准粉): 10.7克,精盐: 0.0克,五香粉: 1.9克,芝麻油: 6.0克,生抽: 6.7克"," (18, 30)_男_低,YES: 硫胺素(毫克): 0.45168400000000003符合,蛋白质(克): 34.01298 within (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.4742120000000001符合,镁(毫克): 101.441符合,脂肪(克): 17.990019999999998 within (15.933333333333332, 23.900000000000002),铁(毫克): 12.657479999999996 within (4.0, 14.0),锰(毫克): 2.059776 within (1.5, 3.6666666666666665),维生素E(毫克): 14.12801 within (4.666666666666667, 233.33333333333334),维生素A(微克): 860.8464 within (256.6666666666667, 1000.0),铜(毫克): 1.1427399999999999 within (0.26666666666666666, 2.6666666666666665),钾(毫克): 677.9490000000001符合,磷(毫克): 257.95300000000003 within (240.0, 1166.6666666666667),钠(毫克): 530.596符合, NO: 钙(毫克): 136.64 not (266.6666666666667, 666.6666666666666),烟酸(毫克): 1.6847519999999998 not (5.0, 11.666666666666666),维生素C(毫克): 11.494800000000001 not (33.333333333333336, 666.6666666666666),膳食纤维(克): 2.8534 not (8.333333333333334, 10.0),锌(毫克): 2.77575 not (4.0, 13.333333333333334),硒(微克): 10.64376 not (20.0, 133.33333333333334)"
