index,nutrient_sums,suitable_combinations
1,"鸡蛋: 95.1克,香蕉: 100.0克,小麦粉(标准粉): 100.0克,芝麻籽(黑): 10.0克,精盐: 1.0克,花生油: 2.0克"," (18, 30)_男_低,YES: 硫胺素(毫克): 0.45161符合,蛋白质(克): 26.778299999999998 within (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.43577000000000005符合,镁(毫克): 106.77符合,脂肪(克): 16.1568 within (15.933333333333332, 23.900000000000002),铁(毫克): 7.14 within (4.0, 14.0),锰(毫克): 1.99454 within (1.5, 3.6666666666666665),维生素E(毫克): 8.319040000000001 within (4.666666666666667, 233.33333333333334),铜(毫克): 0.7860499999999999 within (0.26666666666666666, 2.6666666666666665),钾(毫克): 721.2139999999999符合,磷(毫克): 385.23 within (240.0, 1166.6666666666667),钠(毫克): 525.5565符合,硒(微克): 20.41334 within (20.0, 133.33333333333334), NO: 钙(毫克): 151.716 not (266.6666666666667, 666.6666666666666),烟酸(毫克): 3.2352 not (5.0, 11.666666666666666),维生素C(毫克): 8.7 not (33.333333333333336, 666.6666666666666),膳食纤维(克): 5.680000000000001 not (8.333333333333334, 10.0),锌(毫克): 3.2691000000000003 not (4.0, 13.333333333333334),维生素A(微克): 241.73399999999998 not (256.6666666666667, 1000.0)"
4,"鸡腿: 12.8克,胡萝卜: 10.6克,土豆: 114.1克,洋葱: 39.3克,青豆: 43.6克,咖喱粉: 26.5克,精盐: 2.7克,酱油: 17.5克,火腿: 12.8克,玉米粒: 19.0克,海苔: 3.6克,番茄酱: 1.9克,花生油: 0.3克"," (18, 30)_男_低,YES: 硫胺素(毫克): 0.469864符合,钙(毫克): 266.705 within (266.6666666666667, 666.6666666666666),蛋白质(克): 29.90403 within (21.666666666666668, 35.833333333333336),脂肪(克): 17.61894 within (15.933333333333332, 23.900000000000002),烟酸(毫克): 6.951296 within (5.0, 11.666666666666666),铁(毫克): 11.368679999999998 within (4.0, 14.0),维生素C(毫克): 41.2221 within (33.333333333333336, 666.6666666666666),锰(毫克): 3.6248850000000004 within (1.5, 3.6666666666666665),维生素E(毫克): 11.621089999999999 within (4.666666666666667, 233.33333333333334),锌(毫克): 4.19557 within (4.0, 13.333333333333334),维生素A(微克): 704.7293999999999 within (256.6666666666667, 1000.0),铜(毫克): 1.212152 within (0.26666666666666666, 2.6666666666666665),磷(毫克): 441.096 within (240.0, 1166.6666666666667),硒(微克): 20.409299999999998 within (20.0, 133.33333333333334), NO: 核黄素(毫克): 0.3146340000000001不合适,镁(毫克): 201.248不合适,膳食纤维(克): 24.54 not (8.333333333333334, 10.0),钾(毫克): 1379.5449999999998不合适,钠(毫克): 2493.6987不合适"
5,"小麦粉: 89.9克,鸡蛋: 96.6克,红糖: 114.0克,酵母(干): 0.1克,泡打粉: 1.0克,红豆馅: 140.0克,枣: 49.9克,葡萄干: 16.7克,精盐: 1.0克,花生油: 1.8克"," (18, 30)_男_低,YES: 硫胺素(毫克): 0.4569500000000001符合,钙(毫克): 326.77000000000004 within (266.6666666666667, 666.6666666666666),蛋白质(克): 31.499499999999998 within (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.42605符合,脂肪(克): 16.8598 within (15.933333333333332, 23.900000000000002),烟酸(毫克): 5.207699999999999 within (5.0, 11.666666666666666),铁(毫克): 10.90812 within (4.0, 14.0),维生素C(毫克): 35.266 within (33.333333333333336, 666.6666666666666),锰(毫克): 2.214766 within (1.5, 3.6666666666666665),维生素E(毫克): 16.99072 within (4.666666666666667, 233.33333333333334),锌(毫克): 4.255209999999998 within (4.0, 13.333333333333334),铜(毫克): 0.9961669999999998 within (0.26666666666666666, 2.6666666666666665),磷(毫克): 529.0919999999999 within (240.0, 1166.6666666666667),硒(微克): 24.92066 within (20.0, 133.33333333333334), NO: 镁(毫克): 147.221不合适,膳食纤维(克): 13.245000000000001 not (8.333333333333334, 10.0),维生素A(微克): 234.45929999999998 not (256.6666666666667, 1000.0),钾(毫克): 1301.6470000000002不合适,钠(毫克): 1100.7576000000001不合适"
6,"鸡腿: 48.6克,调味料: 79.1克,泡打粉: 0.0克,鸡蛋: 100.0克,小麦粉(标准粉): 116.7克,玉米淀粉: 64.5克,精盐: 5.8克,洋葱粉: 1.5克,蒜: 2.4克,辣椒粉: 0.8克,咖喱粉: 1.3克,胡椒粉(黑色): 2.0克,花生油: 0.4克"," (18, 30)_男_低,YES: 硫胺素(毫克): 0.5057429999999999符合,镁(毫克): 115.502符合,脂肪(克): 17.92083 within (15.933333333333332, 23.900000000000002),烟酸(毫克): 10.657655 within (5.0, 11.666666666666666),铁(毫克): 10.961500000000001 within (4.0, 14.0),锰(毫克): 2.4309480000000003 within (1.5, 3.6666666666666665),维生素E(毫克): 4.6800500000000005 within (4.666666666666667, 233.33333333333334),锌(毫克): 4.213239999999999 within (4.0, 13.333333333333334),维生素A(微克): 283.78889999999996 within (256.6666666666667, 1000.0),铜(毫克): 0.898496 within (0.26666666666666666, 2.6666666666666665),钾(毫克): 718.7510000000001符合,磷(毫克): 674.2579999999998 within (240.0, 1166.6666666666667),硒(微克): 28.372220000000002 within (20.0, 133.33333333333334), NO: 钙(毫克): 168.20600000000002 not (266.6666666666667, 666.6666666666666),蛋白质(克): 54.88655999999999 not (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.6320000000000001不合适,维生素C(毫克): 1.1089000000000002 not (33.333333333333336, 666.6666666666666),膳食纤维(克): 4.3392 not (8.333333333333334, 10.0),钠(毫克): 15109.910599999996不合适"
7,"鲫鱼[喜头鱼，海附鱼]: 50.2克,羊排: 15.6克,羊排: 0.0克,猪肚: 0.0克,香菇: 81.8克,大白菜: 0.0克,油面筋: 47.6克,白萝卜: 151.0克,大葱: 96.4克,小葱: 19.5克,姜: 8.9克,香菜: 99.4克,崇明老白酒: 21.2克,黄酒: 99.6克,精盐: 0.7克,花椒: 2.8克,胡椒粉: 1.6克,猪油(板油): 3.2克"," (18, 30)_男_低,YES: 钙(毫克): 274.669 within (266.6666666666667, 666.6666666666666),蛋白质(克): 33.1925 within (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.44125000000000003符合,脂肪(克): 19.528 within (15.933333333333332, 23.900000000000002),烟酸(毫克): 7.953600000000002 within (5.0, 11.666666666666666),铁(毫克): 7.483099999999999 within (4.0, 14.0),维生素C(毫克): 100.261 within (33.333333333333336, 666.6666666666666),锰(毫克): 1.9721100000000003 within (1.5, 3.6666666666666665),膳食纤维(克): 8.6279 within (8.333333333333334, 10.0),维生素E(毫克): 7.20511 within (4.666666666666667, 233.33333333333334),锌(毫克): 4.618770000000001 within (4.0, 13.333333333333334),铜(毫克): 0.7830000000000001 within (0.26666666666666666, 2.6666666666666665),磷(毫克): 351.86500000000007 within (240.0, 1166.6666666666667),钠(毫克): 476.6884999999999符合,硒(微克): 22.89972000000001 within (20.0, 133.33333333333334), NO: 硫胺素(毫克): 0.17765不合适,镁(毫克): 139.17800000000003不合适,维生素A(微克): 57.54999999999999 not (256.6666666666667, 1000.0),钾(毫克): 950.956不合适"
8,"燕麦片: 105.1克,鸡蛋: 118.8克,洋葱: 35.5克,胡萝卜: 62.1克,精盐: 2.7克,胡椒粉: 1.1克,五香粉: 1.2克,酱油: 4.8克,胡椒粉(黑色): 1.9克,花生油: 0.6克"," (18, 30)_男_低,YES: 硫胺素(毫克): 0.5083540000000001符合,钙(毫克): 302.765 within (266.6666666666667, 666.6666666666666),蛋白质(克): 33.184439999999995 within (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.512665符合,脂肪(克): 18.486659999999997 within (15.933333333333332, 23.900000000000002),铁(毫克): 10.751479999999999 within (4.0, 14.0),膳食纤维(克): 8.506199999999998 within (8.333333333333334, 10.0),维生素E(毫克): 6.2166500000000005 within (4.666666666666667, 233.33333333333334),锌(毫克): 4.3283000000000005 within (4.0, 13.333333333333334),铜(毫克): 0.743378 within (0.26666666666666666, 2.6666666666666665),钾(毫克): 720.8569999999999符合,磷(毫克): 502.599 within (240.0, 1166.6666666666667),硒(微克): 22.116629999999997 within (20.0, 133.33333333333334), NO: 镁(毫克): 216.07999999999998不合适,烟酸(毫克): 2.345684 not (5.0, 11.666666666666666),维生素C(毫克): 6.290900000000001 not (33.333333333333336, 666.6666666666666),锰(毫克): 3.9790849999999995 not (1.5, 3.6666666666666665),维生素A(微克): 3393.7607000000003 not (256.6666666666667, 1000.0),钠(毫克): 1593.9180000000003不合适"
9,"腊肠: 100.0克,胡萝卜: 95.3克,土豆: 200.0克,玉米: 100.0克,精盐: 10.0克,蚝油: 0.3克,生抽: 20.0克,芝麻油: 15.5克,老抽: 0.0克"," (18, 30)_男_低,YES: 硫胺素(毫克): 0.426928符合,蛋白质(克): 31.86939 within (21.666666666666668, 35.833333333333336),镁(毫克): 109.09符合,烟酸(毫克): 8.955198999999999 within (5.0, 11.666666666666666),铁(毫克): 7.1705 within (4.0, 14.0),维生素C(毫克): 75.62270000000001 within (33.333333333333336, 666.6666666666666),维生素E(毫克): 11.71143 within (4.666666666666667, 233.33333333333334),锌(毫克): 4.49387 within (4.0, 13.333333333333334),铜(毫克): 0.481145 within (0.26666666666666666, 2.6666666666666665),磷(毫克): 312.13500000000005 within (240.0, 1166.6666666666667), NO: 钙(毫克): 78.319 not (266.6666666666667, 666.6666666666666),核黄素(毫克): 0.387484不合适,脂肪(克): 65.60312 not (15.933333333333332, 23.900000000000002),锰(毫克): 1.002279 not (1.5, 3.6666666666666665),膳食纤维(克): 6.968999999999999 not (8.333333333333334, 10.0),维生素A(微克): 4841.0454 not (256.6666666666667, 1000.0),钾(毫克): 1397.5400000000002不合适,钠(毫克): 6714.0275不合适,硒(微克): 12.415299999999998 not (20.0, 133.33333333333334)"
10,"鸡蛋: 26.5克,甘蓝菜: 309.3克,牛肉(瘦): 107.2克,精盐: 0.6克,花生油: 15.4克"," (18, 30)_男_低,YES: 钙(毫克): 422.372 within (266.6666666666667, 666.6666666666666),蛋白质(克): 33.839299999999994 within (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.48928000000000005符合,脂肪(克): 21.419400000000003 within (15.933333333333332, 23.900000000000002),烟酸(毫克): 9.8996 within (5.0, 11.666666666666666),铁(毫克): 10.170200000000001 within (4.0, 14.0),维生素C(毫克): 235.06799999999998 within (33.333333333333336, 666.6666666666666),锰(毫克): 1.7453300000000003 within (1.5, 3.6666666666666665),维生素E(毫克): 10.30932 within (4.666666666666667, 233.33333333333334),锌(毫克): 8.36488 within (4.0, 13.333333333333334),维生素A(微克): 969.4329 within (256.6666666666667, 1000.0),铜(毫克): 0.57544 within (0.26666666666666666, 2.6666666666666665),钾(毫克): 667.168符合,磷(毫克): 375.79400000000004 within (240.0, 1166.6666666666667),钠(毫克): 484.90819999999997符合, NO: 硫胺素(毫克): 0.16605000000000003不合适,镁(毫克): 81.156不合适,膳食纤维(克): 4.9488 not (8.333333333333334, 10.0),硒(微克): 17.83754 not (20.0, 133.33333333333334)"
11,"黑米: 127.1克,大米: 19.8克,参鱼[蓝圆参，边鱼]: 20.7克,精盐: 1.1克,花生油: 0.2克"," (18, 30)_男_低,YES: 硫胺素(毫克): 0.44570999999999994符合,烟酸(毫克): 11.102900000000002 within (5.0, 11.666666666666666),锰(毫克): 2.4181199999999996 within (1.5, 3.6666666666666665),锌(毫克): 5.2390300000000005 within (4.0, 13.333333333333334),磷(毫克): 513.4269999999999 within (240.0, 1166.6666666666667),钠(毫克): 458.54130000000004符合, NO: 钙(毫克): 28.685 not (266.6666666666667, 666.6666666666666),蛋白质(克): 17.08568 not (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.197504不合适,镁(毫克): 200.003不合适,脂肪(克): 4.195939999999999 not (15.933333333333332, 23.900000000000002),铁(毫克): 2.5813999999999995 not (4.0, 14.0),维生素C(毫克): 0.0 not (33.333333333333336, 666.6666666666666),膳食纤维(克): 4.956899999999999 not (8.333333333333334, 10.0),维生素E(毫克): 0.46517 not (4.666666666666667, 233.33333333333334),维生素A(微克): 0.207 not (256.6666666666667, 1000.0),铜(毫克): 0.23703999999999997 not (0.26666666666666666, 2.6666666666666665),钾(毫克): 387.065不合适,硒(微克): 9.230429999999998 not (20.0, 133.33333333333334)"
12,"鸡腿: 94.6克,黄瓜: 146.9克,胡萝卜: 14.1克,黄豆芽: 96.9克,面条均值: 142.2克,花生酱: 11.4克,海鲜酱汁: 34.0克,精盐: 1.3克,花生油: 0.8克"," (18, 30)_男_低,YES: 硫胺素(毫克): 0.42198899999999995符合,蛋白质(克): 34.297079999999994 within (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.44734500000000005符合,脂肪(克): 23.033029999999997 within (15.933333333333332, 23.900000000000002),烟酸(毫克): 9.156565 within (5.0, 11.666666666666666),铁(毫克): 9.06432 within (4.0, 14.0),锰(毫克): 1.809744 within (1.5, 3.6666666666666665),锌(毫克): 4.39708 within (4.0, 13.333333333333334),维生素A(微克): 800.0183 within (256.6666666666667, 1000.0),铜(毫克): 0.6269540000000001 within (0.26666666666666666, 2.6666666666666665),磷(毫克): 528.2729999999999 within (240.0, 1166.6666666666667),硒(微克): 30.61028 within (20.0, 133.33333333333334), NO: 钙(毫克): 88.724 not (266.6666666666667, 666.6666666666666),镁(毫克): 139.356不合适,维生素C(毫克): 12.8331 not (33.333333333333336, 666.6666666666666),膳食纤维(克): 5.014399999999999 not (8.333333333333334, 10.0),维生素E(毫克): 2.44963 not (4.666666666666667, 233.33333333333334),钾(毫克): 888.9410000000001不合适,钠(毫克): 1447.3132不合适"
