index,nutrient_sums,suitable_combinations
0,"豆腐(内脂): 195.0克,鸡蛋: 124.5克,香菜: 3.4克,火腿: 76.9克,猪肉(瘦): 39.6克,玉米淀粉: 4.7克,精盐: 3.1克,花生油: 10.0克"," (18, 30)_男_低,YES: 核黄素(毫克): 0.5101符合,烟酸(毫克): 9.6727 within (5.0, 11.666666666666666),铁(毫克): 7.537400000000001 within (4.0, 14.0),维生素E(毫克): 13.63084 within (4.666666666666667, 233.33333333333334),锌(毫克): 5.36205 within (4.0, 13.333333333333334),维生素A(微克): 344.12800000000004 within (256.6666666666667, 1000.0),铜(毫克): 0.5751000000000001 within (0.26666666666666666, 2.6666666666666665),钾(毫克): 677.098符合,磷(毫克): 421.395 within (240.0, 1166.6666666666667),硒(微克): 25.545270000000002 within (20.0, 133.33333333333334), NO: 硫胺素(毫克): 0.6858800000000002不合适,钙(毫克): 113.71500000000002 not (266.6666666666667, 666.6666666666666),蛋白质(克): 46.7689 not (21.666666666666668, 35.833333333333336),镁(毫克): 86.196不合适,脂肪(克): 48.1951 not (15.933333333333332, 23.900000000000002),维生素C(毫克): 1.6320000000000001 not (33.333333333333336, 666.6666666666666),锰(毫克): 0.6533 not (1.5, 3.6666666666666665),膳食纤维(克): 0.8255 not (8.333333333333334, 10.0),钠(毫克): 2255.5759000000003不合适"
1,"鸡蛋: 113.7克,香蕉: 0.0克,小麦粉(标准粉): 142.4克,芝麻籽(白): 17.7克,精盐: 0.9克,花生油: 4.2克"," (18, 30)_男_低,YES: 蛋白质(克): 34.3277 within (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.46693000000000007符合,镁(毫克): 118.42600000000002符合,脂肪(克): 23.346600000000002 within (15.933333333333332, 23.900000000000002),铁(毫克): 9.884500000000001 within (4.0, 14.0),锰(毫克): 2.4904800000000002 within (1.5, 3.6666666666666665),维生素E(毫克): 13.19736 within (4.666666666666667, 233.33333333333334),锌(毫克): 4.35355 within (4.0, 13.333333333333334),维生素A(微克): 266.058 within (256.6666666666667, 1000.0),铜(毫克): 1.02576 within (0.26666666666666666, 2.6666666666666665),磷(毫克): 506.95300000000003 within (240.0, 1166.6666666666667),钠(毫克): 513.5753000000001符合,硒(微克): 24.664840000000005 within (20.0, 133.33333333333334), NO: 硫胺素(毫克): 0.5875100000000001不合适,钙(毫克): 218.25799999999998 not (266.6666666666667, 666.6666666666666),烟酸(毫克): 3.748 not (5.0, 11.666666666666666),维生素C(毫克): 0.0 not (33.333333333333336, 666.6666666666666),膳食纤维(克): 4.7250000000000005 not (8.333333333333334, 10.0),钾(毫克): 492.90799999999996不合适"
2,"鲑鱼[大麻哈鱼]: 87.9克,橄榄油: 4.1克,精盐: 1.4克,罗勒: 3.5克,全麦面包: 70.2克,生菜: 29.0克,樱桃: 26.2克,午餐肉: 36.6克,甜面酱: 0.0克,樱桃: 18.6克,蓝莓: 2.0克"," (18, 30)_男_低,YES: 硫胺素(毫克): 0.4559580000000001符合,蛋白质(克): 28.334100000000003 within (21.666666666666668, 35.833333333333336),镁(毫克): 103.88600000000001符合,脂肪(克): 19.3906 within (15.933333333333332, 23.900000000000002),烟酸(毫克): 11.431586 within (5.0, 11.666666666666666),锰(毫克): 1.704128 within (1.5, 3.6666666666666665),维生素A(微克): 755.8132999999998 within (256.6666666666667, 1000.0),铜(毫克): 0.303164 within (0.26666666666666666, 2.6666666666666665),钾(毫克): 731.1550000000001符合,磷(毫克): 336.8570000000001 within (240.0, 1166.6666666666667),硒(微克): 45.80341 within (20.0, 133.33333333333334), NO: 钙(毫克): 171.082 not (266.6666666666667, 666.6666666666666),核黄素(毫克): 0.326734不合适,铁(毫克): 2.90904 not (4.0, 14.0),维生素C(毫克): 7.5169999999999995 not (33.333333333333336, 666.6666666666666),膳食纤维(克): 4.9079 not (8.333333333333334, 10.0),维生素E(毫克): 3.650700000000001 not (4.666666666666667, 233.33333333333334),锌(毫克): 2.9069700000000003 not (4.0, 13.333333333333334),钠(毫克): 1296.7036不合适"
3,"精盐: 5.0克,柠檬: 50.0克,花生油: 1.0克"," (18, 30)_男_低,YES: , NO: 硫胺素(毫克): 0.025不合适,钙(毫克): 51.72 not (266.6666666666667, 666.6666666666666),蛋白质(克): 0.55 not (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.01不合适,镁(毫克): 18.62不合适,脂肪(克): 1.5990000000000002 not (15.933333333333332, 23.900000000000002),烟酸(毫克): 0.3 not (5.0, 11.666666666666666),铁(毫克): 0.479 not (4.0, 14.0),维生素C(毫克): 11.0 not (33.333333333333336, 666.6666666666666),锰(毫克): 0.0428 not (1.5, 3.6666666666666665),膳食纤维(克): 0.65 not (8.333333333333334, 10.0),维生素E(毫克): 0.9905999999999999 not (4.666666666666667, 233.33333333333334),锌(毫克): 0.34180000000000005 not (4.0, 13.333333333333334),维生素A(微克): 0.0 not (256.6666666666667, 1000.0),铜(毫克): 0.07850000000000001 not (0.26666666666666666, 2.6666666666666665),钾(毫克): 105.21000000000001不合适,磷(毫克): 11.15 not (240.0, 1166.6666666666667),钠(毫克): 1966.1350000000002不合适,硒(微克): 0.3 not (20.0, 133.33333333333334)"
4,"鸡腿: 0.0克,胡萝卜: 0.0克,土豆: 136.7克,洋葱: 0.0克,青豆: 60.0克,咖喱粉: 30.5克,精盐: 0.6克,酱油: 14.2克,火腿: 12.8克,玉米粒: 7.0克,海苔: 7.9克,番茄酱: 2.8克,花生油: 0.0克"," (18, 30)_男_低,YES: 硫胺素(毫克): 0.4975939999999999符合,钙(毫克): 321.809 within (266.6666666666667, 666.6666666666666),蛋白质(克): 33.953649999999996 within (21.666666666666668, 35.833333333333336),脂肪(克): 18.442670000000003 within (15.933333333333332, 23.900000000000002),烟酸(毫克): 6.683485999999999 within (5.0, 11.666666666666666),铁(毫克): 13.643759999999999 within (4.0, 14.0),维生素C(毫克): 51.816500000000005 within (33.333333333333336, 666.6666666666666),维生素E(毫克): 14.113039999999996 within (4.666666666666667, 233.33333333333334),锌(毫克): 4.65686 within (4.0, 13.333333333333334),维生素A(微克): 262.7356 within (256.6666666666667, 1000.0),铜(毫克): 1.485952 within (0.26666666666666666, 2.6666666666666665),磷(毫克): 487.539 within (240.0, 1166.6666666666667),硒(微克): 20.732660000000003 within (20.0, 133.33333333333334), NO: 核黄素(毫克): 0.339058不合适,镁(毫克): 223.567不合适,锰(毫克): 4.32454 not (1.5, 3.6666666666666665),膳食纤维(克): 29.049300000000002 not (8.333333333333334, 10.0),钾(毫克): 1534.81不合适,钠(毫克): 1493.8443不合适"
5,"小麦粉: 167.1克,鸡蛋: 60.6克,红糖: 114.0克,酵母(干): 3.4克,泡打粉: 2.0克,红豆馅: 77.3克,枣: 96.5克,葡萄干: 1.2克,精盐: 1.2克,花生油: 1.3克"," (18, 30)_男_低,YES: 钙(毫克): 377.816 within (266.6666666666667, 666.6666666666666),蛋白质(克): 34.0918 within (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.48845000000000005符合,烟酸(毫克): 7.525 within (5.0, 11.666666666666666),铁(毫克): 11.7464 within (4.0, 14.0),维生素C(毫克): 66.645 within (33.333333333333336, 666.6666666666666),锰(毫克): 3.2255599999999998 within (1.5, 3.6666666666666665),膳食纤维(克): 9.9476 within (8.333333333333334, 10.0),维生素E(毫克): 11.75803 within (4.666666666666667, 233.33333333333334),锌(毫克): 4.567940000000001 within (4.0, 13.333333333333334),铜(毫克): 1.1440449999999998 within (0.26666666666666666, 2.6666666666666665),磷(毫克): 699.4770000000002 within (240.0, 1166.6666666666667),硒(微克): 23.028309999999998 within (20.0, 133.33333333333334), NO: 硫胺素(毫克): 0.82028不合适,镁(毫克): 172.03900000000002不合适,脂肪(克): 12.1844 not (15.933333333333332, 23.900000000000002),维生素A(微克): 157.8957 not (256.6666666666667, 1000.0),钾(毫克): 1314.483不合适,钠(毫克): 1678.3836999999999不合适"
6,"鸡腿: 156.9克,调味料: 82.5克,泡打粉: 0.0克,鸡蛋: 0.0克,小麦粉(标准粉): 53.3克,玉米淀粉: 17.1克,精盐: 1.1克,洋葱粉: 3.9克,蒜: 3.7克,辣椒粉: 0.4克,咖喱粉: 0.6克,胡椒粉(黑色): 0.8克,花生油: 1.4克"," (18, 30)_男_低,YES: 核黄素(毫克): 0.44725000000000004符合,镁(毫克): 106.69399999999999符合,脂肪(克): 23.066899999999993 within (15.933333333333332, 23.900000000000002),铁(毫克): 6.26968 within (4.0, 14.0),铜(毫克): 0.5353929999999999 within (0.26666666666666666, 2.6666666666666665),钾(毫克): 707.3399999999999符合,磷(毫克): 612.2379999999999 within (240.0, 1166.6666666666667),硒(微克): 23.839280000000006 within (20.0, 133.33333333333334), NO: 硫胺素(毫克): 0.237683不合适,钙(毫克): 93.02600000000001 not (266.6666666666667, 666.6666666666666),蛋白质(克): 52.11477000000001 not (21.666666666666668, 35.833333333333336),烟酸(毫克): 15.303122999999998 not (5.0, 11.666666666666666),维生素C(毫克): 2.0712 not (33.333333333333336, 666.6666666666666),锰(毫克): 1.239388 not (1.5, 3.6666666666666665),膳食纤维(克): 2.5025 not (8.333333333333334, 10.0),维生素E(毫克): 1.9123800000000002 not (4.666666666666667, 233.33333333333334),锌(毫克): 3.31332 not (4.0, 13.333333333333334),维生素A(微克): 82.9749 not (256.6666666666667, 1000.0),钠(毫克): 13740.591200000003不合适"
7,"鲫鱼[喜头鱼，海附鱼]: 0.0克,羊排: 50.8克,羊排: 0.0克,猪肚: 26.5克,香菇: 344.3克,大白菜: 124.2克,油面筋: 16.9克,白萝卜: 180.0克,大葱: 100.0克,小葱: 0.0克,姜: 68.8克,香菜: 82.2克,崇明老白酒: 25.5克,黄酒: 0.0克,精盐: 10.0克,花椒: 2.8克,胡椒粉: 3.1克,猪油(板油): 7.1克"," (18, 30)_男_低,YES: 钙(毫克): 299.974 within (266.6666666666667, 666.6666666666666),蛋白质(克): 33.487300000000005 within (21.666666666666668, 35.833333333333336),脂肪(克): 20.734 within (15.933333333333332, 23.900000000000002),铁(毫克): 9.487 within (4.0, 14.0),维生素C(毫克): 135.51 within (33.333333333333336, 666.6666666666666),维生素E(毫克): 6.830430000000001 within (4.666666666666667, 233.33333333333334),锌(毫克): 7.083300000000002 within (4.0, 13.333333333333334),铜(毫克): 1.06323 within (0.26666666666666666, 2.6666666666666665),磷(毫克): 512.095 within (240.0, 1166.6666666666667),硒(微克): 20.417980000000004 within (20.0, 133.33333333333334), NO: 硫胺素(毫克): 0.28353不合适,核黄素(毫克): 0.7944100000000001不合适,镁(毫克): 182.65599999999998不合适,烟酸(毫克): 14.667300000000003 not (5.0, 11.666666666666666),锰(毫克): 4.36039 not (1.5, 3.6666666666666665),膳食纤维(克): 19.3941 not (8.333333333333334, 10.0),维生素A(微克): 1710.2768 not (256.6666666666667, 1000.0),钾(毫克): 1128.364不合适,钠(毫克): 4243.221不合适"
8,"燕麦片: 43.4克,鸡蛋: 126.7克,洋葱: 50.3克,胡萝卜: 44.1克,精盐: 4.0克,胡椒粉: 1.3克,五香粉: 1.0克,酱油: 2.5克,胡椒粉(黑色): 2.0克,花生油: 1.6克"," (18, 30)_男_低,YES: 蛋白质(克): 24.84213 within (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.4450740000000001符合,镁(毫克): 106.61099999999999符合,脂肪(克): 15.998490000000004 within (15.933333333333332, 23.900000000000002),铁(毫克): 6.5610800000000005 within (4.0, 14.0),锰(毫克): 1.92158 within (1.5, 3.6666666666666665),维生素E(毫克): 4.754440000000001 within (4.666666666666667, 233.33333333333334),铜(毫克): 0.47709700000000005 within (0.26666666666666666, 2.6666666666666665),磷(毫克): 329.6720000000001 within (240.0, 1166.6666666666667),硒(微克): 20.64954 within (20.0, 133.33333333333334), NO: 硫胺素(毫克): 0.326194不合适,钙(毫克): 189.99100000000004 not (266.6666666666667, 666.6666666666666),烟酸(毫克): 1.3980110000000001 not (5.0, 11.666666666666666),维生素C(毫克): 6.3241000000000005 not (33.333333333333336, 666.6666666666666),膳食纤维(克): 4.991499999999999 not (8.333333333333334, 10.0),锌(毫克): 2.79983 not (4.0, 13.333333333333334),维生素A(微克): 2510.3956000000007 not (256.6666666666667, 1000.0),钾(毫克): 554.265不合适,钠(毫克): 1944.3890000000001不合适"
9,"腊肠: 100.0克,胡萝卜: 100.0克,土豆: 190.4克,玉米: 100.0克,精盐: 2.6克,蚝油: 20.0克,生抽: 0.0克,芝麻油: 20.0克,老抽: 3.4克"," (18, 30)_男_低,YES: 硫胺素(毫克): 0.42134000000000005符合,蛋白质(克): 32.5466 within (21.666666666666668, 35.833333333333336),镁(毫克): 115.54符合,烟酸(毫克): 8.89452 within (5.0, 11.666666666666666),铁(毫克): 7.036600000000001 within (4.0, 14.0),维生素C(毫克): 73.30799999999999 within (33.333333333333336, 666.6666666666666),维生素E(毫克): 14.846000000000002 within (4.666666666666667, 233.33333333333334),锌(毫克): 4.70716 within (4.0, 13.333333333333334),铜(毫克): 0.49472 within (0.26666666666666666, 2.6666666666666665),磷(毫克): 327.91 within (240.0, 1166.6666666666667), NO: 钙(毫克): 80.522 not (266.6666666666667, 666.6666666666666),核黄素(毫克): 0.38088不合适,脂肪(克): 70.131 not (15.933333333333332, 23.900000000000002),锰(毫克): 1.04848 not (1.5, 3.6666666666666665),膳食纤维(克): 7.0728 not (8.333333333333334, 10.0),维生素A(微克): 5076.5712 not (256.6666666666667, 1000.0),钾(毫克): 1373.5680000000002不合适,钠(毫克): 3652.4867999999997不合适,硒(微克): 12.075719999999999 not (20.0, 133.33333333333334)"
