index,nutrient_sums,suitable_combinations
0,"豆腐(内脂): 250.0克,鸡蛋: 75.0克,香菜: 20.0克,火腿: 25.0克,猪肉(瘦): 75.0克,玉米淀粉: 50.0克,精盐: 0.5克,花生油: 0.5克"," (18, 30)_男_低,YES: 核黄素(毫克): 0.4230000000000001符合,镁(毫克): 100.87符合,脂肪(克): 23.4795 within (15.933333333333332, 23.900000000000002),烟酸(毫克): 8.015 within (5.0, 11.666666666666666),铁(毫克): 8.8995 within (4.0, 14.0),维生素E(毫克): 10.3553 within (4.666666666666667, 233.33333333333334),锌(毫克): 5.121099999999999 within (4.0, 13.333333333333334),铜(毫克): 0.61845 within (0.26666666666666666, 2.6666666666666665),钾(毫克): 695.225符合,磷(毫克): 426.625 within (240.0, 1166.6666666666667),硒(微克): 21.1035 within (20.0, 133.33333333333334), NO: 硫胺素(毫克): 0.7305不合适,钙(毫克): 119.12 not (266.6666666666667, 666.6666666666666),蛋白质(克): 42.660000000000004 not (21.666666666666668, 35.833333333333336),维生素C(毫克): 9.600000000000001 not (33.333333333333336, 666.6666666666666),锰(毫克): 0.7966000000000001 not (1.5, 3.6666666666666665),膳食纤维(克): 1.29 not (8.333333333333334, 10.0),维生素A(微克): 220.0 not (256.6666666666667, 1000.0),钠(毫克): 638.8475不合适"
1,"鸡蛋: 100.0克,香蕉: 120.0克,小麦粉(标准粉): 150.0克,芝麻籽(白): 15.0克,精盐: 1.0克,花生油: 3.0克"," (18, 30)_男_低,YES: 蛋白质(克): 34.168 within (21.666666666666668, 35.833333333333336),脂肪(克): 20.383000000000003 within (15.933333333333332, 23.900000000000002),铁(毫克): 9.774 within (4.0, 14.0),锰(毫克): 2.8922999999999996 within (1.5, 3.6666666666666665),维生素E(毫克): 11.663800000000002 within (4.666666666666667, 233.33333333333334),锌(毫克): 4.3883 within (4.0, 13.333333333333334),维生素A(微克): 257.04 within (256.6666666666667, 1000.0),铜(毫克): 1.091 within (0.26666666666666666, 2.6666666666666665),磷(毫克): 515.8000000000001 within (240.0, 1166.6666666666667),钠(毫克): 535.395符合,硒(微克): 24.198999999999998 within (20.0, 133.33333333333334), NO: 硫胺素(毫克): 0.6212000000000001不合适,钙(毫克): 202.08 not (266.6666666666667, 666.6666666666666),核黄素(毫克): 0.5166000000000001不合适,镁(毫克): 147.78不合适,烟酸(毫克): 4.5680000000000005 not (5.0, 11.666666666666666),维生素C(毫克): 10.44 not (33.333333333333336, 666.6666666666666),膳食纤维(克): 7.74 not (8.333333333333334, 10.0),钾(毫克): 908.6699999999998不合适"
2,"鲑鱼[大麻哈鱼]: 100.0克,橄榄油: 10.0克,精盐: 2.0克,罗勒: 2.0克,全麦面包: 50.0克,生菜: 20.0克,樱桃: 50.0克,午餐肉: 20.0克,甜面酱: 10.0克,樱桃: 20.0克,蓝莓: 2.0克"," (18, 30)_男_低,YES: 蛋白质(克): 26.987799999999996 within (21.666666666666668, 35.833333333333336),脂肪(克): 22.9694 within (15.933333333333332, 23.900000000000002),烟酸(毫克): 9.542359999999999 within (5.0, 11.666666666666666),维生素A(微克): 546.7239999999999 within (256.6666666666667, 1000.0),铜(毫克): 0.26944 within (0.26666666666666666, 2.6666666666666665),磷(毫克): 310.04 within (240.0, 1166.6666666666667),硒(微克): 44.05 within (20.0, 133.33333333333334), NO: 硫胺素(毫克): 0.34674000000000005不合适,钙(毫克): 128.96 not (266.6666666666667, 666.6666666666666),核黄素(毫克): 0.31832000000000005不合适,镁(毫克): 92.97999999999999不合适,铁(毫克): 2.6606 not (4.0, 14.0),维生素C(毫克): 9.134 not (33.333333333333336, 666.6666666666666),锰(毫克): 1.31712 not (1.5, 3.6666666666666665),膳食纤维(克): 3.736 not (8.333333333333334, 10.0),维生素E(毫克): 3.9514000000000005 not (4.666666666666667, 233.33333333333334),锌(毫克): 2.6264000000000003 not (4.0, 13.333333333333334),钾(毫克): 750.6399999999999不合适,钠(毫克): 1494.454不合适"
3,"精盐: 5.0克,柠檬: 50.0克,花生油: 1.0克"," (18, 30)_男_低,YES: , NO: 硫胺素(毫克): 0.025不合适,钙(毫克): 51.72 not (266.6666666666667, 666.6666666666666),蛋白质(克): 0.55 not (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.01不合适,镁(毫克): 18.62不合适,脂肪(克): 1.5990000000000002 not (15.933333333333332, 23.900000000000002),烟酸(毫克): 0.3 not (5.0, 11.666666666666666),铁(毫克): 0.479 not (4.0, 14.0),维生素C(毫克): 11.0 not (33.333333333333336, 666.6666666666666),锰(毫克): 0.0428 not (1.5, 3.6666666666666665),膳食纤维(克): 0.65 not (8.333333333333334, 10.0),维生素E(毫克): 0.9905999999999999 not (4.666666666666667, 233.33333333333334),锌(毫克): 0.34180000000000005 not (4.0, 13.333333333333334),维生素A(微克): 0.0 not (256.6666666666667, 1000.0),铜(毫克): 0.07850000000000001 not (0.26666666666666666, 2.6666666666666665),钾(毫克): 105.21000000000001不合适,磷(毫克): 11.15 not (240.0, 1166.6666666666667),钠(毫克): 1966.1350000000002不合适,硒(微克): 0.3 not (20.0, 133.33333333333334)"
4,"鸡腿: 200.0克,胡萝卜: 50.0克,土豆: 100.0克,洋葱: 25.0克,青豆: 30.0克,咖喱粉: 50.0克,精盐: 2.0克,酱油: 10.0克,火腿: 10.0克,玉米粒: 10.0克,海苔: 5.0克,番茄酱: 5.0克,花生油: 1.0克"," (18, 30)_男_低,YES: 硫胺素(毫克): 0.45970000000000005符合,钙(毫克): 386.21 within (266.6666666666667, 666.6666666666666),维生素C(毫克): 41.45 within (33.333333333333336, 666.6666666666666),维生素E(毫克): 16.877099999999995 within (4.666666666666667, 233.33333333333334),锌(毫克): 6.786600000000002 within (4.0, 13.333333333333334),铜(毫克): 1.46105 within (0.26666666666666666, 2.6666666666666665),磷(毫克): 782.15 within (240.0, 1166.6666666666667),硒(微克): 51.081 within (20.0, 133.33333333333334), NO: 蛋白质(克): 57.192 not (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.59775不合适,镁(毫克): 298.15999999999997不合适,脂肪(克): 42.664 not (15.933333333333332, 23.900000000000002),烟酸(毫克): 18.235000000000003 not (5.0, 11.666666666666666),铁(毫克): 17.4155 not (4.0, 14.0),锰(毫克): 5.33385 not (1.5, 3.6666666666666665),膳食纤维(克): 36.10999999999999 not (8.333333333333334, 10.0),维生素A(微克): 2750.07 not (256.6666666666667, 1000.0),钾(毫克): 2056.7400000000002不合适,钠(毫克): 1855.7700000000002不合适"
5,"小麦粉: 162.0克,鸡蛋: 50.0克,红糖: 57.0克,酵母(干): 3.0克,泡打粉: 1.0克,红豆馅: 70.0克,枣: 50.0克,葡萄干: 30.0克,精盐: 1.0克,花生油: 1.0克"," (18, 30)_男_低,YES: 蛋白质(克): 31.332 within (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.42010000000000003符合,烟酸(毫克): 6.5072 within (5.0, 11.666666666666666),铁(毫克): 12.261 within (4.0, 14.0),维生素C(毫克): 36.0 within (33.333333333333336, 666.6666666666666),锰(毫克): 3.0412999999999997 within (1.5, 3.6666666666666665),膳食纤维(克): 9.671000000000001 within (8.333333333333334, 10.0),维生素E(毫克): 10.6756 within (4.666666666666667, 233.33333333333334),锌(毫克): 4.122700000000001 within (4.0, 13.333333333333334),铜(毫克): 1.1153 within (0.26666666666666666, 2.6666666666666665),磷(毫克): 602.26 within (240.0, 1166.6666666666667), NO: 硫胺素(毫克): 0.7761000000000001不合适,钙(毫克): 242.04999999999998 not (266.6666666666667, 666.6666666666666),镁(毫克): 144.71000000000004不合适,脂肪(克): 10.623999999999999 not (15.933333333333332, 23.900000000000002),维生素A(微克): 127.374 not (256.6666666666667, 1000.0),钾(毫克): 1204.45不合适,钠(毫克): 1031.488不合适,硒(微克): 19.5762 not (20.0, 133.33333333333334)"
6,"鸡腿: 850.0克,调味料: 40.0克,泡打粉: 2.0克,鸡蛋: 60.0克,小麦粉(标准粉): 110.0克,玉米淀粉: 30.0克,精盐: 10.0克,洋葱粉: 10.0克,蒜: 10.0克,辣椒粉: 2.0克,咖喱粉: 2.0克,胡椒粉(黑色): 2.0克,花生油: 2.0克"," (18, 30)_男_低,YES: 钙(毫克): 308.76000000000005 within (266.6666666666667, 666.6666666666666),锰(毫克): 2.82906 within (1.5, 3.6666666666666665),维生素E(毫克): 5.087400000000001 within (4.666666666666667, 233.33333333333334),锌(毫克): 12.928199999999999 within (4.0, 13.333333333333334),维生素A(微克): 580.5260000000001 within (256.6666666666667, 1000.0),铜(毫克): 1.5614999999999997 within (0.26666666666666666, 2.6666666666666665),硒(微克): 124.124 within (20.0, 133.33333333333334), NO: 硫胺素(毫克): 0.63658不合适,蛋白质(克): 168.8166 not (21.666666666666668, 35.833333333333336),核黄素(毫克): 1.5750000000000002不合适,镁(毫克): 387.40000000000003不合适,脂肪(克): 120.2754 not (15.933333333333332, 23.900000000000002),烟酸(毫克): 56.19256 not (5.0, 11.666666666666666),铁(毫克): 21.272200000000005 not (4.0, 14.0),维生素C(毫克): 5.474 not (33.333333333333336, 666.6666666666666),膳食纤维(克): 6.554000000000001 not (8.333333333333334, 10.0),钾(毫克): 2851.96不合适,磷(毫克): 2061.46 not (240.0, 1166.6666666666667),钠(毫克): 12070.41不合适"
7,"鲫鱼[喜头鱼，海附鱼]: 80.0克,羊排: 60.0克,猪肚: 40.0克,香菇: 60.0克,大白菜: 60.0克,油面筋: 30.0克,白萝卜: 60.0克,大葱: 15.0克,小葱: 15.0克,姜: 15.0克,香菜: 15.0克,崇明老白酒: 5.0克,黄酒: 10.0克,精盐: 1.0克,花椒: 0.5克,胡椒粉: 0.5克,猪油(板油): 2.0克"," (18, 30)_男_低,YES: 核黄素(毫克): 0.4714500000000001符合,镁(毫克): 100.93499999999999符合,脂肪(克): 21.374499999999998 within (15.933333333333332, 23.900000000000002),烟酸(毫克): 9.062 within (5.0, 11.666666666666666),铁(毫克): 5.6945 within (4.0, 14.0),维生素C(毫克): 44.69999999999999 within (33.333333333333336, 666.6666666666666),维生素E(毫克): 4.94145 within (4.666666666666667, 233.33333333333334),锌(毫克): 6.1160499999999995 within (4.0, 13.333333333333334),维生素A(微克): 875.885 within (256.6666666666667, 1000.0),铜(毫克): 0.4626 within (0.26666666666666666, 2.6666666666666665),钾(毫克): 692.0099999999999符合,磷(毫克): 429.50500000000005 within (240.0, 1166.6666666666667),硒(微克): 26.920999999999996 within (20.0, 133.33333333333334), NO: 硫胺素(毫克): 0.23505000000000004不合适,钙(毫克): 175.87500000000003 not (266.6666666666667, 666.6666666666666),蛋白质(克): 42.7715 not (21.666666666666668, 35.833333333333336),锰(毫克): 1.3981 not (1.5, 3.6666666666666665),膳食纤维(克): 4.595 not (8.333333333333334, 10.0),钠(毫克): 591.8014999999999不合适"
8,"燕麦片: 55.0克,鸡蛋: 99.0克,洋葱: 36.0克,胡萝卜: 50.0克,精盐: 2.0克,胡椒粉: 1.0克,五香粉: 1.0克,酱油: 5.0克,胡椒粉(黑色): 1.0克,花生油: 1.0克"," (18, 30)_男_低,YES: 蛋白质(克): 22.837900000000005 within (21.666666666666668, 35.833333333333336),铁(毫克): 6.6532 within (4.0, 14.0),锰(毫克): 2.15507 within (1.5, 3.6666666666666665),铜(毫克): 0.46789000000000003 within (0.26666666666666666, 2.6666666666666665),磷(毫克): 325.5 within (240.0, 1166.6666666666667), NO: 硫胺素(毫克): 0.3275400000000001不合适,钙(毫克): 190.19000000000003 not (266.6666666666667, 666.6666666666666),核黄素(毫克): 0.3856700000000001不合适,镁(毫克): 122.23不合适,脂肪(克): 13.7121 not (15.933333333333332, 23.900000000000002),烟酸(毫克): 1.57709 not (5.0, 11.666666666666666),维生素C(毫克): 5.614000000000001 not (33.333333333333336, 666.6666666666666),膳食纤维(克): 5.281 not (8.333333333333334, 10.0),维生素E(毫克): 4.374200000000001 not (4.666666666666667, 233.33333333333334),锌(毫克): 2.7678999999999996 not (4.0, 13.333333333333334),维生素A(微克): 2739.5170000000003 not (256.6666666666667, 1000.0),钾(毫克): 531.5699999999999不合适,钠(毫克): 1295.9360000000001不合适,硒(微克): 17.0398 not (20.0, 133.33333333333334)"
9,"腊肠: 50.0克,胡萝卜: 50.0克,土豆: 100.0克,玉米: 50.0克,精盐: 5.0克,蚝油: 10.0克,生抽: 10.0克,芝麻油: 10.0克,老抽: 5.0克"," (18, 30)_男_低,YES: 铁(毫克): 4.0649999999999995 within (4.0, 14.0),维生素C(毫克): 37.95 within (33.333333333333336, 666.6666666666666),维生素E(毫克): 7.423000000000001 within (4.666666666666667, 233.33333333333334),铜(毫克): 0.2795 within (0.26666666666666666, 2.6666666666666665), NO: 硫胺素(毫克): 0.21750000000000003不合适,钙(毫克): 43.95 not (266.6666666666667, 666.6666666666666),蛋白质(克): 17.11 not (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.20600000000000002不合适,镁(毫克): 63.300000000000004不合适,脂肪(克): 35.095000000000006 not (15.933333333333332, 23.900000000000002),烟酸(毫克): 4.663499999999999 not (5.0, 11.666666666666666),锰(毫克): 0.5894999999999999 not (1.5, 3.6666666666666665),膳食纤维(克): 3.57 not (8.333333333333334, 10.0),锌(毫克): 2.447 not (4.0, 13.333333333333334),维生素A(微克): 2538.3 not (256.6666666666667, 1000.0),钾(毫克): 749.6000000000001不合适,磷(毫克): 177.55 not (240.0, 1166.6666666666667),钠(毫克): 4147.41不合适,硒(微克): 6.304999999999999 not (20.0, 133.33333333333334)"
10,"鸡蛋: 60.0克,甘蓝菜: 250.0克,牛肉(瘦): 100.0克,精盐: 0.5克,花生油: 1.5克"," (18, 30)_男_低,YES: 钙(毫克): 362.89000000000004 within (266.6666666666667, 666.6666666666666),蛋白质(克): 35.18 within (21.666666666666668, 35.833333333333336),烟酸(毫克): 8.92 within (5.0, 11.666666666666666),铁(毫克): 9.0485 within (4.0, 14.0),维生素C(毫克): 190.0 within (33.333333333333336, 666.6666666666666),锌(毫克): 7.6284 within (4.0, 13.333333333333334),维生素A(微克): 874.65 within (256.6666666666667, 1000.0),铜(毫克): 0.52795 within (0.26666666666666666, 2.6666666666666665),钾(毫克): 636.485符合,磷(毫克): 375.225 within (240.0, 1166.6666666666667),钠(毫克): 455.3575符合,硒(微克): 21.358999999999998 within (20.0, 133.33333333333334), NO: 硫胺素(毫克): 0.186不合适,核黄素(毫克): 0.517不合适,镁(毫克): 72.04不合适,脂肪(克): 10.0785 not (15.933333333333332, 23.900000000000002),锰(毫克): 1.3954000000000002 not (1.5, 3.6666666666666665),膳食纤维(克): 4.0 not (8.333333333333334, 10.0),维生素E(毫克): 4.4849 not (4.666666666666667, 233.33333333333334)"
11,"黑米: 100.0克,大米: 60.0克,参鱼: 120.0克,精盐: 1.0克,花生油: 3.0克"," (18, 30)_男_低,YES: 硫胺素(毫克): 0.444符合,蛋白质(克): 35.566 within (21.666666666666668, 35.833333333333336),铁(毫克): 4.337 within (4.0, 14.0),锰(毫克): 2.4528 within (1.5, 3.6666666666666665),锌(毫克): 5.5328 within (4.0, 13.333333333333334),铜(毫克): 0.3539 within (0.26666666666666666, 2.6666666666666665),磷(毫克): 650.45 within (240.0, 1166.6666666666667),钠(毫克): 498.83500000000004符合,硒(微克): 33.077999999999996 within (20.0, 133.33333333333334), NO: 钙(毫克): 83.98 not (266.6666666666667, 666.6666666666666),核黄素(毫克): 0.2908不合适,镁(毫克): 204.08不合适,脂肪(克): 9.925 not (15.933333333333332, 23.900000000000002),烟酸(毫克): 13.18 not (5.0, 11.666666666666666),维生素C(毫克): 0.0 not (33.333333333333336, 666.6666666666666),膳食纤维(克): 3.9 not (8.333333333333334, 10.0),维生素E(毫克): 2.0698 not (4.666666666666667, 233.33333333333334),维生素A(微克): 1.2 not (256.6666666666667, 1000.0),钾(毫克): 565.77不合适"
12,"鸡腿: 300.0克,黄瓜: 150.0克,胡萝卜: 50.0克,黄豆芽: 100.0克,面条均值: 200.0克,花生酱: 10.0克,海鲜酱汁: 50.0克,精盐: 1.0克,花生油: 1.0克"," (18, 30)_男_低,YES: 锰(毫克): 2.4731999999999994 within (1.5, 3.6666666666666665),锌(毫克): 7.6432 within (4.0, 13.333333333333334),铜(毫克): 0.9459 within (0.26666666666666666, 2.6666666666666665),磷(毫克): 995.65 within (240.0, 1166.6666666666667),硒(微克): 63.204 within (20.0, 133.33333333333334), NO: 硫胺素(毫克): 0.6165不合适,钙(毫克): 124.54 not (266.6666666666667, 666.6666666666666),蛋白质(克): 72.885 not (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.8320000000000001不合适,镁(毫克): 240.64000000000001不合适,脂肪(克): 50.278999999999996 not (15.933333333333332, 23.900000000000002),烟酸(毫克): 22.8235 not (5.0, 11.666666666666666),铁(毫克): 14.434000000000003 not (4.0, 14.0),维生素C(毫克): 15.349999999999998 not (33.333333333333336, 666.6666666666666),膳食纤维(克): 6.949999999999999 not (8.333333333333334, 10.0),维生素E(毫克): 3.2146000000000003 not (4.666666666666667, 233.33333333333334),维生素A(微克): 2691.05 not (256.6666666666667, 1000.0),钾(毫克): 1606.0500000000002不合适,钠(毫克): 1728.5450000000003不合适"
13,"鳜鱼[桂鱼，花鲫鱼]: 500.0克,姜: 20.0克,大葱: 50.0克,甜椒[灯笼椒，柿子椒]: 50.0克,酱油: 30.0克,花生油: 50.0克,精盐: 1.0克"," (18, 30)_男_低,YES: 钙(毫克): 353.22 within (266.6666666666667, 666.6666666666666),核黄素(毫克): 0.4287000000000001符合,铁(毫克): 7.589 within (4.0, 14.0),维生素C(毫克): 45.3 within (33.333333333333336, 666.6666666666666),维生素E(毫克): 25.825000000000003 within (4.666666666666667, 233.33333333333334),锌(毫克): 6.0244 within (4.0, 13.333333333333334),铜(毫克): 0.7017 within (0.26666666666666666, 2.6666666666666665),磷(毫克): 1154.7 within (240.0, 1166.6666666666667), NO: 硫胺素(毫克): 0.1466不合适,蛋白质(克): 103.21 not (21.666666666666668, 35.833333333333336),镁(毫克): 194.02不合适,脂肪(克): 71.473 not (15.933333333333332, 23.900000000000002),烟酸(毫克): 31.2084 not (5.0, 11.666666666666666),锰(毫克): 1.1879000000000002 not (1.5, 3.6666666666666665),膳食纤维(克): 2.04 not (8.333333333333334, 10.0),维生素A(微克): 93.5 not (256.6666666666667, 1000.0),钾(毫克): 1811.74不合适,钠(毫克): 2790.89不合适,硒(微克): 133.387 not (20.0, 133.33333333333334)"
14,"猪大排: 250.0克,大白菜: 100.0克,药草新鲜均值: 200.0克,红萝卜: 75.0克,南瓜: 50.0克,陈皮: 10.0克,蜜枣: 40.0克,咸鸭蛋: 25.0克,无花果: 25.0克,精盐: 0.5克,花生油: 0.5克"," (18, 30)_男_低,YES: 钙(毫克): 518.9699999999999 within (266.6666666666667, 666.6666666666666),维生素C(毫克): 346.95 within (33.333333333333336, 666.6666666666666),锰(毫克): 2.5271 within (1.5, 3.6666666666666665),维生素E(毫克): 8.6058 within (4.666666666666667, 233.33333333333334),锌(毫克): 7.9910999999999985 within (4.0, 13.333333333333334),铜(毫克): 0.86145 within (0.26666666666666666, 2.6666666666666665),磷(毫克): 566.625 within (240.0, 1166.6666666666667),硒(微克): 34.012499999999996 within (20.0, 133.33333333333334), NO: 硫胺素(毫克): 2.514不合适,蛋白质(克): 59.169999999999995 not (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.8465000000000001不合适,镁(毫克): 172.17不合适,脂肪(克): 56.744499999999995 not (15.933333333333332, 23.900000000000002),烟酸(毫克): 16.564999999999998 not (5.0, 11.666666666666666),铁(毫克): 16.2745 not (4.0, 14.0),膳食纤维(克): 14.39 not (8.333333333333334, 10.0),维生素A(微克): 2690.9000000000005 not (256.6666666666667, 1000.0),钾(毫克): 2450.775不合适,钠(毫克): 1236.8875不合适"
15,"鸡蛋: 120.0克,山药: 250.0克,大白菜(青白口): 600.0克,精盐: 0.1克,花生油: 2.5克"," (18, 30)_男_低,YES: 钙(毫克): 317.522 within (266.6666666666667, 666.6666666666666),镁(毫克): 116.05199999999999符合,脂肪(克): 16.1575 within (15.933333333333332, 23.900000000000002),铁(毫克): 6.8235 within (4.0, 14.0),维生素C(毫克): 180.5 within (33.333333333333336, 666.6666666666666),膳食纤维(克): 8.9 within (8.333333333333334, 10.0),维生素E(毫克): 6.0195 within (4.666666666666667, 233.33333333333334),锌(毫克): 5.66724 within (4.0, 13.333333333333334),维生素A(微克): 462.3 within (256.6666666666667, 1000.0),铜(毫克): 1.02389 within (0.26666666666666666, 2.6666666666666665),磷(毫克): 409.375 within (240.0, 1166.6666666666667),钠(毫克): 534.0985符合,硒(微克): 20.924 within (20.0, 133.33333333333334), NO: 硫胺素(毫克): 0.937不合适,蛋白质(克): 47.86 not (21.666666666666668, 35.833333333333336),核黄素(毫克): 1.264不合适,烟酸(毫克): 3.3900000000000006 not (5.0, 11.666666666666666),锰(毫克): 1.3165399999999998 not (1.5, 3.6666666666666665),钾(毫克): 1257.339不合适"
16,"面包(白色): 120.0克,酸奶: 150.0克,草莓: 200.0克,茶(绿色): 5.0克,绵白糖: 7.0克,精盐: 0.1克,花生油: 4.0克"," (18, 30)_男_低,YES: 钙(毫克): 382.722 within (266.6666666666667, 666.6666666666666),烟酸(毫克): 6.8235 within (5.0, 11.666666666666666),铁(毫克): 5.884000000000001 within (4.0, 14.0),维生素C(毫克): 119.1 within (33.333333333333336, 666.6666666666666),铜(毫克): 0.26993999999999996 within (0.26666666666666666, 2.6666666666666665),钾(毫克): 682.794符合,磷(毫克): 293.91 within (240.0, 1166.6666666666667),硒(微克): 29.7926 within (20.0, 133.33333333333334), NO: 硫胺素(毫克): 0.7329500000000001不合适,蛋白质(克): 15.727999999999998 not (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.5635不合适,镁(毫克): 71.87199999999999不合适,脂肪(克): 12.642000000000001 not (15.933333333333332, 23.900000000000002),锰(毫克): 1.4734900000000002 not (1.5, 3.6666666666666665),膳食纤维(克): 7.24 not (8.333333333333334, 10.0),维生素E(毫克): 2.7064000000000004 not (4.666666666666667, 233.33333333333334),锌(毫克): 1.98784 not (4.0, 13.333333333333334),维生素A(微克): 46.56 not (256.6666666666667, 1000.0),钠(毫克): 689.341不合适"
17,"大葱: 50.0克,香菜[芫荽]: 50.0克,洋葱[葱头]: 50.0克,生抽: 100.0克,芝麻油: 10.0克,精盐: 1.0克"," (18, 30)_男_低,YES: 铁(毫克): 4.835 within (4.0, 14.0),维生素C(毫克): 36.2 within (33.333333333333336, 666.6666666666666),维生素E(毫克): 7.413 within (4.666666666666667, 233.33333333333334),钾(毫克): 623.14符合, NO: 硫胺素(毫克): 0.078不合适,钙(毫克): 93.62 not (266.6666666666667, 666.6666666666666),蛋白质(克): 7.1 not (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.2185不合适,镁(毫克): 60.32不合适,脂肪(克): 10.47 not (15.933333333333332, 23.900000000000002),烟酸(毫克): 2.4880000000000004 not (5.0, 11.666666666666666),锰(毫克): 0.7134000000000001 not (1.5, 3.6666666666666665),膳食纤维(克): 2.1 not (8.333333333333334, 10.0),锌(毫克): 0.9793999999999999 not (4.0, 13.333333333333334),维生素A(微克): 101.8 not (256.6666666666667, 1000.0),铜(毫克): 0.2509 not (0.26666666666666666, 2.6666666666666665),磷(毫克): 117.4 not (240.0, 1166.6666666666667),钠(毫克): 6806.869999999999不合适,硒(微克): 2.16 not (20.0, 133.33333333333334)"
18,"羊排: 1500.0克,花椒: 5.0克,姜: 50.0克,萝卜: 300.0克,粉丝: 50.0克,蒜苗: 50.0克,香菜: 20.0克,精盐: 1.0克,花生油: 1.0克"," (18, 30)_男_低,YES: 钙(毫克): 410.99 within (266.6666666666667, 666.6666666666666),维生素C(毫克): 92.1 within (33.333333333333336, 666.6666666666666),锰(毫克): 2.3907000000000003 within (1.5, 3.6666666666666665),膳食纤维(克): 9.875000000000002 within (8.333333333333334, 10.0),维生素E(毫克): 11.6991 within (4.666666666666667, 233.33333333333334),维生素A(微克): 834.65 within (256.6666666666667, 1000.0),铜(毫克): 0.47090000000000004 within (0.26666666666666666, 2.6666666666666665),硒(微克): 25.909000000000006 within (20.0, 133.33333333333334), NO: 硫胺素(毫克): 2.9139999999999997不合适,蛋白质(克): 279.99499999999995 not (21.666666666666668, 35.833333333333336),核黄素(毫克): 4.704499999999999不合适,镁(毫克): 336.69不合适,脂肪(克): 183.924 not (15.933333333333332, 23.900000000000002),烟酸(毫克): 67.07000000000001 not (5.0, 11.666666666666666),铁(毫克): 30.538999999999998 not (4.0, 14.0),锌(毫克): 52.537200000000006 not (4.0, 13.333333333333334),钾(毫克): 4207.25不合适,磷(毫克): 2836.9 not (240.0, 1166.6666666666667),钠(毫克): 1610.8650000000005不合适"
