index,nutrient_sums,suitable_combinations
0,"豆腐(内脂): 150.4克,鸡蛋: 118.4克,香菜: 20.0克,火腿: 0.0克,猪肉(瘦): 100.2克,玉米淀粉: 0.0克,精盐: 0.7克,花生油: 2.0克"," (18, 30)_男_低,YES: 核黄素(毫克): 0.4930000000000001符合,脂肪(克): 21.567200000000003 within (15.933333333333332, 23.900000000000002),烟酸(毫克): 6.4386 within (5.0, 11.666666666666666),铁(毫克): 7.2222 within (4.0, 14.0),维生素E(毫克): 8.42348 within (4.666666666666667, 233.33333333333334),锌(毫克): 5.226860000000001 within (4.0, 13.333333333333334),维生素A(微克): 321.14400000000006 within (256.6666666666667, 1000.0),铜(毫克): 0.52932 within (0.26666666666666666, 2.6666666666666665),钾(毫克): 685.3439999999999符合,磷(毫克): 439.12600000000003 within (240.0, 1166.6666666666667),钠(毫克): 507.88359999999994符合,硒(微克): 27.828800000000005 within (20.0, 133.33333333333334), NO: 硫胺素(毫克): 0.76956不合适,钙(毫克): 118.478 not (266.6666666666667, 666.6666666666666),蛋白质(克): 43.967800000000004 not (21.666666666666668, 35.833333333333336),镁(毫克): 79.64000000000001不合适,维生素C(毫克): 9.600000000000001 not (33.333333333333336, 666.6666666666666),锰(毫克): 0.5330900000000001 not (1.5, 3.6666666666666665),膳食纤维(克): 0.8416 not (8.333333333333334, 10.0)"
1,"鸡蛋: 101.8克,香蕉: 103.0克,小麦粉(标准粉): 92.3克,芝麻籽(白): 8.5克,精盐: 3.3克,花生油: 0.0克"," (18, 30)_男_低,YES: 硫胺素(毫克): 0.43295符合,蛋白质(克): 26.563699999999997 within (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.44599000000000005符合,镁(毫克): 101.376符合,铁(毫克): 6.7658000000000005 within (4.0, 14.0),锰(毫克): 1.8677200000000003 within (1.5, 3.6666666666666665),维生素E(毫克): 6.89132 within (4.666666666666667, 233.33333333333334),维生素A(微克): 257.988 within (256.6666666666667, 1000.0),铜(毫克): 0.74517 within (0.26666666666666666, 2.6666666666666665),钾(毫克): 723.954符合,磷(毫克): 372.129 within (240.0, 1166.6666666666667),硒(微克): 20.9535 within (20.0, 133.33333333333334), NO: 钙(毫克): 144.197 not (266.6666666666667, 666.6666666666666),脂肪(克): 14.0488 not (15.933333333333332, 23.900000000000002),烟酸(毫克): 3.05755 not (5.0, 11.666666666666666),维生素C(毫克): 8.961 not (33.333333333333336, 666.6666666666666),膳食纤维(克): 5.449300000000001 not (8.333333333333334, 10.0),锌(毫克): 3.15379 not (4.0, 13.333333333333334),钠(毫克): 1437.7583000000002不合适"
2,"鲑鱼[大麻哈鱼]: 81.1克,橄榄油: 11.4克,精盐: 2.3克,罗勒: 3.4克,全麦面包: 41.6克,生菜: 34.9克,樱桃: 96.8克,午餐肉: 5.7克,甜面酱: 16.4克,樱桃: 22.9克,蓝莓: 2.8克"," (18, 30)_男_低,YES: 蛋白质(克): 22.50746 within (21.666666666666668, 35.833333333333336),脂肪(克): 20.49785 within (15.933333333333332, 23.900000000000002),烟酸(毫克): 7.236087 within (5.0, 11.666666666666666),维生素E(毫克): 4.87066 within (4.666666666666667, 233.33333333333334),维生素A(微克): 909.1465000000001 within (256.6666666666667, 1000.0),铜(毫克): 0.30857899999999994 within (0.26666666666666666, 2.6666666666666665),磷(毫克): 275.153 within (240.0, 1166.6666666666667),硒(微克): 36.27588 within (20.0, 133.33333333333334), NO: 硫胺素(毫克): 0.28868不合适,钙(毫克): 121.619 not (266.6666666666667, 666.6666666666666),核黄素(毫克): 0.2942699999999999不合适,镁(毫克): 88.405不合适,铁(毫克): 2.9118 not (4.0, 14.0),维生素C(毫克): 15.622399999999999 not (33.333333333333336, 666.6666666666666),锰(毫克): 1.2539820000000002 not (1.5, 3.6666666666666665),膳食纤维(克): 3.738200000000001 not (8.333333333333334, 10.0),锌(毫克): 2.30789 not (4.0, 13.333333333333334),钾(毫克): 805.225不合适,钠(毫克): 1564.2481999999998不合适"
3,"精盐: 1.0克,柠檬: 322.9克,花生油: 14.5克"," (18, 30)_男_低,YES: 钙(毫克): 328.089 within (266.6666666666667, 666.6666666666666),镁(毫克): 119.78299999999999符合,脂肪(克): 18.3603 within (15.933333333333332, 23.900000000000002),维生素C(毫克): 71.038 within (33.333333333333336, 666.6666666666666),维生素E(毫克): 9.77976 within (4.666666666666667, 233.33333333333334),铜(毫克): 0.47521 within (0.26666666666666666, 2.6666666666666665),钾(毫克): 675.1459999999998符合, NO: 硫胺素(毫克): 0.16144999999999998不合适,蛋白质(克): 3.5519 not (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.06458不合适,烟酸(毫克): 1.9373999999999998 not (5.0, 11.666666666666666),铁(毫克): 3.0136999999999996 not (4.0, 14.0),锰(毫克): 0.2122 not (1.5, 3.6666666666666665),膳食纤维(克): 4.197699999999999 not (8.333333333333334, 10.0),锌(毫克): 2.1708499999999997 not (4.0, 13.333333333333334),维生素A(微克): 0.0 not (256.6666666666667, 1000.0),磷(毫克): 73.213 not (240.0, 1166.6666666666667),钠(毫克): 397.1694不合适,硒(微克): 1.6244999999999998 not (20.0, 133.33333333333334)"
4,"鸡腿: 205.7克,胡萝卜: 3.7克,土豆: 186.0克,洋葱: 50.0克,青豆: 45.3克,咖喱粉: 1.0克,精盐: 3.0克,酱油: 20.0克,火腿: 0.0克,玉米粒: 2.6克,海苔: 1.8克,番茄酱: 9.8克,花生油: 2.0克"," (18, 30)_男_低,YES: 硫胺素(毫克): 0.42854200000000003符合,核黄素(毫克): 0.5082720000000001符合,铁(毫克): 9.27546 within (4.0, 14.0),维生素C(毫克): 57.493300000000005 within (33.333333333333336, 666.6666666666666),锰(毫克): 1.6125209999999999 within (1.5, 3.6666666666666665),膳食纤维(克): 9.826199999999998 within (8.333333333333334, 10.0),维生素E(毫克): 6.232019999999999 within (4.666666666666667, 233.33333333333334),锌(毫克): 4.8363 within (4.0, 13.333333333333334),维生素A(微克): 401.00980000000004 within (256.6666666666667, 1000.0),铜(毫克): 1.140719 within (0.26666666666666666, 2.6666666666666665),磷(毫克): 671.9899999999999 within (240.0, 1166.6666666666667),硒(微克): 31.341359999999998 within (20.0, 133.33333333333334), NO: 钙(毫克): 149.067 not (266.6666666666667, 666.6666666666666),蛋白质(克): 55.64213 not (21.666666666666668, 35.833333333333336),镁(毫克): 196.29400000000004不合适,脂肪(克): 36.88921999999999 not (15.933333333333332, 23.900000000000002),烟酸(毫克): 17.190313 not (5.0, 11.666666666666666),钾(毫克): 1781.864不合适,钠(毫克): 2720.109不合适"
5,"小麦粉: 134.6克,鸡蛋: 100.0克,红糖: 21.0克,酵母(干): 1.1克,泡打粉: 0.5克,红豆馅: 87.3克,枣: 8.8克,葡萄干: 0.1克,精盐: 2.0克,花生油: 0.9克"," (18, 30)_男_低,YES: 蛋白质(克): 33.3448 within (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.46170000000000005符合,镁(毫克): 101.117符合,烟酸(毫克): 5.015600000000001 within (5.0, 11.666666666666666),铁(毫克): 8.384639999999997 within (4.0, 14.0),锰(毫克): 2.4312619999999994 within (1.5, 3.6666666666666665),膳食纤维(克): 9.8228 within (8.333333333333334, 10.0),维生素E(毫克): 12.646749999999999 within (4.666666666666667, 233.33333333333334),锌(毫克): 4.175210000000001 within (4.0, 13.333333333333334),铜(毫克): 0.8713639999999999 within (0.26666666666666666, 2.6666666666666665),钾(毫克): 731.222符合,磷(毫克): 520.472 within (240.0, 1166.6666666666667),硒(微克): 23.07913 within (20.0, 133.33333333333334), NO: 硫胺素(毫克): 0.5979099999999999不合适,钙(毫克): 157.716 not (266.6666666666667, 666.6666666666666),脂肪(克): 14.899600000000003 not (15.933333333333332, 23.900000000000002),维生素C(毫克): 6.077000000000001 not (33.333333333333336, 666.6666666666666),维生素A(微克): 238.6902 not (256.6666666666667, 1000.0),钠(毫克): 1202.7311不合适"
6,"鸡腿: 30.9克,调味料: 95.4克,泡打粉: 4.0克,鸡蛋: 100.0克,小麦粉(标准粉): 91.9克,玉米淀粉: 0.0克,精盐: 10.0克,洋葱粉: 10.0克,蒜: 7.4克,辣椒粉: 0.8克,咖喱粉: 1.7克,胡椒粉(黑色): 1.7克,花生油: 1.3克"," (18, 30)_男_低,YES: 硫胺素(毫克): 0.46752800000000005符合,钙(毫克): 371.465 within (266.6666666666667, 666.6666666666666),镁(毫克): 109.09799999999998符合,脂肪(克): 16.306990000000003 within (15.933333333333332, 23.900000000000002),烟酸(毫克): 9.359351000000002 within (5.0, 11.666666666666666),铁(毫克): 8.270869999999999 within (4.0, 14.0),锰(毫克): 2.2253690000000006 within (1.5, 3.6666666666666665),维生素E(毫克): 4.747970000000001 within (4.666666666666667, 233.33333333333334),锌(毫克): 4.09241 within (4.0, 13.333333333333334),维生素A(微克): 275.6664 within (256.6666666666667, 1000.0),铜(毫克): 0.8259559999999999 within (0.26666666666666666, 2.6666666666666665),磷(毫克): 934.3540000000002 within (240.0, 1166.6666666666667),硒(微克): 26.51064 within (20.0, 133.33333333333334), NO: 蛋白质(克): 53.680400000000006 not (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.6067400000000001不合适,维生素C(毫克): 4.660699999999999 not (33.333333333333336, 666.6666666666666),膳食纤维(克): 5.375800000000001 not (8.333333333333334, 10.0),钾(毫克): 1162.0420000000001不合适,钠(毫克): 21550.376不合适"
7,"鲫鱼[喜头鱼，海附鱼]: 120.5克,羊排: 15.7克,猪肚: 100.0克,香菇: 30.9克,大白菜: 142.4克,油面筋: 24.5克,白萝卜: 37.5克,大葱: 0.0克,小葱: 0.0克,姜: 21.0克,香菜: 0.0克,崇明老白酒: 15.0克,黄酒: 7.7克,精盐: 0.7克,花椒: 1.5克,胡椒粉: 1.5克,猪油(板油): 1.6克"," (18, 30)_男_低,YES: 核黄素(毫克): 0.44861999999999996符合,镁(毫克): 111.792符合,脂肪(克): 18.387000000000008 within (15.933333333333332, 23.900000000000002),烟酸(毫克): 9.7305 within (5.0, 11.666666666666666),铁(毫克): 6.7043 within (4.0, 14.0),维生素C(毫克): 52.85900000000001 within (33.333333333333336, 666.6666666666666),锰(毫克): 1.5764099999999999 within (1.5, 3.6666666666666665),维生素E(毫克): 4.82197 within (4.666666666666667, 233.33333333333334),锌(毫克): 6.34294 within (4.0, 13.333333333333334),铜(毫克): 0.49346000000000007 within (0.26666666666666666, 2.6666666666666665),钾(毫克): 704.7119999999999符合,磷(毫克): 488.1310000000001 within (240.0, 1166.6666666666667),钠(毫克): 529.1296符合,硒(微克): 37.801680000000005 within (20.0, 133.33333333333334), NO: 硫胺素(毫克): 0.22562000000000001不合适,钙(毫克): 216.41199999999998 not (266.6666666666667, 666.6666666666666),蛋白质(克): 49.0631 not (21.666666666666668, 35.833333333333336),膳食纤维(克): 3.8844000000000003 not (8.333333333333334, 10.0),维生素A(微克): 1942.6116000000004 not (256.6666666666667, 1000.0)"
8,"燕麦片: 120.0克,鸡蛋: 125.5克,洋葱: 8.1克,胡萝卜: 8.4克,精盐: 0.0克,胡椒粉: 0.4克,五香粉: 0.8克,酱油: 1.6克,胡椒粉(黑色): 0.7克,花生油: 0.8克"," (18, 30)_男_低,YES: 硫胺素(毫克): 0.509108符合,钙(毫克): 303.03999999999996 within (266.6666666666667, 666.6666666666666),蛋白质(克): 35.089850000000006 within (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.5053930000000001符合,脂肪(克): 20.01524 within (15.933333333333332, 23.900000000000002),铁(毫克): 11.360260000000002 within (4.0, 14.0),维生素E(毫克): 6.470739999999999 within (4.666666666666667, 233.33333333333334),锌(毫克): 4.56552 within (4.0, 13.333333333333334),维生素A(微克): 715.8985 within (256.6666666666667, 1000.0),铜(毫克): 0.7576350000000001 within (0.26666666666666666, 2.6666666666666665),磷(毫克): 521.585 within (240.0, 1166.6666666666667),硒(微克): 23.341099999999997 within (20.0, 133.33333333333334), NO: 镁(毫克): 229.66100000000003不合适,烟酸(毫克): 1.8554169999999999 not (5.0, 11.666666666666666),维生素C(毫克): 1.0950000000000002 not (33.333333333333336, 666.6666666666666),锰(毫克): 4.201332000000002 not (1.5, 3.6666666666666665),膳食纤维(克): 6.969599999999999 not (8.333333333333334, 10.0),钾(毫克): 514.9590000000001不合适,钠(毫克): 285.1177不合适"
9,"腊肠: 36.1克,胡萝卜: 67.0克,土豆: 200.0克,玉米: 92.8克,精盐: 4.4克,蚝油: 3.8克,生抽: 16.0克,芝麻油: 13.1克,老抽: 0.0克"," (18, 30)_男_低,YES: 烟酸(毫克): 6.10401 within (5.0, 11.666666666666666),铁(毫克): 4.7868 within (4.0, 14.0),维生素C(毫克): 72.801 within (33.333333333333336, 666.6666666666666),维生素E(毫克): 9.85031 within (4.666666666666667, 233.33333333333334),铜(毫克): 0.41091 within (0.26666666666666666, 2.6666666666666665),磷(毫克): 251.459 within (240.0, 1166.6666666666667), NO: 硫胺素(毫克): 0.37072不合适,钙(毫克): 52.43100000000001 not (266.6666666666667, 666.6666666666666),蛋白质(克): 17.3377 not (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.28452不合适,镁(毫克): 95.944不合适,脂肪(克): 32.19879999999999 not (15.933333333333332, 23.900000000000002),锰(毫克): 0.81165 not (1.5, 3.6666666666666665),膳食纤维(克): 5.9748 not (8.333333333333334, 10.0),锌(毫克): 2.7969099999999996 not (4.0, 13.333333333333334),维生素A(微克): 3418.0836000000004 not (256.6666666666667, 1000.0),钾(毫克): 1220.5800000000002不合适,钠(毫克): 3487.6989000000003不合适,硒(微克): 6.5576099999999995 not (20.0, 133.33333333333334)"
