index,nutrient_sums,suitable_combinations
0,"豆腐(内脂): 274.2克,鸡蛋: 114.6克,香菜: 40.0克,火腿: 23.2克,猪肉(瘦): 25.8克,玉米淀粉: 0.0克,精盐: 0.2克,花生油: 0.0克"," (18, 30)_男_低,YES: 硫胺素(毫克): 0.51086符合,核黄素(毫克): 0.49435999999999997符合,镁(毫克): 101.562符合,脂肪(克): 23.410999999999998 within (15.933333333333332, 23.900000000000002),烟酸(毫克): 5.2943999999999996 within (5.0, 11.666666666666666),铁(毫克): 6.9319999999999995 within (4.0, 14.0),维生素E(毫克): 11.640879999999997 within (4.666666666666667, 233.33333333333334),锌(毫克): 4.2217199999999995 within (4.0, 13.333333333333334),维生素A(微克): 290.188 within (256.6666666666667, 1000.0),铜(毫克): 0.6595799999999998 within (0.26666666666666666, 2.6666666666666665),钾(毫克): 675.5319999999999符合,磷(毫克): 394.516 within (240.0, 1166.6666666666667),钠(毫克): 533.2192符合,硒(微克): 22.004059999999996 within (20.0, 133.33333333333334), NO: 钙(毫克): 153.478 not (266.6666666666667, 666.6666666666666),蛋白质(克): 38.621199999999995 not (21.666666666666668, 35.833333333333336),维生素C(毫克): 19.200000000000003 not (33.333333333333336, 666.6666666666666),锰(毫克): 0.8883599999999999 not (1.5, 3.6666666666666665),膳食纤维(克): 1.5768 not (8.333333333333334, 10.0)"
1,"鸡蛋: 106.7克,香蕉: 87.3克,小麦粉(标准粉): 93.1克,芝麻籽(白): 28.3克,精盐: 1.0克,花生油: 0.0克"," (18, 30)_男_低,YES: 硫胺素(毫克): 0.506993符合,钙(毫克): 268.658 within (266.6666666666667, 666.6666666666666),蛋白质(克): 30.777070000000002 within (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.49987899999999996符合,脂肪(克): 22.280990000000003 within (15.933333333333332, 23.900000000000002),铁(毫克): 9.61978 within (4.0, 14.0),锰(毫克): 2.06476 within (1.5, 3.6666666666666665),维生素E(毫克): 14.559620000000002 within (4.666666666666667, 233.33333333333334),锌(毫克): 4.02532 within (4.0, 13.333333333333334),维生素A(微克): 266.4396 within (256.6666666666667, 1000.0),铜(毫克): 1.0195940000000001 within (0.26666666666666666, 2.6666666666666665),钾(毫克): 729.16符合,磷(毫克): 478.12299999999993 within (240.0, 1166.6666666666667),钠(毫克): 546.2922符合,硒(微克): 22.322920000000003 within (20.0, 133.33333333333334), NO: 镁(毫克): 137.977不合适,烟酸(毫克): 3.731345 not (5.0, 11.666666666666666),维生素C(毫克): 7.5950999999999995 not (33.333333333333336, 666.6666666666666),膳食纤维(克): 6.9983 not (8.333333333333334, 10.0)"
2,"鲑鱼[大麻哈鱼]: 75.1克,橄榄油: 11.7克,精盐: 0.1克,罗勒: 0.6克,全麦面包: 150.0克,生菜: 22.9克,樱桃: 0.0克,午餐肉: 5.4克,甜面酱: 10.0克,蓝莓: 0.0克"," (18, 30)_男_低,YES: 钙(毫克): 267.217 within (266.6666666666667, 666.6666666666666),蛋白质(克): 32.98403999999999 within (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.42069999999999996符合,脂肪(克): 23.752889999999997 within (15.933333333333332, 23.900000000000002),烟酸(毫克): 10.846674999999998 within (5.0, 11.666666666666666),铁(毫克): 4.60464 within (4.0, 14.0),锰(毫克): 3.41388 within (1.5, 3.6666666666666665),膳食纤维(克): 9.461100000000002 within (8.333333333333334, 10.0),维生素E(毫克): 4.84696 within (4.666666666666667, 233.33333333333334),维生素A(微克): 553.8634999999999 within (256.6666666666667, 1000.0),铜(毫克): 0.391591 within (0.26666666666666666, 2.6666666666666665),钾(毫克): 726.7909999999999符合,磷(毫克): 452.65900000000005 within (240.0, 1166.6666666666667),硒(微克): 61.63357 within (20.0, 133.33333333333334), NO: 硫胺素(毫克): 0.6755599999999999不合适,镁(毫克): 146.72299999999998不合适,维生素C(毫克): 2.1367999999999996 not (33.333333333333336, 666.6666666666666),锌(毫克): 3.7462500000000003 not (4.0, 13.333333333333334),钠(毫克): 1038.5381不合适"
3,"精盐: 0.9克,柠檬: 303.7克,花生油: 14.7克"," (18, 30)_男_低,YES: 钙(毫克): 308.69899999999996 within (266.6666666666667, 666.6666666666666),镁(毫克): 112.681符合,脂肪(克): 18.3297 within (15.933333333333332, 23.900000000000002),维生素C(毫克): 66.814 within (33.333333333333336, 666.6666666666666),维生素E(毫克): 9.645 within (4.666666666666667, 233.33333333333334),铜(毫克): 0.44849 within (0.26666666666666666, 2.6666666666666665),钾(毫克): 635.006符合, NO: 硫胺素(毫克): 0.15185不合适,蛋白质(克): 3.3407 not (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.06074不合适,烟酸(毫克): 1.8221999999999998 not (5.0, 11.666666666666666),铁(毫克): 2.8649 not (4.0, 14.0),锰(毫克): 0.20297 not (1.5, 3.6666666666666665),膳食纤维(克): 3.9481 not (8.333333333333334, 10.0),锌(毫克): 2.04677 not (4.0, 13.333333333333334),维生素A(微克): 0.0 not (256.6666666666667, 1000.0),磷(毫克): 69.01899999999999 not (240.0, 1166.6666666666667),钠(毫克): 357.65420000000006不合适,硒(微克): 1.5274999999999999 not (20.0, 133.33333333333334)"
4,"鸡腿: 60.9克,胡萝卜: 12.0克,土豆: 196.8克,洋葱: 32.2克,青豆: 36.4克,咖喱粉: 25.6克,精盐: 0.0克,酱油: 4.3克,火腿: 0.0克,玉米粒: 20.0克,海苔: 10.0克,番茄酱: 6.3克,花生油: 2.0克"," (18, 30)_男_低,YES: 硫胺素(毫克): 0.491344符合,钙(毫克): 275.699 within (266.6666666666667, 666.6666666666666),蛋白质(克): 35.795739999999995 within (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.43613100000000005符合,脂肪(克): 21.24269 within (15.933333333333332, 23.900000000000002),烟酸(毫克): 9.698476000000001 within (5.0, 11.666666666666666),铁(毫克): 12.65221 within (4.0, 14.0),维生素C(毫克): 75.006 within (33.333333333333336, 666.6666666666666),锰(毫克): 3.6608280000000004 within (1.5, 3.6666666666666665),维生素E(毫克): 11.58366 within (4.666666666666667, 233.33333333333334),锌(毫克): 4.77109 within (4.0, 13.333333333333334),维生素A(微克): 878.1428000000002 within (256.6666666666667, 1000.0),铜(毫克): 1.3078009999999998 within (0.26666666666666666, 2.6666666666666665),磷(毫克): 540.4509999999999 within (240.0, 1166.6666666666667),钠(毫克): 530.6357符合,硒(微克): 27.83172 within (20.0, 133.33333333333334), NO: 镁(毫克): 238.02不合适,膳食纤维(克): 26.7204 not (8.333333333333334, 10.0),钾(毫克): 1783.066不合适"
5,"小麦粉: 104.9克,鸡蛋: 100.0克,红糖: 90.1克,酵母(干): 0.0克,泡打粉: 0.5克,红豆馅: 93.9克,枣: 100.0克,葡萄干: 20.7克,精盐: 0.2克,花生油: 2.0克"," (18, 30)_男_低,YES: 硫胺素(毫克): 0.4889200000000001符合,钙(毫克): 285.562 within (266.6666666666667, 666.6666666666666),蛋白质(克): 31.9047 within (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.44087符合,脂肪(克): 16.0367 within (15.933333333333332, 23.900000000000002),烟酸(毫克): 5.064700000000001 within (5.0, 11.666666666666666),铁(毫克): 11.057400000000001 within (4.0, 14.0),维生素C(毫克): 70.035 within (33.333333333333336, 666.6666666666666),锰(毫克): 2.3263700000000003 within (1.5, 3.6666666666666665),膳食纤维(克): 9.963200000000002 within (8.333333333333334, 10.0),维生素E(毫克): 13.180030000000002 within (4.666666666666667, 233.33333333333334),锌(毫克): 4.07236 within (4.0, 13.333333333333334),铜(毫克): 1.02344 within (0.26666666666666666, 2.6666666666666665),磷(毫克): 496.969 within (240.0, 1166.6666666666667),钠(毫克): 513.7846000000001符合,硒(微克): 24.982709999999997 within (20.0, 133.33333333333334), NO: 镁(毫克): 142.815不合适,维生素A(微克): 248.8323 not (256.6666666666667, 1000.0),钾(毫克): 1288.277不合适"
6,"鸡腿: 102.2克,调味料: 0.0克,泡打粉: 0.0克,鸡蛋: 79.9克,小麦粉(标准粉): 139.5克,玉米淀粉: 0.0克,精盐: 0.8克,洋葱粉: 0.8克,蒜: 3.2克,辣椒粉: 1.0克,咖喱粉: 0.9克,胡椒粉(黑色): 1.0克,花生油: 0.8克"," (18, 30)_男_低,YES: 硫胺素(毫克): 0.51175符合,核黄素(毫克): 0.48637000000000014符合,镁(毫克): 120.459符合,脂肪(克): 23.486909999999998 within (15.933333333333332, 23.900000000000002),烟酸(毫克): 9.223538 within (5.0, 11.666666666666666),铁(毫克): 8.6063 within (4.0, 14.0),锰(毫克): 2.524514000000001 within (1.5, 3.6666666666666665),维生素E(毫克): 4.743879999999999 within (4.666666666666667, 233.33333333333334),锌(毫克): 4.45602 within (4.0, 13.333333333333334),维生素A(微克): 264.94270000000006 within (256.6666666666667, 1000.0),铜(毫克): 0.8479379999999999 within (0.26666666666666666, 2.6666666666666665),钾(毫克): 693.652符合,磷(毫克): 558.129 within (240.0, 1166.6666666666667),钠(毫克): 492.52180000000004符合,硒(微克): 32.676159999999996 within (20.0, 133.33333333333334), NO: 钙(毫克): 113.87199999999999 not (266.6666666666667, 666.6666666666666),蛋白质(克): 43.274010000000004 not (21.666666666666668, 35.833333333333336),维生素C(毫克): 1.1919 not (33.333333333333336, 666.6666666666666),膳食纤维(克): 4.2851 not (8.333333333333334, 10.0)"
7,"鲫鱼[喜头鱼，海附鱼]: 0.0克,羊排: 31.2克,猪肚: 59.5克,香菇: 120.0克,大白菜: 56.3克,油面筋: 53.8克,白萝卜: 115.6克,大葱: 18.3克,小葱: 21.0克,姜: 30.0克,香菜: 30.0克,崇明老白酒: 6.0克,黄酒: 0.0克,精盐: 0.7克,花椒: 1.2克,胡椒粉: 1.3克,猪油(板油): 2.2克"," (18, 30)_男_低,YES: 蛋白质(克): 35.532999999999994 within (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.45321999999999996符合,镁(毫克): 105.242符合,脂肪(克): 23.3711 within (15.933333333333332, 23.900000000000002),烟酸(毫克): 8.9294 within (5.0, 11.666666666666666),铁(毫克): 6.567699999999998 within (4.0, 14.0),维生素C(毫克): 64.85 within (33.333333333333336, 666.6666666666666),锰(毫克): 2.4434899999999997 within (1.5, 3.6666666666666665),膳食纤维(克): 8.341999999999997 within (8.333333333333334, 10.0),维生素E(毫克): 6.67074 within (4.666666666666667, 233.33333333333334),锌(毫克): 5.229730000000001 within (4.0, 13.333333333333334),维生素A(微克): 806.8721999999999 within (256.6666666666667, 1000.0),铜(毫克): 0.6976099999999998 within (0.26666666666666666, 2.6666666666666665),钾(毫克): 649.9209999999998符合,磷(毫克): 331.67099999999994 within (240.0, 1166.6666666666667),钠(毫克): 487.5797符合,硒(微克): 25.17448 within (20.0, 133.33333333333334), NO: 硫胺素(毫克): 0.19619不合适,钙(毫克): 165.668 not (266.6666666666667, 666.6666666666666)"
8,"燕麦片: 110.9克,鸡蛋: 121.5克,洋葱: 92.0克,胡萝卜: 0.0克,精盐: 0.0克,胡椒粉: 0.0克,五香粉: 0.0克,酱油: 0.0克,胡椒粉(黑色): 4.0克,花生油: 0.0克"," (18, 30)_男_低,YES: 硫胺素(毫克): 0.5129900000000001符合,钙(毫克): 313.1940000000001 within (266.6666666666667, 666.6666666666666),蛋白质(克): 34.2221 within (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.50426符合,脂肪(克): 18.344700000000003 within (15.933333333333332, 23.900000000000002),铁(毫克): 10.7746 within (4.0, 14.0),膳食纤维(克): 8.4537 within (8.333333333333334, 10.0),维生素E(毫克): 5.7002299999999995 within (4.666666666666667, 233.33333333333334),锌(毫克): 4.4128099999999995 within (4.0, 13.333333333333334),维生素A(微克): 291.42600000000004 within (256.6666666666667, 1000.0),铜(毫克): 0.7703800000000001 within (0.26666666666666666, 2.6666666666666665),钾(毫克): 611.916符合,磷(毫克): 513.669 within (240.0, 1166.6666666666667),硒(微克): 22.858890000000002 within (20.0, 133.33333333333334), NO: 镁(毫克): 224.483不合适,烟酸(毫克): 1.72624 not (5.0, 11.666666666666666),维生素C(毫克): 6.808000000000001 not (33.333333333333336, 666.6666666666666),锰(毫克): 4.403639999999999 not (1.5, 3.6666666666666665),钠(毫克): 168.35580000000002不合适"
9,"腊肠: 100.0克,胡萝卜: 84.9克,土豆: 200.0克,玉米: 100.0克,精盐: 0.0克,蚝油: 11.3克,生抽: 20.0克,芝麻油: 14.8克,老抽: 8.9克"," (18, 30)_男_低,YES: 硫胺素(毫克): 0.42383400000000004符合,蛋白质(克): 33.32277 within (21.666666666666668, 35.833333333333336),镁(毫克): 118.467符合,烟酸(毫克): 9.090487000000001 within (5.0, 11.666666666666666),铁(毫克): 7.6988 within (4.0, 14.0),维生素C(毫克): 75.0091 within (33.333333333333336, 666.6666666666666),维生素E(毫克): 11.174080000000002 within (4.666666666666667, 233.33333333333334),锌(毫克): 4.678459999999999 within (4.0, 13.333333333333334),铜(毫克): 0.516415 within (0.26666666666666666, 2.6666666666666665),磷(毫克): 337.242 within (240.0, 1166.6666666666667), NO: 钙(毫克): 77.777 not (266.6666666666667, 666.6666666666666),核黄素(毫克): 0.39627200000000007不合适,脂肪(克): 64.93996000000001 not (15.933333333333332, 23.900000000000002),锰(毫克): 1.047817 not (1.5, 3.6666666666666665),膳食纤维(克): 6.6998 not (8.333333333333334, 10.0),维生素A(微克): 4319.818200000001 not (256.6666666666667, 1000.0),钾(毫克): 1422.9660000000003不合适,钠(毫克): 3885.7338000000004不合适,硒(微克): 12.473999999999998 not (20.0, 133.33333333333334)"
