index,nutrient_sums,suitable_combinations
0,"豆腐(内脂): 290.6克,鸡蛋: 111.0克,香菜: 11.7克,火腿: 25.6克,猪肉(瘦): 20.6克,玉米淀粉: 96.4克,精盐: 0.0克,花生油: 0.0克"," (18, 30)_男_低,YES: 硫胺素(毫克): 0.5129800000000001符合,核黄素(毫克): 0.48546符合,镁(毫克): 100.75900000000001符合,脂肪(克): 23.7242 within (15.933333333333332, 23.900000000000002),烟酸(毫克): 5.705000000000001 within (5.0, 11.666666666666666),铁(毫克): 9.9213 within (4.0, 14.0),维生素E(毫克): 11.884400000000001 within (4.666666666666667, 233.33333333333334),锌(毫克): 4.127610000000001 within (4.0, 13.333333333333334),维生素A(微克): 280.58000000000004 within (256.6666666666667, 1000.0),铜(毫克): 0.67947 within (0.26666666666666666, 2.6666666666666665),钾(毫克): 605.696符合,磷(毫克): 401.7490000000001 within (240.0, 1166.6666666666667),钠(毫克): 466.3513符合,硒(微克): 21.720270000000003 within (20.0, 133.33333333333334), NO: 钙(毫克): 142.735 not (266.6666666666667, 666.6666666666666),蛋白质(克): 38.9382 not (21.666666666666668, 35.833333333333336),维生素C(毫克): 5.616 not (33.333333333333336, 666.6666666666666),锰(毫克): 0.89734 not (1.5, 3.6666666666666665),膳食纤维(克): 1.3992000000000002 not (8.333333333333334, 10.0)"
1,"鸡蛋: 100.0克,香蕉: 88.4克,小麦粉(标准粉): 100.0克,芝麻籽(黑): 10.0克,精盐: 0.9克,花生油: 0.7克"," (18, 30)_男_低,YES: 硫胺素(毫克): 0.453404符合,蛋白质(克): 27.30356 within (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.44053200000000003符合,镁(毫克): 104.1符合,铁(毫克): 7.16914 within (4.0, 14.0),锰(毫克): 1.9606000000000001 within (1.5, 3.6666666666666665),维生素E(毫克): 7.85082 within (4.666666666666667, 233.33333333333334),铜(毫克): 0.782262 within (0.26666666666666666, 2.6666666666666665),钾(毫克): 687.2049999999999符合,磷(毫克): 388.853 within (240.0, 1166.6666666666667),钠(毫克): 492.52750000000003符合,硒(微克): 20.999 within (20.0, 133.33333333333334), NO: 钙(毫克): 153.70200000000003 not (266.6666666666667, 666.6666666666666),脂肪(克): 15.25102 not (15.933333333333332, 23.900000000000002),烟酸(毫克): 3.16786 not (5.0, 11.666666666666666),维生素C(毫克): 7.690799999999999 not (33.333333333333336, 666.6666666666666),膳食纤维(克): 5.378400000000001 not (8.333333333333334, 10.0),锌(毫克): 3.2991200000000003 not (4.0, 13.333333333333334),维生素A(微克): 250.9728 not (256.6666666666667, 1000.0)"
2,"鲑鱼[大麻哈鱼]: 55.0克,橄榄油: 20.0克,精盐: 0.3克,罗勒: 0.2克,全麦面包: 86.0克,生菜: 16.8克,樱桃: 100.0克,午餐肉: 21.9克,甜面酱: 8.7克,樱桃: 0.0克,蓝莓: 1.6克"," (18, 30)_男_低,YES: 硫胺素(毫克): 0.464862符合,蛋白质(克): 24.05202 within (21.666666666666668, 35.833333333333336),镁(毫克): 105.002符合,烟酸(毫克): 9.511267999999998 within (5.0, 11.666666666666666),锰(毫克): 2.076896 within (1.5, 3.6666666666666665),维生素E(毫克): 5.172200000000001 within (4.666666666666667, 233.33333333333334),维生素A(微克): 437.5952000000001 within (256.6666666666667, 1000.0),铜(毫克): 0.347704 within (0.26666666666666666, 2.6666666666666665),钾(毫克): 732.425符合,磷(毫克): 323.565 within (240.0, 1166.6666666666667),硒(微克): 40.07307000000001 within (20.0, 133.33333333333334), NO: 钙(毫克): 178.39600000000002 not (266.6666666666667, 666.6666666666666),核黄素(毫克): 0.29984600000000006不合适,脂肪(克): 31.04606 not (15.933333333333332, 23.900000000000002),铁(毫克): 3.4183600000000003 not (4.0, 14.0),维生素C(毫克): 11.7108 not (33.333333333333336, 666.6666666666666),膳食纤维(克): 5.8464 not (8.333333333333334, 10.0),锌(毫克): 2.82173 not (4.0, 13.333333333333334),钠(毫克): 954.2718999999998不合适"
3,"精盐: 1.3克,柠檬: 50.2克,花生油: 1.3克"," (18, 30)_男_低,YES: 钠(毫克): 511.6407000000001符合, NO: 硫胺素(毫克): 0.0251不合适,钙(毫克): 51.144 not (266.6666666666667, 666.6666666666666),蛋白质(克): 0.5522 not (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.01004不合适,镁(毫克): 18.626不合适,脂肪(克): 1.9011 not (15.933333333333332, 23.900000000000002),烟酸(毫克): 0.30119999999999997 not (5.0, 11.666666666666666),铁(毫克): 0.45230000000000004 not (4.0, 14.0),维生素C(毫克): 11.044 not (33.333333333333336, 666.6666666666666),锰(毫克): 0.03316 not (1.5, 3.6666666666666665),膳食纤维(克): 0.6526000000000001 not (8.333333333333334, 10.0),维生素E(毫克): 1.11906 not (4.666666666666667, 233.33333333333334),锌(毫克): 0.33566000000000007 not (4.0, 13.333333333333334),维生素A(微克): 0.0 not (256.6666666666667, 1000.0),铜(毫克): 0.07405 not (0.26666666666666666, 2.6666666666666665),钾(毫克): 105.11300000000001不合适,磷(毫克): 11.239 not (240.0, 1166.6666666666667),硒(微克): 0.264 not (20.0, 133.33333333333334)"
4,"鸡腿: 32.8克,胡萝卜: 12.7克,土豆: 200.0克,洋葱: 50.0克,青豆: 33.4克,咖喱粉: 26.3克,精盐: 3.1克,酱油: 0.0克,火腿: 9.8克,玉米粒: 6.9克,海苔: 8.0克,番茄酱: 5.1克,花生油: 0.9克"," (18, 30)_男_低,YES: 硫胺素(毫克): 0.455905符合,钙(毫克): 268.40900000000005 within (266.6666666666667, 666.6666666666666),蛋白质(克): 30.01726 within (21.666666666666668, 35.833333333333336),脂肪(克): 18.07867 within (15.933333333333332, 23.900000000000002),烟酸(毫克): 8.067283999999999 within (5.0, 11.666666666666666),铁(毫克): 11.723790000000001 within (4.0, 14.0),维生素C(毫克): 73.5134 within (33.333333333333336, 666.6666666666666),锰(毫克): 3.5617259999999993 within (1.5, 3.6666666666666665),维生素E(毫克): 10.93034 within (4.666666666666667, 233.33333333333334),锌(毫克): 4.26149 within (4.0, 13.333333333333334),维生素A(微克): 859.0055000000001 within (256.6666666666667, 1000.0),铜(毫克): 1.2040809999999997 within (0.26666666666666666, 2.6666666666666665),磷(毫克): 454.82399999999996 within (240.0, 1166.6666666666667),硒(微克): 22.21588 within (20.0, 133.33333333333334), NO: 核黄素(毫克): 0.358125不合适,镁(毫克): 207.383不合适,膳食纤维(克): 25.1284 not (8.333333333333334, 10.0),钾(毫克): 1658.7030000000002不合适,钠(毫克): 1508.9596000000001不合适"
5,"小麦粉: 162.6克,鸡蛋: 79.5克,红糖: 3.6克,酵母(干): 3.3克,泡打粉: 0.7克,红豆馅: 56.9克,枣: 53.8克,葡萄干: 35.5克,精盐: 1.2克,花生油: 1.0克"," (18, 30)_男_低,YES: 蛋白质(克): 34.645700000000005 within (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.50525符合,镁(毫克): 120.193符合,烟酸(毫克): 6.3650400000000005 within (5.0, 11.666666666666666),铁(毫克): 12.11694 within (4.0, 14.0),维生素C(毫克): 38.89699999999999 within (33.333333333333336, 666.6666666666666),锰(毫克): 2.910752 within (1.5, 3.6666666666666665),膳食纤维(克): 8.7538 within (8.333333333333334, 10.0),维生素E(毫克): 10.02793 within (4.666666666666667, 233.33333333333334),锌(毫克): 4.1636700000000015 within (4.0, 13.333333333333334),铜(毫克): 1.0943939999999999 within (0.26666666666666666, 2.6666666666666665),磷(毫克): 615.101 within (240.0, 1166.6666666666667),硒(微克): 21.655549999999998 within (20.0, 133.33333333333334), NO: 硫胺素(毫克): 0.8250400000000001不合适,钙(毫克): 165.68000000000004 not (266.6666666666667, 666.6666666666666),脂肪(克): 12.790900000000004 not (15.933333333333332, 23.900000000000002),维生素A(微克): 196.87619999999998 not (256.6666666666667, 1000.0),钾(毫克): 1127.2069999999999不合适,钠(毫克): 975.6011不合适"
6,"鸡腿: 46.0克,调味料: 0.0克,泡打粉: 2.8克,鸡蛋: 100.0克,小麦粉(标准粉): 115.0克,玉米淀粉: 45.1克,精盐: 7.7克,洋葱粉: 8.0克,蒜: 8.3克,辣椒粉: 0.6克,咖喱粉: 0.8克,胡椒粉(黑色): 1.0克,花生油: 0.5克"," (18, 30)_男_低,YES: 硫胺素(毫克): 0.5104379999999998符合,钙(毫克): 280.82699999999994 within (266.6666666666667, 666.6666666666666),蛋白质(克): 35.75410000000001 within (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.46829000000000004符合,镁(毫克): 103.025符合,脂肪(克): 17.38718 within (15.933333333333332, 23.900000000000002),烟酸(毫克): 5.9235500000000005 within (5.0, 11.666666666666666),铁(毫克): 9.667299999999997 within (4.0, 14.0),锰(毫克): 2.339796 within (1.5, 3.6666666666666665),锌(毫克): 4.061729999999999 within (4.0, 13.333333333333334),维生素A(微克): 274.8887 within (256.6666666666667, 1000.0),铜(毫克): 0.818117 within (0.26666666666666666, 2.6666666666666665),磷(毫克): 674.2210000000001 within (240.0, 1166.6666666666667),硒(微克): 29.342699999999997 within (20.0, 133.33333333333334), NO: 维生素C(毫克): 4.4672 not (33.333333333333336, 666.6666666666666),膳食纤维(克): 4.8516 not (8.333333333333334, 10.0),维生素E(毫克): 4.46664 not (4.666666666666667, 233.33333333333334),钾(毫克): 914.1919999999998不合适,钠(毫克): 4736.241800000001不合适"
0,"鲫鱼[喜头鱼，海附鱼]: 84.6克,羊排: 27.7克,猪肚: 55.9克,香菇: 98.6克,大白菜: 61.6克,油面筋: 43.8克,白萝卜: 67.4克,大葱: 13.3克,小葱: 24.6克,姜: 20.6克,香菜: 13.5克,崇明老白酒: 9.0克,黄酒: 14.4克,精盐: 0.9克,花椒: 0.8克,胡椒粉: 0.3克,猪油(板油): 2.3克"," (18, 30)_男_低,YES: 核黄素(毫克): 0.45059符合,镁(毫克): 113.816符合,脂肪(克): 22.339199999999995 within (15.933333333333332, 23.900000000000002),烟酸(毫克): 9.526699999999998 within (5.0, 11.666666666666666),铁(毫克): 6.2882 within (4.0, 14.0),维生素C(毫克): 47.98100000000001 within (33.333333333333336, 666.6666666666666),锰(毫克): 1.8977499999999998 within (1.5, 3.6666666666666665),维生素E(毫克): 5.971429999999999 within (4.666666666666667, 233.33333333333334),锌(毫克): 6.055919999999999 within (4.0, 13.333333333333334),维生素A(微克): 894.7344000000002 within (256.6666666666667, 1000.0),铜(毫克): 0.61278 within (0.26666666666666666, 2.6666666666666665),钾(毫克): 712.2629999999999符合,磷(毫克): 438.76899999999995 within (240.0, 1166.6666666666667),硒(微克): 33.45454 within (20.0, 133.33333333333334), NO: 硫胺素(毫克): 0.20112999999999995不合适,钙(毫克): 192.958 not (266.6666666666667, 666.6666666666666),蛋白质(克): 44.957800000000006 not (21.666666666666668, 35.833333333333336),膳食纤维(克): 6.461999999999999 not (8.333333333333334, 10.0),钠(毫克): 556.6848不合适"
8,"燕麦片: 101.4克,鸡蛋: 134.2克,洋葱: 11.7克,胡萝卜: 0.0克,精盐: 3.4克,胡椒粉: 1.0克,五香粉: 1.1克,酱油: 5.2克,胡椒粉(黑色): 0.8克,花生油: 0.9克"," (18, 30)_男_低,YES: 硫胺素(毫克): 0.46114999999999995符合,钙(毫克): 273.7419999999999 within (266.6666666666667, 666.6666666666666),蛋白质(克): 33.74142 within (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.505357符合,脂肪(克): 19.676800000000004 within (15.933333333333332, 23.900000000000002),铁(毫克): 10.43091 within (4.0, 14.0),锰(毫克): 3.6037669999999995 within (1.5, 3.6666666666666665),维生素E(毫克): 6.07695 within (4.666666666666667, 233.33333333333334),锌(毫克): 4.1993 within (4.0, 13.333333333333334),维生素A(微克): 315.51099999999997 within (256.6666666666667, 1000.0),铜(毫克): 0.6979949999999999 within (0.26666666666666666, 2.6666666666666665),磷(毫克): 481.65999999999997 within (240.0, 1166.6666666666667),硒(微克): 23.927349999999993 within (20.0, 133.33333333333334), NO: 镁(毫克): 199.278不合适,烟酸(毫克): 1.6894719999999999 not (5.0, 11.666666666666666),维生素C(毫克): 0.8658 not (33.333333333333336, 666.6666666666666),膳食纤维(克): 5.8828 not (8.333333333333334, 10.0),钾(毫克): 489.165不合适,钠(毫克): 1872.4465000000002不合适"
9,"腊肠: 88.5克,胡萝卜: 12.9克,土豆: 200.0克,玉米: 100.0克,精盐: 0.0克,蚝油: 4.0克,生抽: 2.8克,芝麻油: 20.0克,老抽: 10.0克"," (18, 30)_男_低,YES: 蛋白质(克): 28.822369999999996 within (21.666666666666668, 35.833333333333336),镁(毫克): 99.38499999999999符合,烟酸(毫克): 7.720047 within (5.0, 11.666666666666666),铁(毫克): 6.744300000000001 within (4.0, 14.0),维生素C(毫克): 70.7611 within (33.333333333333336, 666.6666666666666),维生素E(毫克): 14.25514 within (4.666666666666667, 233.33333333333334),锌(毫克): 4.0423599999999995 within (4.0, 13.333333333333334),维生素A(微克): 711.3222000000001 within (256.6666666666667, 1000.0),铜(毫克): 0.45679500000000006 within (0.26666666666666666, 2.6666666666666665),磷(毫克): 287.332 within (240.0, 1166.6666666666667), NO: 硫胺素(毫克): 0.36787400000000003不合适,钙(毫克): 47.445 not (266.6666666666667, 666.6666666666666),核黄素(毫克): 0.31756200000000007不合适,脂肪(克): 64.36126 not (15.933333333333332, 23.900000000000002),锰(毫克): 0.893167 not (1.5, 3.6666666666666665),膳食纤维(克): 4.6692 not (8.333333333333334, 10.0),钾(毫克): 1107.1560000000002不合适,钠(毫克): 2322.101不合适,硒(微克): 11.19075 not (20.0, 133.33333333333334)"
