index,nutrient_sums,suitable_combinations
0,"[('豆腐(内脂)', 284.24165029146286), ('鸡蛋', 100.0), ('香菜', 18.210939021838136), ('火腿', 14.154806744486013), ('猪肉(瘦)', 72.14018241225375), ('玉米淀粉', 7.983100565286292), ('精盐', 2.0), ('花生油', 0.0)]"," (18, 30)_男_低,YES: 核黄素(毫克): 0.468840558426418符合,镁(毫克): 105.6125989330355符合,脂肪(克): 22.632526569739333 within (15.933333333333332, 23.900000000000002),烟酸(毫克): 6.581922763448222 within (5.0, 11.666666666666666),铁(毫克): 7.616985677322765 within (4.0, 14.0),维生素E(毫克): 11.610480385833945 within (4.666666666666667, 233.33333333333334),锌(毫克): 5.21999837251736 within (4.0, 13.333333333333334),维生素A(微克): 272.2528913638552 within (256.6666666666667, 1000.0),铜(毫克): 0.6568233337695302 within (0.26666666666666666, 2.6666666666666665),钾(毫克): 725.6501011567555符合,磷(毫克): 452.0211467573531 within (240.0, 1166.6666666666667),硒(微克): 24.085641176260037 within (20.0, 133.33333333333334), NO: 硫胺素(毫克): 0.71941473986393不合适,钙(毫克): 129.34414221042655 not (266.6666666666667, 666.6666666666666),蛋白质(克): 44.84490273255494 not (21.666666666666668, 35.833333333333336),维生素C(毫克): 8.741250730482305 not (33.333333333333336, 666.6666666666666),锰(毫克): 0.867114447723064 not (1.5, 3.6666666666666665),膳食纤维(克): 1.3634809699931956 not (8.333333333333334, 10.0),钠(毫克): 1140.5475961592335不合适"
1,"[('鸡蛋', 97.94540456673684), ('香蕉', 97.9393666359123), ('小麦粉(标准粉)', 100.0), ('芝麻籽(黑)', 10.0), ('精盐', 0.0046055698322115275), ('花生油', 1.0771229795005994)]"," (18, 30)_男_低,YES: 硫胺素(毫克): 0.4841011486805434符合,蛋白质(克): 27.204277903707446 within (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.4409483299744055符合,镁(毫克): 115.25980401935665符合,脂肪(克): 16.128441368292453 within (15.933333333333332, 23.900000000000002),铁(毫克): 8.014833066691947 within (4.0, 14.0),锰(毫克): 3.6521823137285234 within (1.5, 3.6666666666666665),维生素E(毫克): 9.193172735841824 within (4.666666666666667, 233.33333333333334),铜(毫克): 0.8219329450931329 within (0.26666666666666666, 2.6666666666666665),钾(毫克): 727.2702715989121符合,磷(毫克): 388.63725504358376 within (240.0, 1166.6666666666667),硒(微克): 20.854810736927508 within (20.0, 133.33333333333334), NO: 钙(毫克): 168.87666287207142 not (266.6666666666667, 666.6666666666666),烟酸(毫克): 3.43718759726229 not (5.0, 11.666666666666666),维生素C(毫克): 8.520724897324369 not (33.333333333333336, 666.6666666666666),膳食纤维(克): 6.04642353253372 not (8.333333333333334, 10.0),锌(毫克): 3.4824897438571742 not (4.0, 13.333333333333334),维生素A(微克): 247.99660508025937 not (256.6666666666667, 1000.0),钠(毫克): 135.55579553264127不合适"
2,"[('鲑鱼[大麻哈鱼]', 68.7000860081628), ('橄榄油', 7.546305136987556), ('精盐', 1.5055867441207034), ('罗勒', 0.03704175108351038), ('全麦面包', 100.0), ('生菜', 18.62860599557687), ('樱桃', 50.71900820853823), ('午餐肉', 0.0), ('甜面酱', 10.659246273183319), ('樱桃', 23.11357003385531), ('蓝莓', 2.799233696350148)]"," (18, 30)_男_低,YES: 硫胺素(毫克): 0.474130090400701符合,蛋白质(克): 25.940302656529422 within (21.666666666666668, 35.833333333333336),镁(毫克): 114.02239317529043符合,脂肪(克): 16.646403622009412 within (15.933333333333332, 23.900000000000002),烟酸(毫克): 8.198542248611346 within (5.0, 11.666666666666666),锰(毫克): 2.3778303454395426 within (1.5, 3.6666666666666665),维生素E(毫克): 5.122418526613699 within (4.666666666666667, 233.33333333333334),维生素A(微克): 473.0635471636155 within (256.6666666666667, 1000.0),铜(毫克): 0.34367645989492823 within (0.26666666666666666, 2.6666666666666665),钾(毫克): 732.1639156761639符合,磷(毫克): 351.5962366661199 within (240.0, 1166.6666666666667),硒(微克): 46.84989270649757 within (20.0, 133.33333333333334), NO: 钙(毫克): 188.45482646143088 not (266.6666666666667, 666.6666666666666),核黄素(毫克): 0.33640018585759346不合适,铁(毫克): 3.5700782277772354 not (4.0, 14.0),维生素C(毫克): 9.370467331932565 not (33.333333333333336, 666.6666666666666),膳食纤维(克): 6.681525297498906 not (8.333333333333334, 10.0),锌(毫克): 2.891299773215765 not (4.0, 13.333333333333334),钠(毫克): 1325.0467919205853不合适"
3,"[('精盐', 1.2144272749506886), ('柠檬', 64.89240421317425), ('花生油', 2.0)]"," (18, 30)_男_低,YES: 钠(毫克): 478.1873225022101符合, NO: 硫胺素(毫克): 0.03244620210658713不合适,钙(毫克): 66.04850225579513 not (266.6666666666667, 666.6666666666666),蛋白质(克): 0.7138164463449168 not (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.01297848084263485不合适,镁(毫克): 24.074478104373487不合适,脂肪(克): 2.7767088505580912 not (15.933333333333332, 23.900000000000002),烟酸(毫克): 0.38935442527904546 not (5.0, 11.666666666666666),铁(毫克): 0.5892835064549009 not (4.0, 14.0),维生素C(毫克): 14.276328926898335 not (33.333333333333336, 666.6666666666666),锰(毫克): 0.042568041203944126 not (1.5, 3.6666666666666665),膳食纤维(克): 0.8436012547712652 not (8.333333333333334, 10.0),维生素E(毫克): 1.5809734080301863 not (4.666666666666667, 233.33333333333334),锌(毫克): 0.43431525284551425 not (4.0, 13.333333333333334),维生素A(微克): 0.0 not (256.6666666666667, 1000.0),铜(毫克): 0.09554956408337492 not (0.26666666666666666, 2.6666666666666665),钾(毫克): 135.81514462402728不合适,磷(毫克): 14.576328926898336 not (240.0, 1166.6666666666667),硒(微克): 0.33660629381537815 not (20.0, 133.33333333333334)"
4,"[('鸡腿', 72.71571901632872), ('胡萝卜', 100.0), ('土豆', 88.07116177701448), ('洋葱', 22.6086393245169), ('青豆', 29.528105583873497), ('咖喱粉', 26.332796757817967), ('精盐', 2.2141869046819442), ('酱油', 16.423715811615033), ('火腿', 9.28026478706617), ('玉米粒', 12.893281617794749), ('海苔', 7.240673562912315), ('番茄酱', 3.953214619303207), ('花生油', 2.0)]"," (18, 30)_男_低,YES: 硫胺素(毫克): 0.42989641971174997符合,钙(毫克): 277.0476710027235 within (266.6666666666667, 666.6666666666666),蛋白质(克): 34.69630153883309 within (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.4276448006335567符合,脂肪(克): 23.896669965428572 within (15.933333333333332, 23.900000000000002),烟酸(毫克): 10.469821360825108 within (5.0, 11.666666666666666),铁(毫克): 11.419523840522778 within (4.0, 14.0),维生素C(毫克): 45.00423539412979 within (33.333333333333336, 666.6666666666666),锰(毫克): 3.4470944721413677 within (1.5, 3.6666666666666665),维生素E(毫克): 11.557889934331307 within (4.666666666666667, 233.33333333333334),锌(毫克): 4.458697267456799 within (4.0, 13.333333333333334),铜(毫克): 1.0953474412229047 within (0.26666666666666666, 2.6666666666666665),磷(毫克): 508.5765741808689 within (240.0, 1166.6666666666667),硒(微克): 26.83832039640423 within (20.0, 133.33333333333334), NO: 镁(毫克): 207.91333877284504不合适,膳食纤维(克): 25.99645235703688 not (8.333333333333334, 10.0),维生素A(微克): 5234.854081591403 not (256.6666666666667, 1000.0),钾(毫克): 1649.0006850795462不合适,钠(毫克): 2346.528481555721不合适"
5,"[('小麦粉', 147.79989777579092), ('鸡蛋', 56.53868469546322), ('红糖', 108.64170928788948), ('酵母(干)', 4.080785823321815), ('泡打粉', 0.011577097710387757), ('红豆馅', 62.07384706844789), ('枣', 100.0), ('葡萄干', 31.1554229542717), ('精盐', 0.8913042532573324), ('花生油', 1.211534358238834)]"," (18, 30)_男_低,YES: 钙(毫克): 291.6580361037717 within (266.6666666666667, 666.6666666666666),蛋白质(克): 31.734621442541602 within (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.4786376155138881符合,烟酸(毫克): 7.194773360495031 within (5.0, 11.666666666666666),铁(毫克): 13.41746956069704 within (4.0, 14.0),维生素C(毫克): 70.55777114771358 within (33.333333333333336, 666.6666666666666),锰(毫克): 2.9889001071672388 within (1.5, 3.6666666666666665),膳食纤维(克): 8.828755315159391 within (8.333333333333334, 10.0),维生素E(毫克): 9.902453085612684 within (4.666666666666667, 233.33333333333334),锌(毫克): 4.092664688138433 within (4.0, 13.333333333333334),铜(毫克): 1.1748373204947555 within (0.26666666666666666, 2.6666666666666665),磷(毫克): 547.8265271249644 within (240.0, 1166.6666666666667),钠(毫克): 466.57336014952875符合,硒(微克): 21.895969641868774 within (20.0, 133.33333333333334), NO: 硫胺素(毫克): 0.8274654073621478不合适,镁(毫克): 170.35529495178855不合适,脂肪(克): 11.031425397386744 not (15.933333333333332, 23.900000000000002),维生素A(微克): 148.2911194273303 not (256.6666666666667, 1000.0),钾(毫克): 1330.219020073434不合适"
6,"[('鸡腿', 92.43243278404982), ('调味料', 0.0), ('泡打粉', 3.398738673635922), ('鸡蛋', 85.09057748305221), ('小麦粉(标准粉)', 127.29835777702876), ('玉米淀粉', 25.48262917083047), ('精盐', 1.1634995682544371), ('洋葱粉', 2.5877456592197285), ('蒜', 1.601939384915888), ('辣椒粉', 0.703362438878572), ('咖喱粉', 1.4333470177772865), ('胡椒粉(黑色)', 1.0309766891984486), ('花生油', 1.220478922734228)]"," (18, 30)_男_低,YES: 硫胺素(毫克): 0.49490267056707327符合,钙(毫克): 270.8374815921769 within (266.6666666666667, 666.6666666666666),核黄素(毫克): 0.48550405691756526符合,镁(毫克): 116.45867603252846符合,脂肪(克): 23.008161915499766 within (15.933333333333332, 23.900000000000002),烟酸(毫克): 8.674569907115886 within (5.0, 11.666666666666666),铁(毫克): 9.536399378148635 within (4.0, 14.0),锰(毫克): 2.3889058572707307 within (1.5, 3.6666666666666665),维生素E(毫克): 4.886693101934473 within (4.666666666666667, 233.33333333333334),锌(毫克): 4.328701887106437 within (4.0, 13.333333333333334),维生素A(微克): 263.5650165918825 within (256.6666666666667, 1000.0),铜(毫克): 0.824427212092291 within (0.26666666666666666, 2.6666666666666665),磷(毫克): 769.2389468877078 within (240.0, 1166.6666666666667),硒(微克): 31.9587645759907 within (20.0, 133.33333333333334), NO: 蛋白质(克): 41.46296493600781 not (21.666666666666668, 35.833333333333336),维生素C(毫克): 1.1153710014756146 not (33.333333333333336, 666.6666666666666),膳食纤维(克): 4.529838837329961 not (8.333333333333334, 10.0),钾(毫克): 1014.0157414415727不合适,钠(毫克): 2499.3638628064487不合适"
7,"[('鲫鱼[喜头鱼，海附鱼]', 0.0), ('羊排', 0.0), ('羊排', 51.89530385807083), ('猪肚', 2.660575507575331), ('香菇', 0.0), ('大白菜', 54.01584703791279), ('油面筋', 87.40033357963516), ('白萝卜', 301.23951549233664), ('大葱', 0.0), ('小葱', 0.5324831273936859), ('姜', 96.02761958427567), ('香菜', 76.7577700258353), ('崇明老白酒', 0.0), ('黄酒', 87.59846593786204), ('精盐', 0.25082157328981225), ('花椒', 5.9537711581697605), ('胡椒粉', 0.06008347345706144), ('猪油(板油)', 20.0)]"," (18, 30)_男_低,YES: 钙(毫克): 310.81437770070494 within (266.6666666666667, 666.6666666666666),核黄素(毫克): 0.4832486971949006符合,烟酸(毫克): 8.035923997938895 within (5.0, 11.666666666666666),铁(毫克): 9.468872394817847 within (4.0, 14.0),维生素C(毫克): 120.80186668766831 within (33.333333333333336, 666.6666666666666),膳食纤维(克): 9.812134242915139 within (8.333333333333334, 10.0),维生素E(毫克): 14.958778374803881 within (4.666666666666667, 233.33333333333334),锌(毫克): 5.874199998267895 within (4.0, 13.333333333333334),维生素A(微克): 772.0525471368445 within (256.6666666666667, 1000.0),铜(毫克): 0.9543873306013185 within (0.26666666666666666, 2.6666666666666665),磷(毫克): 345.39827758705763 within (240.0, 1166.6666666666667),钠(毫克): 459.97373610053813符合,硒(微克): 24.16954611968984 within (20.0, 133.33333333333334), NO: 硫胺素(毫克): 0.26072176579415435不合适,蛋白质(克): 41.37809594225395 not (21.666666666666668, 35.833333333333336),镁(毫克): 172.81034275317646不合适,脂肪(克): 47.864294408343326 not (15.933333333333332, 23.900000000000002),锰(毫克): 5.088176472271288 not (1.5, 3.6666666666666665),钾(毫克): 1187.0911643663967不合适"
8,"[('燕麦片', 110.0), ('鸡蛋', 107.59240414322836), ('洋葱', 24.63755068507879), ('胡萝卜', 68.12879917878914), ('精盐', 0.0), ('胡椒粉', 1.7824156212155318), ('五香粉', 0.9294456382862151), ('酱油', 4.418614633621635), ('胡椒粉(黑色)', 0.5177054438702994), ('花生油', 1.348379789343226)]"," (18, 30)_男_低,YES: 硫胺素(毫克): 0.5086690394152833符合,钙(毫克): 297.92523680328117 within (266.6666666666667, 666.6666666666666),蛋白质(克): 32.25789961693917 within (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.4867627762092149符合,脂肪(克): 18.526290569703434 within (15.933333333333332, 23.900000000000002),铁(毫克): 10.693856098722385 within (4.0, 14.0),膳食纤维(克): 8.399773467236855 within (8.333333333333334, 10.0),维生素E(毫克): 6.472924333678087 within (4.666666666666667, 233.33333333333334),锌(毫克): 4.30856037664661 within (4.0, 13.333333333333334),铜(毫克): 0.7246966951662205 within (0.26666666666666666, 2.6666666666666665),钾(毫克): 695.0422917324994符合,磷(毫克): 499.81301311252645 within (240.0, 1166.6666666666667),钠(毫克): 495.38878488256296符合,硒(微克): 20.611217579096415 within (20.0, 133.33333333333334), NO: 镁(毫克): 221.39149768968855不合适,烟酸(毫克): 2.4103714238270757 not (5.0, 11.666666666666666),维生素C(毫克): 5.842777902244389 not (33.333333333333336, 666.6666666666666),锰(毫克): 3.9572159114695475 not (1.5, 3.6666666666666665),维生素A(微克): 3667.4210044373312 not (256.6666666666667, 1000.0)"
9,"[('腊肠', 100.0), ('胡萝卜', 95.64617945227367), ('土豆', 200.0), ('玉米', 100.0), ('精盐', 6.182823086535014), ('蚝油', 1.4296934387504443), ('生抽', 17.15759226294212), ('芝麻油', 13.406579358103034), ('老抽', 9.500953262199172)]"," (18, 30)_男_低,YES: 硫胺素(毫克): 0.42955125221362384符合,蛋白质(克): 32.57373560002488 within (21.666666666666668, 35.833333333333336),镁(毫克): 113.06022343478027符合,烟酸(毫克): 9.096557502770576 within (5.0, 11.666666666666666),铁(毫克): 7.603680976459032 within (4.0, 14.0),维生素C(毫克): 75.64312458768416 within (33.333333333333336, 666.6666666666666),维生素E(毫克): 10.280223311931767 within (4.666666666666667, 233.33333333333334),锌(毫克): 4.549971342735677 within (4.0, 13.333333333333334),铜(毫克): 0.5125603884587498 within (0.26666666666666666, 2.6666666666666665),磷(毫克): 328.47770575310483 within (240.0, 1166.6666666666667), NO: 钙(毫克): 79.79794794306942 not (266.6666666666667, 666.6666666666666),核黄素(毫克): 0.39294968358843974不合适,脂肪(克): 63.545859983079964 not (15.933333333333332, 23.900000000000002),锰(毫克): 1.026225451601355 not (1.5, 3.6666666666666665),膳食纤维(克): 6.980952411541163 not (8.333333333333334, 10.0),维生素A(微克): 4858.395221789052 not (256.6666666666667, 1000.0),钾(毫克): 1424.9629125075887不合适,钠(毫克): 5739.537260893374不合适,硒(微克): 12.521041221717658 not (20.0, 133.33333333333334)"
