index,nutrient_sums,suitable_combinations
0,"[('豆腐(内脂)', 344.7124151408993), ('鸡蛋', 88.23255486966676), ('香菜', 14.605999983915519), ('火腿', 25.221401057698664), ('猪肉(瘦)', 46.44268453963542), ('玉米淀粉', 44.31735462495717), ('精盐', 0.7124599021761393), ('花生油', 0.21253598619831768)]"," (18, 30)_男_低,YES: 核黄素(毫克): 0.4489589100093988符合,镁(毫克): 115.70670765718815符合,烟酸(毫克): 6.649928027245464 within (5.0, 11.666666666666666),铁(毫克): 8.680058105132312 within (4.0, 14.0),维生素E(毫克): 13.427020714757871 within (4.666666666666667, 233.33333333333334),锌(毫克): 4.908237613011727 within (4.0, 13.333333333333334),铜(毫克): 0.7147500418734639 within (0.26666666666666666, 2.6666666666666665),钾(毫克): 703.8677771283797符合,磷(毫克): 439.9324917390068 within (240.0, 1166.6666666666667),硒(微克): 20.995563174730187 within (20.0, 133.33333333333334), NO: 硫胺素(毫克): 0.6444312852978139不合适,钙(毫克): 134.46597371814485 not (266.6666666666667, 666.6666666666666),蛋白质(克): 43.228555940698385 not (21.666666666666668, 35.833333333333336),脂肪(克): 24.419175852247328 not (15.933333333333332, 23.900000000000002),维生素C(毫克): 7.010879992279449 not (33.333333333333336, 666.6666666666666),锰(毫克): 1.0213896468373822 not (1.5, 3.6666666666666665),膳食纤维(克): 1.5984390149955408 not (8.333333333333334, 10.0),维生素A(微克): 238.50080407900117 not (256.6666666666667, 1000.0),钠(毫克): 728.8313673644815不合适"
1,"[('鸡蛋', 100.0), ('香蕉', 100.0), ('小麦粉(标准粉)', 97.43155697051552), ('芝麻籽(黑)', 8.67074451339937), ('精盐', 1.7844371512087462), ('花生油', 1.5606867341110142)]"," (18, 30)_男_低,YES: 硫胺素(毫克): 0.47103527330587935符合,蛋白质(克): 26.958446582757016 within (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.4426221068599109符合,镁(毫克): 110.92784005182233符合,脂肪(克): 16.147812622611745 within (15.933333333333332, 23.900000000000002),铁(毫克): 7.7014677853110065 within (4.0, 14.0),锰(毫克): 3.3879853183429014 within (1.5, 3.6666666666666665),维生素E(毫克): 8.720248100589655 within (4.666666666666667, 233.33333333333334),铜(毫克): 0.7955239592761927 within (0.26666666666666666, 2.6666666666666665),钾(毫克): 728.4266516704596符合,磷(毫克): 380.14647180382656 within (240.0, 1166.6666666666667),硒(微克): 20.987700817261487 within (20.0, 133.33333333333334), NO: 钙(毫克): 159.41544844673416 not (266.6666666666667, 666.6666666666666),烟酸(毫克): 3.325205065700873 not (5.0, 11.666666666666666),维生素C(毫克): 8.7 not (33.333333333333336, 666.6666666666666),膳食纤维(克): 5.859966928256737 not (8.333333333333334, 10.0),锌(毫克): 3.39116811847447 not (4.0, 13.333333333333334),维生素A(微克): 253.2 not (256.6666666666667, 1000.0),钠(毫克): 837.7747626080622不合适"
2,"[('鲑鱼[大麻哈鱼]', 161.45411474655793), ('橄榄油', 6.144711170631878), ('精盐', 3.61668739575855), ('罗勒', 2.7645899502959415), ('全麦面包', 10.29001520084325), ('生菜', 12.163526635677567), ('樱桃', 0.0), ('午餐肉', 0.0), ('甜面酱', 4.197614184975931), ('樱桃', 14.275872038543014), ('蓝莓', 1.382369075130467)]"," (18, 30)_男_低,YES: 蛋白质(克): 29.719825913023016 within (21.666666666666668, 35.833333333333336),脂肪(克): 19.18637585449256 within (15.933333333333332, 23.900000000000002),烟酸(毫克): 7.781650967010586 within (5.0, 11.666666666666666),维生素A(微克): 392.1397216606791 within (256.6666666666667, 1000.0),钾(毫克): 691.1315469944161符合,磷(毫克): 282.98913164752975 within (240.0, 1166.6666666666667),硒(微克): 50.60945264070216 within (20.0, 133.33333333333334), NO: 硫胺素(毫克): 0.16670094407988692不合适,钙(毫克): 53.48017774705498 not (266.6666666666667, 666.6666666666666),核黄素(毫克): 0.32683115882523295不合适,镁(毫克): 73.31247674448699不合适,铁(毫克): 1.2376079574441348 not (4.0, 14.0),维生素C(毫克): 2.8189509521390894 not (33.333333333333336, 666.6666666666666),锰(毫克): 0.3609726291842927 not (1.5, 3.6666666666666665),膳食纤维(克): 1.0181168388843684 not (8.333333333333334, 10.0),维生素E(毫克): 1.9974053069458195 not (4.666666666666667, 233.33333333333334),锌(毫克): 2.1121975801388233 not (4.0, 13.333333333333334),铜(毫克): 0.1256440819893216 not (0.26666666666666666, 2.6666666666666665),钠(毫克): 1663.5276331713578不合适"
3,"[('精盐', 1.2343285726091477), ('柠檬', 80.44269755489302), ('花生油', 0.7719712769910811)]"," (18, 30)_男_低,YES: 钠(毫克): 486.1387938461806符合, NO: 硫胺素(毫克): 0.040221348777446514不合适,钙(毫克): 81.6113133696549 not (266.6666666666667, 666.6666666666666),蛋白质(克): 0.8848696731038233 not (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.016088539510978602不合适,镁(毫克): 29.80392409230242不合适,脂肪(克): 1.7365116763728063 not (15.933333333333332, 23.900000000000002),烟酸(毫克): 0.48265618532935806 not (5.0, 11.666666666666666),铁(毫克): 0.678272033197977 not (4.0, 14.0),维生素C(毫克): 17.697393462076462 not (33.333333333333336, 666.6666666666666),锰(毫克): 0.04634840685208361 not (1.5, 3.6666666666666665),膳食纤维(克): 1.0457550682136092 not (8.333333333333334, 10.0),维生素E(毫克): 1.2417378712282292 not (4.666666666666667, 233.33333333333334),锌(毫克): 0.5295453848106237 not (4.0, 13.333333333333334),维生素A(微克): 0.0 not (256.6666666666667, 1000.0),铜(毫克): 0.11550579349398966 not (0.26666666666666666, 2.6666666666666665),钾(毫克): 168.30576360266159不合适,磷(毫克): 17.813189153625125 not (240.0, 1166.6666666666667),硒(微克): 0.4145567735005566 not (20.0, 133.33333333333334)"
4,"[('鸡腿', 280.47282868138427), ('胡萝卜', 100.0), ('土豆', 200.0), ('洋葱', 37.097437396338385), ('青豆', 27.808023642459204), ('咖喱粉', 0.6819226709626207), ('精盐', 4.0), ('酱油', 8.52067474293139), ('火腿', 0.0), ('玉米粒', 20.0), ('海苔', 6.341315239881178), ('番茄酱', 6.35952978842613), ('花生油', 2.0)]"," (18, 30)_男_低,YES: 硫胺素(毫克): 0.5120781666778433符合,铁(毫克): 10.295999398500877 within (4.0, 14.0),维生素C(毫克): 74.44483017220477 within (33.333333333333336, 666.6666666666666),锰(毫克): 1.5303624488746062 within (1.5, 3.6666666666666665),维生素E(毫克): 5.031607851366247 within (4.666666666666667, 233.33333333333334),锌(毫克): 5.886649158957566 within (4.0, 13.333333333333334),铜(毫克): 1.1037545535845144 within (0.26666666666666666, 2.6666666666666665),磷(毫克): 811.2407951252619 within (240.0, 1166.6666666666667),硒(微克): 43.62944837383841 within (20.0, 133.33333333333334), NO: 钙(毫克): 160.6129238825715 not (266.6666666666667, 666.6666666666666),蛋白质(克): 64.56135017887334 not (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.7024661822865191不合适,镁(毫克): 241.55218564745985不合适,脂肪(克): 44.98994394725173 not (15.933333333333332, 23.900000000000002),烟酸(毫克): 22.612583137836822 not (5.0, 11.666666666666666),膳食纤维(克): 13.2757740462162 not (8.333333333333334, 10.0),维生素A(微克): 5307.616085852428 not (256.6666666666667, 1000.0),钾(毫克): 2216.0047070746537不合适,钠(毫克): 2521.7405770862565不合适"
5,"[('小麦粉', 158.4238039287771), ('鸡蛋', 89.75278440633724), ('红糖', 77.28837312859335), ('酵母(干)', 0.0023133863327132187), ('泡打粉', 2.0), ('红豆馅', 59.22101575026572), ('枣', 67.57081915148297), ('葡萄干', 41.441233569687896), ('精盐', 2.0), ('花生油', 0.2378812340163423)]"," (18, 30)_男_低,YES: 钙(毫克): 344.75041602801036 within (266.6666666666667, 666.6666666666666),蛋白质(克): 34.91419557493316 within (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.4257878950180042符合,烟酸(毫克): 5.196187057514247 within (5.0, 11.666666666666666),铁(毫克): 13.9192549708334 within (4.0, 14.0),维生素C(毫克): 48.69592689300764 within (33.333333333333336, 666.6666666666666),锰(毫克): 3.0890089089556065 within (1.5, 3.6666666666666665),膳食纤维(克): 8.712602621410602 within (8.333333333333334, 10.0),维生素E(毫克): 10.033699695121234 within (4.666666666666667, 233.33333333333334),锌(毫克): 4.511728818953554 within (4.0, 13.333333333333334),铜(毫克): 1.244330474244714 within (0.26666666666666666, 2.6666666666666665),磷(毫克): 666.0216693821619 within (240.0, 1166.6666666666667),硒(微克): 26.184135857488467 within (20.0, 133.33333333333334), NO: 硫胺素(毫克): 0.624694989646954不合适,镁(毫克): 163.6520285881854不合适,脂肪(克): 12.9531479066306 not (15.933333333333332, 23.900000000000002),维生素A(微克): 222.40745651508408 not (256.6666666666667, 1000.0),钾(毫克): 1542.1058072641026不合适,钠(毫克): 2030.4048412479624不合适"
6,"[('鸡腿', 20.421315606848616), ('调味料', 24.238650609759635), ('泡打粉', 0.0), ('鸡蛋', 100.0), ('小麦粉(标准粉)', 153.94845645749942), ('玉米淀粉', 0.0), ('精盐', 10.0), ('洋葱粉', 0.0), ('蒜', 4.744400734826708), ('辣椒粉', 2.0), ('咖喱粉', 0.0), ('胡椒粉(黑色)', 1.4807078414319261), ('花生油', 0.9751464456771678)]"," (18, 30)_男_低,YES: 核黄素(毫克): 0.4945100231579937符合,镁(毫克): 107.16281917849896符合,烟酸(毫克): 6.039509144869039 within (5.0, 11.666666666666666),铁(毫克): 8.703613007032537 within (4.0, 14.0),锰(毫克): 2.79911613554268 within (1.5, 3.6666666666666665),维生素E(毫克): 5.377378738717373 within (4.666666666666667, 233.33333333333334),锌(毫克): 4.106402848524773 within (4.0, 13.333333333333334),维生素A(微克): 308.0033192546435 within (256.6666666666667, 1000.0),铜(毫克): 0.9123909740560652 within (0.26666666666666666, 2.6666666666666665),钾(毫克): 606.8246277591321符合,磷(毫克): 534.7929760498525 within (240.0, 1166.6666666666667),硒(微克): 26.130139989946755 within (20.0, 133.33333333333334), NO: 硫胺素(毫克): 0.5636995023236959不合适,钙(毫克): 135.5134523353958 not (266.6666666666667, 666.6666666666666),蛋白质(克): 40.434980499357295 not (21.666666666666668, 35.833333333333336),脂肪(克): 15.072878206118396 not (15.933333333333332, 23.900000000000002),维生素C(毫克): 1.4802530292659328 not (33.333333333333336, 666.6666666666666),膳食纤维(克): 4.577169084921126 not (8.333333333333334, 10.0),钠(毫克): 7961.84464678134不合适"
7,"[('鲫鱼[喜头鱼，海附鱼]', 0.0), ('羊排', 539.3363538130988), ('羊排', 207.9982098847802), ('猪肚', 298.844977603062), ('香菇', 400.0), ('大白菜', 0.0), ('油面筋', 113.26800620083227), ('白萝卜', 292.4176238816926), ('大葱', 92.39070808564459), ('小葱', 83.14183160831708), ('姜', 83.16926176154179), ('香菜', 0.0), ('崇明老白酒', 0.0), ('黄酒', 77.17737666211268), ('精盐', 0.0), ('花椒', 5.603506256519033), ('胡椒粉', 1.52826805414862), ('猪油(板油)', 5.9107846280478)]"," (18, 30)_男_低,YES: 钙(毫克): 436.0392936053505 within (266.6666666666667, 666.6666666666666),维生素C(毫克): 97.90067649792329 within (33.333333333333336, 666.6666666666666),维生素E(毫克): 19.123828847122816 within (4.666666666666667, 233.33333333333334),维生素A(微克): 544.8658803485317 within (256.6666666666667, 1000.0),铜(毫克): 1.7673883039633582 within (0.26666666666666666, 2.6666666666666665),硒(微克): 88.71681338044043 within (20.0, 133.33333333333334), NO: 硫胺素(毫克): 1.7408792549536307不合适,蛋白质(克): 229.82661246040428 not (21.666666666666668, 35.833333333333336),核黄素(毫克): 3.3305582147952557不合适,镁(毫克): 376.35171774358537不合适,脂肪(克): 142.47521818584943 not (15.933333333333332, 23.900000000000002),烟酸(毫克): 56.13883930441829 not (5.0, 11.666666666666666),铁(毫克): 28.24926258390217 not (4.0, 14.0),锰(毫克): 6.360665622696859 not (1.5, 3.6666666666666665),膳食纤维(克): 23.850651695485578 not (8.333333333333334, 10.0),锌(毫克): 38.37417427527602 not (4.0, 13.333333333333334),钾(毫克): 3303.9110003966566不合适,磷(毫克): 2199.404994734066 not (240.0, 1166.6666666666667),钠(毫克): 973.7926518965663不合适"
8,"[('燕麦片', 108.30937550634657), ('鸡蛋', 50.20146704146689), ('洋葱', 58.52919516833497), ('胡萝卜', 87.65710289275522), ('精盐', 2.3656215585054827), ('胡椒粉', 1.9923759146140239), ('五香粉', 0.911272609083217), ('酱油', 6.991338690450764), ('胡椒粉(黑色)', 1.3368554440947582), ('花生油', 1.9514664662547831)]"," (18, 30)_男_低,YES: 硫胺素(毫克): 0.4711001624040701符合,钙(毫克): 281.5114796826234 within (266.6666666666667, 666.6666666666666),蛋白质(克): 25.21090744908817 within (21.666666666666668, 35.833333333333336),铁(毫克): 9.699481054966398 within (4.0, 14.0),膳食纤维(克): 9.657095315820968 within (8.333333333333334, 10.0),维生素E(毫克): 5.761128675270109 within (4.666666666666667, 233.33333333333334),铜(毫克): 0.6696186794492905 within (0.26666666666666666, 2.6666666666666665),磷(毫克): 441.10077892441967 within (240.0, 1166.6666666666667), NO: 核黄素(毫克): 0.3544858578469149不合适,镁(毫克): 220.85152707117138不合适,脂肪(克): 14.088849894120738 not (15.933333333333332, 23.900000000000002),烟酸(毫克): 2.592205799481396 not (5.0, 11.666666666666666),维生素C(毫克): 9.502929513129347 not (33.333333333333336, 666.6666666666666),锰(毫克): 4.066648347793236 not (1.5, 3.6666666666666665),锌(毫克): 3.764269560893669 not (4.0, 13.333333333333334),维生素A(微克): 4513.414308202369 not (256.6666666666667, 1000.0),钾(毫克): 737.8550127110869不合适,钠(毫克): 1540.2868993934555不合适,硒(微克): 12.596853819050603 not (20.0, 133.33333333333334)"
9,"[('腊肠', 45.97827825302818), ('胡萝卜', 16.344055957998908), ('土豆', 146.07079974169687), ('玉米', 32.41241763720922), ('精盐', 4.4921573611247085), ('蚝油', 2.4216379584207663), ('生抽', 5.33713932688687), ('芝麻油', 7.911687180454314), ('老抽', 6.644978238527441)]"," (18, 30)_男_低,YES: 维生素C(毫克): 45.589402053733565 within (33.333333333333336, 666.6666666666666),维生素E(毫克): 5.681268753177718 within (4.666666666666667, 233.33333333333334),维生素A(微克): 840.3783810253026 within (256.6666666666667, 1000.0),铜(毫克): 0.2892070283624801 within (0.26666666666666666, 2.6666666666666665),钾(毫克): 723.6843465965777符合, NO: 硫胺素(毫克): 0.20119798137916048不合适,钙(毫克): 33.067811598199974 not (266.6666666666667, 666.6666666666666),蛋白质(克): 15.452735727730532 not (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.1716174480781741不合适,镁(毫克): 58.23110697854124不合适,脂肪(克): 30.848313848472394 not (15.933333333333332, 23.900000000000002),烟酸(毫克): 4.286688801115637 not (5.0, 11.666666666666666),铁(毫克): 3.8429248453721856 not (4.0, 14.0),锰(毫克): 0.5089403944249953 not (1.5, 3.6666666666666665),膳食纤维(克): 2.4249325524117564 not (8.333333333333334, 10.0),锌(毫克): 2.1425119893069335 not (4.0, 13.333333333333334),磷(毫克): 151.79633726971196 not (240.0, 1166.6666666666667),钠(毫克): 3343.3864572146813不合适,硒(微克): 5.9568726756131145 not (20.0, 133.33333333333334)"
