index,nutrient_sums,suitable_combinations
0,"[('豆腐(内脂)', 303.5587883733637), ('鸡蛋', 100.0), ('香菜', 6.927835288847108), ('火腿', 10.559828446015842), ('猪肉(瘦)', 71.8967578255769), ('玉米淀粉', 50.0), ('精盐', 0.3848200321218738), ('花生油', 0.0)]"," (18, 30)_男_低,YES: 核黄素(毫克): 0.4721672093433863符合,镁(毫克): 108.23414640116667符合,脂肪(克): 21.996320299643408 within (15.933333333333332, 23.900000000000002),烟酸(毫克): 6.531762152587665 within (5.0, 11.666666666666666),铁(毫克): 9.02244469126435 within (4.0, 14.0),维生素E(毫克): 12.12036678745752 within (4.666666666666667, 233.33333333333334),锌(毫克): 5.224477516349096 within (4.0, 13.333333333333334),维生素A(微克): 270.49209452842115 within (256.6666666666667, 1000.0),铜(毫克): 0.6822479234018697 within (0.26666666666666666, 2.6666666666666665),钾(毫克): 707.795169694101符合,磷(毫克): 464.311866556107 within (240.0, 1166.6666666666667),钠(毫克): 464.80865687097685符合,硒(微克): 24.33109884576363 within (20.0, 133.33333333333334), NO: 硫胺素(毫克): 0.7277164190465167不合适,钙(毫克): 128.31736839518933 not (266.6666666666667, 666.6666666666666),蛋白质(克): 45.48725484382208 not (21.666666666666668, 35.833333333333336),维生素C(毫克): 3.325360938646612 not (33.333333333333336, 666.6666666666666),锰(毫克): 0.9005597253987505 not (1.5, 3.6666666666666665),膳食纤维(克): 1.34736917695962 not (8.333333333333334, 10.0)"
1,"[('鸡蛋', 94.30725418536113), ('香蕉', 96.14369399359794), ('小麦粉(标准粉)', 98.18080806523406), ('芝麻籽(黑)', 9.748466176464504), ('精盐', 0.9716893590738475), ('花生油', 2.0)]"," (18, 30)_男_低,YES: 硫胺素(毫克): 0.47278866408923376符合,蛋白质(克): 26.449038614194183 within (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.42773029480915004符合,镁(毫克): 112.80991252835314符合,脂肪(克): 16.5810675868193 within (15.933333333333332, 23.900000000000002),铁(毫克): 7.853065686021949 within (4.0, 14.0),锰(毫克): 3.5784505929147388 within (1.5, 3.6666666666666665),维生素E(毫克): 9.353078669116567 within (4.666666666666667, 233.33333333333334),铜(毫克): 0.8057205728931564 within (0.26666666666666666, 2.6666666666666665),钾(毫克): 711.0266766884947符合,磷(毫克): 378.93304775275794 within (240.0, 1166.6666666666667),钠(毫克): 510.8790078818748符合,硒(微克): 20.21548330629788 within (20.0, 133.33333333333334), NO: 钙(毫克): 164.54710537912408 not (266.6666666666667, 666.6666666666666),烟酸(毫克): 3.3667457391442355 not (5.0, 11.666666666666666),维生素C(毫克): 8.36450137744302 not (33.333333333333336, 666.6666666666666),膳食纤维(克): 5.926318277908493 not (8.333333333333334, 10.0),锌(毫克): 3.4012736203782588 not (4.0, 13.333333333333334),维生素A(微克): 239.13856404051586 not (256.6666666666667, 1000.0)"
2,"[('鲑鱼[大麻哈鱼]', 62.15283643219923), ('橄榄油', 11.082509164609323), ('精盐', 0.0), ('罗勒', 1.622623555233185), ('全麦面包', 100.0), ('生菜', 31.308839104012723), ('樱桃', 47.4418814343011), ('午餐肉', 0.0), ('甜面酱', 0.0), ('樱桃', 29.343722663604325), ('蓝莓', 2.8748604971731284)]"," (18, 30)_男_低,YES: 硫胺素(毫克): 0.4758439920788835符合,蛋白质(克): 24.493663386007746 within (21.666666666666668, 35.833333333333336),镁(毫克): 112.55191528923959符合,脂肪(克): 19.639754194402247 within (15.933333333333332, 23.900000000000002),烟酸(毫克): 7.762863491122431 within (5.0, 11.666666666666666),锰(毫克): 2.339145959361093 within (1.5, 3.6666666666666665),维生素E(毫克): 4.947679674449236 within (4.666666666666667, 233.33333333333334),维生素A(微克): 777.4133436865063 within (256.6666666666667, 1000.0),铜(毫克): 0.34791556320373956 within (0.26666666666666666, 2.6666666666666665),钾(毫克): 728.813443150131符合,磷(毫克): 338.92673312274735 within (240.0, 1166.6666666666667),钠(毫克): 509.37330688615816符合,硒(微克): 44.36841856029596 within (20.0, 133.33333333333334), NO: 钙(毫克): 193.59443602664504 not (266.6666666666667, 666.6666666666666),核黄素(毫克): 0.32045799048459084不合适,铁(毫克): 3.3566320244635106 not (4.0, 14.0),维生素C(毫克): 10.918966253347165 not (33.333333333333336, 666.6666666666666),膳食纤维(克): 6.769650691232131 not (8.333333333333334, 10.0),锌(毫克): 2.7058967034925065 not (4.0, 13.333333333333334)"
3,"[('精盐', 1.1721857562759286), ('柠檬', 94.62660474530884), ('花生油', 1.877268818552497)]"," (18, 30)_男_低,YES: 钠(毫克): 461.904539710478符合, NO: 硫胺素(毫克): 0.04731330237265442不合适,钙(毫克): 96.05602391736893 not (266.6666666666667, 666.6666666666666),蛋白质(克): 1.0408926521983972 not (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.01892532094906177不合适,镁(毫克): 35.072832847260834不合适,脂肪(克): 3.010910806677651 not (15.933333333333332, 23.900000000000002),烟酸(毫克): 0.567759628471853 not (5.0, 11.666666666666666),铁(毫克): 0.8231754912632525 not (4.0, 14.0),维生素C(毫克): 20.817853043967943 not (33.333333333333336, 666.6666666666666),锰(毫克): 0.05690762816707785 not (1.5, 3.6666666666666665),膳食纤维(克): 1.2301458616890149 not (8.333333333333334, 10.0),维生素E(毫克): 1.8683225591797008 not (4.666666666666667, 233.33333333333334),锌(毫克): 0.6268970669886217 not (4.0, 13.333333333333334),维生素A(微克): 0.0 not (256.6666666666667, 1000.0),铜(毫克): 0.13693420993004743 not (0.26666666666666666, 2.6666666666666665),钾(毫克): 197.95248261175962不合适,磷(毫克): 21.09944336675082 not (240.0, 1166.6666666666667),硒(微克): 0.4848548812893035 not (20.0, 133.33333333333334)"
4,"[('鸡腿', 49.18478632251507), ('胡萝卜', 13.7282247426671), ('土豆', 186.26668473080468), ('洋葱', 50.0), ('青豆', 40.119361432390896), ('咖喱粉', 23.793777003878365), ('精盐', 0.5437454208258523), ('酱油', 0.0), ('火腿', 2.5021926539089687), ('玉米粒', 20.0), ('海苔', 10.0), ('番茄酱', 10.0), ('花生油', 0.0)]"," (18, 30)_男_低,YES: 硫胺素(毫克): 0.5082835022098808符合,钙(毫克): 277.0334780302376 within (266.6666666666667, 666.6666666666666),蛋白质(克): 35.228233248979826 within (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.42308212306916837符合,脂肪(克): 18.73571010536793 within (15.933333333333332, 23.900000000000002),烟酸(毫克): 9.270815702144509 within (5.0, 11.666666666666666),铁(毫克): 12.431213407568022 within (4.0, 14.0),维生素C(毫克): 73.56852657616177 within (33.333333333333336, 666.6666666666666),锰(毫克): 3.603807018234553 within (1.5, 3.6666666666666665),维生素E(毫克): 10.85797214473677 within (4.666666666666667, 233.33333333333334),锌(毫克): 4.730459642765277 within (4.0, 13.333333333333334),维生素A(微克): 968.4256057641571 within (256.6666666666667, 1000.0),铜(毫克): 1.3321995400272473 within (0.26666666666666666, 2.6666666666666665),磷(毫克): 532.1559976776771 within (240.0, 1166.6666666666667),钠(毫克): 472.82468045055106符合,硒(微克): 25.92837425219674 within (20.0, 133.33333333333334), NO: 镁(毫克): 234.34977923940875不合适,膳食纤维(克): 26.56158599245486 not (8.333333333333334, 10.0),钾(毫克): 1778.7147180838326不合适"
5,"[('小麦粉', 111.33331400638768), ('鸡蛋', 100.0), ('红糖', 53.004033768499326), ('酵母(干)', 0.06715551755299191), ('泡打粉', 2.0), ('红豆馅', 91.52869416158734), ('枣', 100.0), ('葡萄干', 1.2551431698027997), ('精盐', 1.6052594352771938), ('花生油', 2.0)]"," (18, 30)_男_低,YES: 硫胺素(毫克): 0.4891801910636693符合,钙(毫克): 284.5172506144205 within (266.6666666666667, 666.6666666666666),蛋白质(克): 31.799081330451404 within (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.4470807081239291符合,镁(毫克): 117.40448509430665符合,脂肪(克): 15.97719491639057 within (15.933333333333332, 23.900000000000002),烟酸(毫克): 5.072420476114189 within (5.0, 11.666666666666666),铁(毫克): 8.822534601745899 within (4.0, 14.0),维生素C(毫克): 69.06275715849014 within (33.333333333333336, 666.6666666666666),锰(毫克): 2.2488826358030996 within (1.5, 3.6666666666666665),膳食纤维(克): 9.638154009503072 within (8.333333333333334, 10.0),维生素E(毫克): 13.078380906732537 within (4.666666666666667, 233.33333333333334),锌(毫克): 4.006097726282944 within (4.0, 13.333333333333334),铜(毫克): 0.9003653223140823 within (0.26666666666666666, 2.6666666666666665),磷(毫克): 589.6784946504571 within (240.0, 1166.6666666666667),硒(微克): 23.23393229477199 within (20.0, 133.33333333333334), NO: 维生素A(微克): 249.00599947817247 not (256.6666666666667, 1000.0),钾(毫克): 1164.331237322199不合适,钠(毫克): 1877.2247867684157不合适"
6,"[('鸡腿', 40.969944422394754), ('调味料', 0.0), ('泡打粉', 0.5338289134502183), ('鸡蛋', 93.41781887065464), ('小麦粉(标准粉)', 116.94895085391613), ('玉米淀粉', 53.434256105387036), ('精盐', 0.0), ('洋葱粉', 7.297341372392583), ('蒜', 10.0), ('辣椒粉', 2.0), ('咖喱粉', 2.0), ('胡椒粉(黑色)', 1.4185916154953744), ('花生油', 1.4973415900651832)]"," (18, 30)_男_低,YES: 硫胺素(毫克): 0.5130418578813493符合,蛋白质(克): 34.85263332091297 within (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.4643102342732137符合,镁(毫克): 107.86863841396351符合,脂肪(克): 17.49484735551001 within (15.933333333333332, 23.900000000000002),烟酸(毫克): 5.898733871075756 within (5.0, 11.666666666666666),铁(毫克): 10.189027504254279 within (4.0, 14.0),锰(毫克): 2.543898526061209 within (1.5, 3.6666666666666665),维生素E(毫克): 5.319898013205282 within (4.666666666666667, 233.33333333333334),锌(毫克): 4.016367383222544 within (4.0, 13.333333333333334),维生素A(微克): 301.7963805442135 within (256.6666666666667, 1000.0),铜(毫克): 0.8426568461146584 within (0.26666666666666666, 2.6666666666666665),钾(毫克): 704.8120424362484符合,磷(毫克): 517.8861838450712 within (240.0, 1166.6666666666667),钠(毫克): 458.94874911998136符合,硒(微克): 28.61792269834785 within (20.0, 133.33333333333334), NO: 钙(毫克): 189.77581734469723 not (266.6666666666667, 666.6666666666666),维生素C(毫克): 4.841577881139864 not (33.333333333333336, 666.6666666666666),膳食纤维(克): 6.133206027457533 not (8.333333333333334, 10.0)"
7,"[('鲫鱼[喜头鱼，海附鱼]', 9.816530684156348), ('羊排', 0.0), ('羊排', 11.144203090659547), ('猪肚', 63.08097779851943), ('香菇', 83.86459558699367), ('大白菜', 34.84209715062967), ('油面筋', 41.38940698931771), ('白萝卜', 36.96645276224129), ('大葱', 0.0), ('小葱', 100.0), ('姜', 0.7372799901846947), ('香菜', 100.0), ('崇明老白酒', 0.0), ('黄酒', 8.030708915314744), ('精盐', 0.9134465582255071), ('花椒', 6.0), ('胡椒粉', 3.5617313090015514), ('猪油(板油)', 0.021379984075827)]"," (18, 30)_男_低,YES: 钙(毫克): 272.5860472366228 within (266.6666666666667, 666.6666666666666),蛋白质(克): 31.422427841297914 within (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.4876526385160478符合,镁(毫克): 111.57904288277133符合,脂肪(克): 16.978514075773514 within (15.933333333333332, 23.900000000000002),烟酸(毫克): 8.73243038872636 within (5.0, 11.666666666666666),铁(毫克): 8.582944435098161 within (4.0, 14.0),维生素C(毫克): 87.59349639637325 within (33.333333333333336, 666.6666666666666),锰(毫克): 1.6008802693569837 within (1.5, 3.6666666666666665),膳食纤维(克): 8.377821629901394 within (8.333333333333334, 10.0),维生素E(毫克): 5.366138935356313 within (4.666666666666667, 233.33333333333334),锌(毫克): 4.487800811154976 within (4.0, 13.333333333333334),维生素A(微克): 618.357780742986 within (256.6666666666667, 1000.0),铜(毫克): 0.755645629025654 within (0.26666666666666666, 2.6666666666666665),钾(毫克): 695.2346912630711符合,磷(毫克): 308.1007004467254 within (240.0, 1166.6666666666667),钠(毫克): 536.1798194117924符合,硒(微克): 23.599589654394727 within (20.0, 133.33333333333334), NO: 硫胺素(毫克): 0.2024428279814471不合适"
8,"[('燕麦片', 98.29566523173754), ('鸡蛋', 110.28667592952345), ('洋葱', 72.0), ('胡萝卜', 69.3546715692576), ('精盐', 0.8440135031959337), ('胡椒粉', 0.35178899267471), ('五香粉', 0.870703090751695), ('酱油', 0.0), ('胡椒粉(黑色)', 0.0), ('花生油', 2.0)]"," (18, 30)_男_低,YES: 硫胺素(毫克): 0.49541303254680563符合,钙(毫克): 286.04620881423716 within (266.6666666666667, 666.6666666666666),蛋白质(克): 30.891954903185635 within (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.48569638364397194符合,脂肪(克): 18.604883869189678 within (15.933333333333332, 23.900000000000002),铁(毫克): 9.84366889610381 within (4.0, 14.0),锰(毫克): 3.5507329747036276 within (1.5, 3.6666666666666665),膳食纤维(克): 8.429839471862659 within (8.333333333333334, 10.0),维生素E(毫克): 6.443793018477762 within (4.666666666666667, 233.33333333333334),锌(毫克): 4.088107629742519 within (4.0, 13.333333333333334),铜(毫克): 0.6832412419586997 within (0.26666666666666666, 2.6666666666666665),钾(毫克): 717.8376716609296符合,磷(毫克): 476.04694068927347 within (240.0, 1166.6666666666667),钠(毫克): 531.5128589863643符合,硒(微克): 20.566215272523188 within (20.0, 133.33333333333334), NO: 镁(毫克): 201.80794454198775不合适,烟酸(毫克): 2.18479050439512 not (5.0, 11.666666666666666),维生素C(毫克): 9.419925622586199 not (33.333333333333336, 666.6666666666666),维生素A(微克): 3734.4554302824054 not (256.6666666666667, 1000.0)"
9,"[('腊肠', 100.0), ('胡萝卜', 9.585676008897536), ('土豆', 172.3891691087116), ('玉米', 100.0), ('精盐', 0.0), ('蚝油', 17.488911592288233), ('生抽', 6.603870120223913), ('芝麻油', 20.0), ('老抽', 3.167556764177491)]"," (18, 30)_男_低,YES: 蛋白质(克): 31.450799111803946 within (21.666666666666668, 35.833333333333336),镁(毫克): 100.72665163031597符合,烟酸(毫克): 7.854956099038196 within (5.0, 11.666666666666666),铁(毫克): 6.729262775864718 within (4.0, 14.0),维生素C(毫克): 63.11063054387709 within (33.333333333333336, 666.6666666666666),维生素E(毫克): 14.246754373251013 within (4.666666666666667, 233.33333333333334),锌(毫克): 4.405291423784778 within (4.0, 13.333333333333334),维生素A(微克): 545.1320777212529 within (256.6666666666667, 1000.0),铜(毫克): 0.4288650299942369 within (0.26666666666666666, 2.6666666666666665),磷(毫克): 289.5368558655874 within (240.0, 1166.6666666666667), NO: 硫胺素(毫克): 0.3482578136653685不合适,钙(毫克): 49.03849405526892 not (266.6666666666667, 666.6666666666666),核黄素(毫克): 0.3265559003868353不合适,脂肪(克): 69.8763572358284 not (15.933333333333332, 23.900000000000002),锰(毫克): 0.8942142967185338 not (1.5, 3.6666666666666665),膳食纤维(克): 4.410100935194688 not (8.333333333333334, 10.0),钾(毫克): 1037.5146784765693不合适,钠(毫克): 2860.1249252460066不合适,硒(微克): 11.90025508513913 not (20.0, 133.33333333333334)"
