index,nutrient_sums,suitable_combinations
5,"小麦粉: 26.6克,鸡蛋: 94.0克,红糖: 69.0克,酵母(干): 4.4克,泡打粉: 2.0克,红豆馅: 94.2克,枣: 71.3克,葡萄干: 60.0克,精盐: 2.0克,花生油: 1.5克"," (18, 30)_男_低,YES: 钙(毫克): 309.197 within (266.6666666666667, 666.6666666666666),蛋白质(克): 24.9378 within (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.4981000000000001符合,镁(毫克): 106.98599999999999符合,烟酸(毫克): 5.159300000000001 within (5.0, 11.666666666666666),铁(毫克): 12.101539999999998 within (4.0, 14.0),维生素C(毫克): 52.196999999999996 within (33.333333333333336, 666.6666666666666),膳食纤维(克): 9.352 within (8.333333333333334, 10.0),维生素E(毫克): 11.477440000000001 within (4.666666666666667, 233.33333333333334),铜(毫克): 0.823779 within (0.26666666666666666, 2.6666666666666665),磷(毫克): 554.9320000000001 within (240.0, 1166.6666666666667),硒(微克): 20.13618 within (20.0, 133.33333333333334), NO: 硫胺素(毫克): 0.5793600000000001不合适,脂肪(克): 14.0261 not (15.933333333333332, 23.900000000000002),锰(毫克): 1.179002 not (1.5, 3.6666666666666665),锌(毫克): 2.72017 not (4.0, 13.333333333333334),维生素A(微克): 229.2342 not (256.6666666666667, 1000.0),钾(毫克): 1551.337不合适,钠(毫克): 2035.2417不合适"
8,"鸡蛋: 117.3克,燕麦片: 94.5克,洋葱: 52.2克,胡萝卜: 46.2克,胡椒粉(黑色): 2.0克,花生油: 1.5克,五香粉: 1.5克,酱油: 3.5克,精盐: 1.0克,胡椒粉: 2.0克"," (18, 30)_男_低,YES: 硫胺素(毫克): 0.472464符合,钙(毫克): 281.32000000000005 within (266.6666666666667, 666.6666666666666),蛋白质(克): 31.43956 within (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.48951500000000003符合,脂肪(克): 18.562530000000002 within (15.933333333333332, 23.900000000000002),铁(毫克): 10.166469999999999 within (4.0, 14.0),锰(毫克): 3.6377339999999996 within (1.5, 3.6666666666666665),维生素E(毫克): 6.170380000000001 within (4.666666666666667, 233.33333333333334),锌(毫克): 4.04537 within (4.0, 13.333333333333334),铜(毫克): 0.6991829999999998 within (0.26666666666666666, 2.6666666666666665),钾(毫克): 669.4540000000001符合,磷(毫克): 469.8980000000001 within (240.0, 1166.6666666666667),硒(微克): 21.575719999999997 within (20.0, 133.33333333333334), NO: 镁(毫克): 198.12399999999997不合适,烟酸(毫克): 2.0636379999999996 not (5.0, 11.666666666666666),维生素C(毫克): 6.588600000000001 not (33.333333333333336, 666.6666666666666),膳食纤维(克): 7.8385 not (8.333333333333334, 10.0),维生素A(微克): 2593.7288000000003 not (256.6666666666667, 1000.0),钠(毫克): 824.4805不合适"
10,"鸡蛋: 96.0克,甘蓝菜: 257.4克,牛肉(瘦): 226.6克,精盐: 0.6克,花生油: 2.0克"," (18, 30)_男_低,YES: 钙(毫克): 403.998 within (266.6666666666667, 666.6666666666666),镁(毫克): 103.57000000000001符合,脂肪(克): 16.6874 within (15.933333333333332, 23.900000000000002),铁(毫克): 13.476799999999999 within (4.0, 14.0),维生素C(毫克): 195.624 within (33.333333333333336, 666.6666666666666),锰(毫克): 1.5016 within (1.5, 3.6666666666666665),维生素E(毫克): 5.871739999999999 within (4.666666666666667, 233.33333333333334),锌(毫克): 12.820100000000002 within (4.0, 13.333333333333334),维生素A(微克): 988.0422 within (256.6666666666667, 1000.0),铜(毫克): 0.7935399999999999 within (0.26666666666666666, 2.6666666666666665),磷(毫克): 643.5519999999999 within (240.0, 1166.6666666666667),硒(微克): 39.94382 within (20.0, 133.33333333333334), NO: 硫胺素(毫克): 0.3157不合适,蛋白质(克): 65.7484 not (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.7854399999999999不合适,烟酸(毫克): 17.041800000000002 not (5.0, 11.666666666666666),膳食纤维(克): 4.1184 not (8.333333333333334, 10.0),钾(毫克): 1059.184不合适,钠(毫克): 613.6206000000001不合适"
14,"猪大排: 450.5克,大白菜: 54.8克,药草新鲜均值: 195.0克,红萝卜: 0.0克,南瓜: 0.0克,陈皮: 7.2克,蜜枣: 1.3克,咸鸭蛋: 35.6克,无花果: 1.2克,精盐: 0.9克,花生油: 2.0克"," (18, 30)_男_低,YES: 钙(毫克): 456.5609999999999 within (266.6666666666667, 666.6666666666666),铁(毫克): 13.657500000000002 within (4.0, 14.0),维生素C(毫克): 297.08099999999996 within (33.333333333333336, 666.6666666666666),锰(毫克): 2.2821800000000003 within (1.5, 3.6666666666666665),膳食纤维(克): 9.450199999999999 within (8.333333333333334, 10.0),维生素E(毫克): 7.64363 within (4.666666666666667, 233.33333333333334),锌(毫克): 10.27933 within (4.0, 13.333333333333334),维生素A(微克): 843.2091999999998 within (256.6666666666667, 1000.0),铜(毫克): 0.97395 within (0.26666666666666666, 2.6666666666666665),磷(毫克): 768.721 within (240.0, 1166.6666666666667),硒(微克): 56.16010000000001 within (20.0, 133.33333333333334), NO: 硫胺素(毫克): 4.03437不合适,蛋白质(克): 94.0506 not (21.666666666666668, 35.833333333333336),核黄素(毫克): 1.02935不合适,镁(毫克): 170.18800000000002不合适,脂肪(克): 100.1406 not (15.933333333333332, 23.900000000000002),烟酸(毫克): 26.2705 not (5.0, 11.666666666666666),钾(毫克): 2569.5979999999995不合适,钠(毫克): 1681.7774不合适"
15,"鸡蛋: 100.0克,山药: 44.8克,大白菜(青白口): 22.3克,精盐: 1.0克,花生油: 2.0克"," (18, 30)_男_低,YES: 铜(毫克): 0.27083999999999997 within (0.26666666666666666, 2.6666666666666665),钠(毫克): 543.806符合, NO: 硫胺素(毫克): 0.22868999999999998不合适,钙(毫克): 71.43299999999999 not (266.6666666666667, 666.6666666666666),蛋白质(克): 17.823400000000003 not (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.40436不合适,镁(毫克): 21.027不合适,脂肪(克): 11.2683 not (15.933333333333332, 23.900000000000002),烟酸(毫克): 0.42360000000000003 not (5.0, 11.666666666666666),铁(毫克): 2.3361999999999994 not (4.0, 14.0),维生素C(毫克): 8.484 not (33.333333333333336, 666.6666666666666),锰(毫克): 0.13894 not (1.5, 3.6666666666666665),膳食纤维(克): 0.8278999999999999 not (8.333333333333334, 10.0),维生素E(毫克): 2.869 not (4.666666666666667, 233.33333333333334),锌(毫克): 1.3689900000000002 not (4.0, 13.333333333333334),维生素A(微克): 255.4462 not (256.6666666666667, 1000.0),钾(毫克): 269.65399999999994不合适,磷(毫克): 151.776 not (240.0, 1166.6666666666667),硒(微克): 14.68337 not (20.0, 133.33333333333334)"
16,"面包(白色): 192.7克,酸奶: 20.0克,草莓: 61.4克,茶(绿色): 0.5克,绵白糖: 5.0克,精盐: 0.3克,花生油: 0.4克"," (18, 30)_男_低,YES: 钙(毫克): 311.326 within (266.6666666666667, 666.6666666666666),核黄素(毫克): 0.5120589999999999符合,烟酸(毫克): 9.498213999999999 within (5.0, 11.666666666666666),铁(毫克): 7.312909999999999 within (4.0, 14.0),维生素C(毫克): 36.303200000000004 within (33.333333333333336, 666.6666666666666),硒(微克): 43.0036 within (20.0, 133.33333333333334), NO: 硫胺素(毫克): 1.047862不合适,蛋白质(克): 17.971429999999998 not (21.666666666666668, 35.833333333333336),镁(毫克): 54.822不合适,脂肪(克): 7.54071 not (15.933333333333332, 23.900000000000002),锰(毫克): 1.280986 not (1.5, 3.6666666666666665),膳食纤维(克): 6.430899999999999 not (8.333333333333334, 10.0),维生素E(毫克): 0.7942400000000001 not (4.666666666666667, 233.33333333333334),锌(毫克): 1.62413 not (4.0, 13.333333333333334),维生素A(微克): 7.9885 not (256.6666666666667, 1000.0),铜(毫克): 0.23213899999999998 not (0.26666666666666666, 2.6666666666666665),钾(毫克): 366.93不合适,磷(毫克): 220.79199999999997 not (240.0, 1166.6666666666667),钠(毫克): 1070.856不合适"
17,"大葱: 100.0克,香菜[芫荽]: 77.3克,洋葱[葱头]: 27.8克,生抽: 76.1克,芝麻油: 20.0克,精盐: 0.7克"," (18, 30)_男_低,YES: 脂肪(克): 20.653100000000002 within (15.933333333333332, 23.900000000000002),铁(毫克): 5.50178 within (4.0, 14.0),维生素C(毫克): 56.1612 within (33.333333333333336, 666.6666666666666),维生素E(毫克): 14.62996 within (4.666666666666667, 233.33333333333334),铜(毫克): 0.325032 within (0.26666666666666666, 2.6666666666666665),钾(毫克): 655.204符合, NO: 硫胺素(毫克): 0.088928不合适,钙(毫克): 127.59700000000001 not (266.6666666666667, 666.6666666666666),蛋白质(克): 7.049999999999999 not (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.24943600000000005不合适,镁(毫克): 69.972不合适,烟酸(毫克): 3.054728 not (5.0, 11.666666666666666),锰(毫克): 0.907022 not (1.5, 3.6666666666666665),膳食纤维(克): 2.7001999999999997 not (8.333333333333334, 10.0),锌(毫克): 1.1732399999999998 not (4.0, 13.333333333333334),维生素A(微克): 159.3558 not (256.6666666666667, 1000.0),磷(毫克): 129.638 not (240.0, 1166.6666666666667),钠(毫克): 5177.7845不合适,硒(微克): 2.2149900000000002 not (20.0, 133.33333333333334)"
22,"苹果: 68.2克,枣: 6.8克,胡萝卜: 5.2克,鸡蛋: 28.5克,精盐: 1.1克,花生油: 0.0克"," (18, 30)_男_低,YES: 维生素A(微克): 330.16560000000004 within (256.6666666666667, 1000.0),钠(毫克): 474.78170000000006符合, NO: 硫胺素(毫克): 0.07706199999999999不合适,钙(毫克): 22.074 not (266.6666666666667, 666.6666666666666),蛋白质(克): 4.0568599999999995 not (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.09632600000000001不合适,镁(毫克): 6.904不合适,脂肪(克): 2.67048 not (15.933333333333332, 23.900000000000002),烟酸(毫克): 0.305716 not (5.0, 11.666666666666666),铁(毫克): 1.0384399999999998 not (4.0, 14.0),维生素C(毫克): 7.7268 not (33.333333333333336, 666.6666666666666),锰(毫克): 0.048198000000000005 not (1.5, 3.6666666666666665),膳食纤维(克): 0.964 not (8.333333333333334, 10.0),维生素E(毫克): 2.00456 not (4.666666666666667, 233.33333333333334),锌(毫克): 0.46159999999999995 not (4.0, 13.333333333333334),铜(毫克): 0.092514 not (0.26666666666666666, 2.6666666666666665),钾(毫克): 158.84199999999998不合适,磷(毫克): 48.617999999999995 not (240.0, 1166.6666666666667),硒(微克): 4.18494 not (20.0, 133.33333333333334)"
24,"鸭子: 388.5克,酸梅晶: 60.0克,酸梅晶: 8.6克,冰糖: 0.0克,老抽: 0.0克,生抽: 44.8克,料酒: 0.0克,精盐: 10.0克,姜: 20.4克,洋葱[葱头]: 0.0克,蒜: 100.0克,花生油: 0.9克"," (18, 30)_男_低,YES: 镁(毫克): 105.69200000000001符合,维生素C(毫克): 35.446 within (33.333333333333336, 666.6666666666666),锰(毫克): 2.75409 within (1.5, 3.6666666666666665),锌(毫克): 7.696489999999999 within (4.0, 13.333333333333334),铜(毫克): 1.24262 within (0.26666666666666666, 2.6666666666666665),磷(毫克): 661.381 within (240.0, 1166.6666666666667),硒(微克): 62.58789 within (20.0, 133.33333333333334), NO: 硫胺素(毫克): 0.6678999999999999不合适,钙(毫克): 239.188 not (266.6666666666667, 666.6666666666666),蛋白质(克): 69.13029999999999 not (21.666666666666668, 35.833333333333336),核黄素(毫克): 1.4934399999999999不合适,脂肪(克): 78.10079999999999 not (15.933333333333332, 23.900000000000002),烟酸(毫克): 17.80124 not (5.0, 11.666666666666666),铁(毫克): 16.5331 not (4.0, 14.0),膳食纤维(克): 2.6508000000000003 not (8.333333333333334, 10.0),维生素E(毫克): 1.5074900000000002 not (4.666666666666667, 233.33333333333334),维生素A(微克): 204.71999999999997 not (256.6666666666667, 1000.0),钾(毫克): 1392.1399999999999不合适,钠(毫克): 7087.6051不合适"
25,"鲜贝: 3.8克,梨: 908.5克,罗汉果: 76.8克,枣: 100.0克,陈皮: 8.0克,麦芽糖: 0.0克,冰糖: 300.0克,精盐: 1.1克,花生油: 2.0克"," (18, 30)_男_低,YES: 硫胺素(毫克): 0.5131100000000001符合,镁(毫克): 108.17600000000003符合,烟酸(毫克): 11.338099999999999 within (5.0, 11.666666666666666),铁(毫克): 12.0589 within (4.0, 14.0),维生素C(毫克): 127.91000000000001 within (33.333333333333336, 666.6666666666666),锰(毫克): 1.99188 within (1.5, 3.6666666666666665),维生素E(毫克): 13.60898 within (4.666666666666667, 233.33333333333334),锌(毫克): 5.752300000000001 within (4.0, 13.333333333333334),磷(毫克): 301.8380000000001 within (240.0, 1166.6666666666667),钠(毫克): 477.05030000000005符合, NO: 钙(毫克): 210.591 not (266.6666666666667, 666.6666666666666),蛋白质(克): 16.3618 not (21.666666666666668, 35.833333333333336),核黄素(毫克): 1.0101200000000001不合适,脂肪(克): 4.760400000000001 not (15.933333333333332, 23.900000000000002),膳食纤维(克): 59.4643 not (8.333333333333334, 10.0),维生素A(微克): 71.95 not (256.6666666666667, 1000.0),铜(毫克): 6.179920000000001 not (0.26666666666666666, 2.6666666666666665),钾(毫克): 1215.3740000000003不合适,硒(微克): 14.627199999999998 not (20.0, 133.33333333333334)"
