index,nutrient_sums,suitable_combinations
1,"鸡蛋: 47.9克,香蕉: 112.5克,小麦粉(标准粉): 109.2克,芝麻籽(白): 12.4克,精盐: 1.1克,花生油: 5.0克"," (18, 30)_男_低,YES: 硫胺素(毫克): 0.43796500000000005符合,蛋白质(克): 22.10895 within (21.666666666666668, 35.833333333333336),镁(毫克): 114.935符合,脂肪(克): 16.12985 within (15.933333333333332, 23.900000000000002),铁(毫克): 6.9769 within (4.0, 14.0),锰(毫克): 2.1912000000000007 within (1.5, 3.6666666666666665),维生素E(毫克): 9.80918 within (4.666666666666667, 233.33333333333334),铜(毫克): 0.8021199999999999 within (0.26666666666666666, 2.6666666666666665),钾(毫克): 717.184符合,磷(毫克): 356.67800000000005 within (240.0, 1166.6666666666667),钠(毫克): 504.08750000000003符合, NO: 钙(毫克): 144.02299999999997 not (266.6666666666667, 666.6666666666666),核黄素(毫克): 0.331055不合适,烟酸(毫克): 3.4991250000000003 not (5.0, 11.666666666666666),维生素C(毫克): 9.7875 not (33.333333333333336, 666.6666666666666),膳食纤维(克): 6.433400000000001 not (8.333333333333334, 10.0),锌(毫克): 3.03521 not (4.0, 13.333333333333334),维生素A(微克): 133.686 not (256.6666666666667, 1000.0),硒(微克): 14.361419999999999 not (20.0, 133.33333333333334)"
7,"鲫鱼[喜头鱼，海附鱼]: 43.8克,羊排: 0.0克,羊排: 0.0克,猪肚: 36.7克,香菇: 106.5克,大白菜: 22.1克,油面筋: 45.3克,白萝卜: 0.0克,大葱: 41.6克,小葱: 80.0克,姜: 0.0克,香菜: 100.0克,崇明老白酒: 22.7克,黄酒: 100.0克,精盐: 2.0克,花椒: 6.0克,胡椒粉: 3.0克,猪油(板油): 5.8克"," (18, 30)_男_低,YES: 钙(毫克): 274.46 within (266.6666666666667, 666.6666666666666),蛋白质(克): 34.0056 within (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.45344000000000007符合,镁(毫克): 120.53000000000002符合,脂肪(克): 21.355600000000003 within (15.933333333333332, 23.900000000000002),烟酸(毫克): 8.590100000000001 within (5.0, 11.666666666666666),铁(毫克): 8.2069 within (4.0, 14.0),维生素C(毫克): 78.723 within (33.333333333333336, 666.6666666666666),锰(毫克): 1.7398800000000003 within (1.5, 3.6666666666666665),膳食纤维(克): 8.932 within (8.333333333333334, 10.0),维生素E(毫克): 6.56692 within (4.666666666666667, 233.33333333333334),锌(毫克): 4.477110000000001 within (4.0, 13.333333333333334),维生素A(微克): 427.77740000000006 within (256.6666666666667, 1000.0),铜(毫克): 0.8048700000000001 within (0.26666666666666666, 2.6666666666666665),钾(毫克): 695.718符合,磷(毫克): 333.21999999999997 within (240.0, 1166.6666666666667),硒(微克): 26.158609999999996 within (20.0, 133.33333333333334), NO: 硫胺素(毫克): 0.16802000000000003不合适,钠(毫克): 929.2301000000001不合适"
10,"鸡蛋: 50.4克,甘蓝菜: 275.1克,牛肉(瘦): 98.5克,精盐: 0.7克,花生油: 4.0克"," (18, 30)_男_低,YES: 钙(毫克): 389.85100000000006 within (266.6666666666667, 666.6666666666666),蛋白质(克): 34.303 within (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.5117200000000001符合,烟酸(毫克): 9.0573 within (5.0, 11.666666666666666),铁(毫克): 9.391 within (4.0, 14.0),维生素C(毫克): 209.07600000000002 within (33.333333333333336, 666.6666666666666),锰(毫克): 1.5328200000000003 within (1.5, 3.6666666666666665),维生素E(毫克): 5.595470000000001 within (4.666666666666667, 233.33333333333334),锌(毫克): 7.805930000000001 within (4.0, 13.333333333333334),维生素A(微克): 925.2123000000001 within (256.6666666666667, 1000.0),铜(毫克): 0.54279 within (0.26666666666666666, 2.6666666666666665),钾(毫克): 643.598符合,磷(毫克): 373.09000000000003 within (240.0, 1166.6666666666667),钠(毫克): 533.3145符合,硒(微克): 20.046990000000005 within (20.0, 133.33333333333334), NO: 硫胺素(毫克): 0.17941000000000001不合适,镁(毫克): 75.337不合适,脂肪(克): 11.7971 not (15.933333333333332, 23.900000000000002),膳食纤维(克): 4.401600000000001 not (8.333333333333334, 10.0)"
14,"猪大排: 102.3克,大白菜: 42.6克,药草新鲜均值: 137.5克,红萝卜: 146.1克,南瓜: 1.7克,陈皮: 5.2克,蜜枣: 14.1克,无花果: 36.4克,精盐: 0.6克,花生油: 0.3克"," (18, 30)_男_低,YES: 钙(毫克): 325.051 within (266.6666666666667, 666.6666666666666),蛋白质(克): 25.970699999999997 within (21.666666666666668, 35.833333333333336),镁(毫克): 108.543符合,脂肪(克): 22.5967 within (15.933333333333332, 23.900000000000002),烟酸(毫克): 7.3557999999999995 within (5.0, 11.666666666666666),铁(毫克): 11.6117 within (4.0, 14.0),维生素C(毫克): 223.214 within (33.333333333333336, 666.6666666666666),锰(毫克): 1.656125 within (1.5, 3.6666666666666665),膳食纤维(克): 9.7293 within (8.333333333333334, 10.0),维生素E(毫克): 5.57363 within (4.666666666666667, 233.33333333333334),锌(毫克): 4.669479999999998 within (4.0, 13.333333333333334),维生素A(微克): 633.4336999999999 within (256.6666666666667, 1000.0),铜(毫克): 0.40938899999999995 within (0.26666666666666666, 2.6666666666666665),磷(毫克): 264.05899999999997 within (240.0, 1166.6666666666667),钠(毫克): 496.2748符合, NO: 硫胺素(毫克): 1.16917不合适,核黄素(毫克): 0.37385不合适,钾(毫克): 1455.138不合适,硒(微克): 11.78292 not (20.0, 133.33333333333334)"
20,"胡萝卜: 0.0克,豆腐皮: 43.6克,菠菜: 31.6克,山药: 100.0克,粉丝: 0.0克,鸡蛋: 17.7克,小麦粉(标准粉): 20.0克,精盐: 0.0克,五香粉: 0.4克,芝麻油: 5.3克,生抽: 6.8克"," (18, 30)_男_低,YES: 硫胺素(毫克): 0.486638符合,蛋白质(克): 34.67386 within (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.45907400000000004符合,镁(毫克): 107.613符合,铁(毫克): 8.70856 within (4.0, 14.0),锰(毫克): 2.312892 within (1.5, 3.6666666666666665),维生素E(毫克): 14.232289999999999 within (4.666666666666667, 233.33333333333334),维生素A(微克): 971.7575999999999 within (256.6666666666667, 1000.0),铜(毫克): 1.2156799999999999 within (0.26666666666666666, 2.6666666666666665),钾(毫克): 716.09符合,磷(毫克): 253.23 within (240.0, 1166.6666666666667),钠(毫克): 505.90500000000003符合, NO: 钙(毫克): 116.261 not (266.6666666666667, 666.6666666666666),脂肪(克): 15.89014 not (15.933333333333332, 23.900000000000002),烟酸(毫克): 1.6976240000000002 not (5.0, 11.666666666666666),维生素C(毫克): 13.8796 not (33.333333333333336, 666.6666666666666),膳食纤维(克): 2.6235999999999997 not (8.333333333333334, 10.0),锌(毫克): 2.67211 not (4.0, 13.333333333333334),硒(微克): 5.5728599999999995 not (20.0, 133.33333333333334)"
22,"苹果: 100.0克,枣: 10.0克,胡萝卜: 8.4克,鸡蛋: 100.0克,精盐: 0.8克,花生油: 2.0克"," (18, 30)_男_低,YES: 维生素E(毫克): 4.85664 within (4.666666666666667, 233.33333333333334),维生素A(微克): 659.1912 within (256.6666666666667, 1000.0),钠(毫克): 453.75399999999996符合, NO: 硫胺素(毫克): 0.17754399999999998不合适,钙(毫克): 65.288 not (266.6666666666667, 666.6666666666666),蛋白质(克): 13.698120000000001 not (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.298872不合适,镁(毫克): 16.063999999999997不合适,脂肪(克): 11.038160000000001 not (15.933333333333332, 23.900000000000002),烟酸(毫克): 0.5725720000000001 not (5.0, 11.666666666666666),铁(毫克): 2.7392 not (4.0, 14.0),维生素C(毫克): 11.3956 not (33.333333333333336, 666.6666666666666),锰(毫克): 0.099332 not (1.5, 3.6666666666666665),膳食纤维(克): 1.4352 not (8.333333333333334, 10.0),锌(毫克): 1.32668 not (4.0, 13.333333333333334),铜(毫克): 0.2252 not (0.26666666666666666, 2.6666666666666665),钾(毫克): 325.012不合适,磷(毫克): 147.54000000000002 not (240.0, 1166.6666666666667),硒(微克): 14.476399999999998 not (20.0, 133.33333333333334)"
24,"鸭子: 98.9克,酸梅晶: 60.0克,酸梅晶: 0.0克,冰糖: 99.5克,老抽: 6.0克,生抽: 0.0克,料酒: 3.2克,精盐: 0.0克,姜: 100.0克,洋葱[葱头]: 60.0克,蒜: 100.0克,花生油: 1.3克"," (18, 30)_男_低,YES: 硫胺素(毫克): 0.48437符合,钙(毫克): 270.243 within (266.6666666666667, 666.6666666666666),蛋白质(克): 24.2531 within (21.666666666666668, 35.833333333333336),脂肪(克): 21.96 within (15.933333333333332, 23.900000000000002),烟酸(毫克): 5.9442 within (5.0, 11.666666666666666),铁(毫克): 11.281699999999999 within (4.0, 14.0),维生素C(毫克): 42.64 within (33.333333333333336, 666.6666666666666),锌(毫克): 4.10816 within (4.0, 13.333333333333334),铜(毫克): 0.7678900000000001 within (0.26666666666666666, 2.6666666666666665),磷(毫克): 329.153 within (240.0, 1166.6666666666667),钠(毫克): 535.4129999999999符合,硒(微克): 27.289250000000003 within (20.0, 133.33333333333334), NO: 核黄素(毫克): 0.8224300000000001不合适,镁(毫克): 97.10199999999999不合适,锰(毫克): 5.07723 not (1.5, 3.6666666666666665),膳食纤维(克): 5.82 not (8.333333333333334, 10.0),维生素E(毫克): 0.9058100000000001 not (4.666666666666667, 233.33333333333334),维生素A(微克): 54.48800000000001 not (256.6666666666667, 1000.0),钾(毫克): 1024.7469999999998不合适"
29,"海参: 38.0克,鸡蛋: 231.4克,小葱: 29.9克,猪肉: 61.8克,婆罗门参: 20.2克,花生油: 0.0克,精盐: 0.0克,生抽: 0.0克,胡椒粉: 0.6克,鱼奇油[鱼露，虾油]: 0.0克"," (18, 30)_男_低,YES: 硫胺素(毫克): 0.43355000000000005符合,钙(毫克): 275.45400000000006 within (266.6666666666667, 666.6666666666666),镁(毫克): 103.272符合,铁(毫克): 12.106300000000001 within (4.0, 14.0),维生素E(毫克): 6.048090000000001 within (4.666666666666667, 233.33333333333334),锌(毫克): 4.266870000000001 within (4.0, 13.333333333333334),维生素A(微克): 594.52 within (256.6666666666667, 1000.0),铜(毫克): 0.49778 within (0.26666666666666666, 2.6666666666666665),钾(毫克): 631.935符合,磷(毫克): 434.92599999999993 within (240.0, 1166.6666666666667),钠(毫克): 536.7562符合,硒(微克): 65.2364 within (20.0, 133.33333333333334), NO: 蛋白质(克): 46.40640000000001 not (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.8016不合适,脂肪(克): 43.4784 not (15.933333333333332, 23.900000000000002),烟酸(毫克): 2.8952 not (5.0, 11.666666666666666),维生素C(毫克): 6.683 not (33.333333333333336, 666.6666666666666),锰(毫克): 0.56156 not (1.5, 3.6666666666666665),膳食纤维(克): 0.49299999999999994 not (8.333333333333334, 10.0)"
33,"全麦面粉: 72.8克,鸡蛋: 97.7克,蜜瓜: 95.5克,精盐: 1.0克,花生油: 0.8克"," (18, 30)_男_低,YES: 铁(毫克): 4.69755 within (4.0, 14.0),铜(毫克): 0.47783 within (0.26666666666666666, 2.6666666666666665),磷(毫克): 274.499 within (240.0, 1166.6666666666667),钠(毫克): 541.0603000000001符合, NO: 硫胺素(毫克): 0.3476不合适,钙(毫克): 83.32600000000001 not (266.6666666666667, 666.6666666666666),蛋白质(克): 21.6634 not (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.33349000000000006不合适,镁(毫克): 55.756不合适,脂肪(克): 10.6225 not (15.933333333333332, 23.900000000000002),烟酸(毫克): 2.05059 not (5.0, 11.666666666666666),维生素C(毫克): 17.189999999999998 not (33.333333333333336, 666.6666666666666),锰(毫克): 1.2060849999999999 not (1.5, 3.6666666666666665),膳食纤维(克): 2.2927999999999997 not (8.333333333333334, 10.0),维生素E(毫克): 3.46366 not (4.666666666666667, 233.33333333333334),锌(毫克): 2.36081 not (4.0, 13.333333333333334),维生素A(微克): 242.94299999999998 not (256.6666666666667, 1000.0),钾(毫克): 506.666不合适,硒(微克): 18.590760000000003 not (20.0, 133.33333333333334)"
39,"全麦面粉: 43.8克,玉米粒: 55.0克,胡萝卜: 14.4克,鸡胸脯肉: 62.8克,芹菜: 3.4克,生蚝: 13.5克,精盐: 1.0克,花生油: 1.7克"," (18, 30)_男_低,YES: 蛋白质(克): 23.89868 within (21.666666666666668, 35.833333333333336),镁(毫克): 112.83999999999999符合,烟酸(毫克): 10.008182000000001 within (5.0, 11.666666666666666),铁(毫克): 4.1846 within (4.0, 14.0),锌(毫克): 11.915640000000002 within (4.0, 13.333333333333334),维生素A(微克): 771.6370000000002 within (256.6666666666667, 1000.0),铜(毫克): 1.9584600000000003 within (0.26666666666666666, 2.6666666666666665),磷(毫克): 351.8469999999999 within (240.0, 1166.6666666666667),钠(毫克): 484.48650000000004符合,硒(微克): 23.093680000000003 within (20.0, 133.33333333333334), NO: 硫胺素(毫克): 0.39396800000000004不合适,钙(毫克): 30.573 not (266.6666666666667, 666.6666666666666),核黄素(毫克): 0.25507不合适,脂肪(克): 8.34514 not (15.933333333333332, 23.900000000000002),维生素C(毫克): 0.9550000000000002 not (33.333333333333336, 666.6666666666666),锰(毫克): 1.0294139999999996 not (1.5, 3.6666666666666665),膳食纤维(克): 5.392400000000001 not (8.333333333333334, 10.0),维生素E(毫克): 2.03285 not (4.666666666666667, 233.33333333333334),钾(毫克): 559.036不合适"
