index,nutrient_sums,suitable_combinations
1,"鸡蛋: 100.0克,香蕉: 100.0克,小麦粉(标准粉): 99.1克,芝麻籽(黑): 8.0克,精盐: 0.8克,花生油: 2.0克"," (18, 30)_男_低,YES: 硫胺素(毫克): 0.44728符合,蛋白质(克): 26.9612 within (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.44308000000000003符合,镁(毫克): 102.766符合,铁(毫克): 6.9225 within (4.0, 14.0),锰(毫克): 1.95848 within (1.5, 3.6666666666666665),维生素E(毫克): 7.627400000000001 within (4.666666666666667, 233.33333333333334),铜(毫克): 0.76114 within (0.26666666666666666, 2.6666666666666665),钾(毫克): 721.7019999999999符合,磷(毫克): 379.648 within (240.0, 1166.6666666666667),钠(毫克): 452.7061符合,硒(微克): 20.98456 within (20.0, 133.33333333333334), NO: 钙(毫克): 141.737 not (266.6666666666667, 666.6666666666666),脂肪(克): 15.782500000000002 not (15.933333333333332, 23.900000000000002),烟酸(毫克): 3.151 not (5.0, 11.666666666666666),维生素C(毫克): 8.7 not (33.333333333333336, 666.6666666666666),膳食纤维(克): 5.4651000000000005 not (8.333333333333334, 10.0),锌(毫克): 3.22356 not (4.0, 13.333333333333334),维生素A(微克): 253.2 not (256.6666666666667, 1000.0)"
10,"鸡蛋: 87.1克,甘蓝菜: 270.2克,牛肉(瘦): 74.6克,精盐: 0.4克,花生油: 0.8克"," (18, 30)_男_低,YES: 钙(毫克): 401.53000000000003 within (266.6666666666667, 666.6666666666666),蛋白质(克): 34.2191 within (21.666666666666668, 35.833333333333336),烟酸(毫克): 7.576 within (5.0, 11.666666666666666),铁(毫克): 9.261999999999999 within (4.0, 14.0),维生素C(毫克): 205.352 within (33.333333333333336, 666.6666666666666),锰(毫克): 1.5005400000000002 within (1.5, 3.6666666666666665),维生素E(毫克): 4.79414 within (4.666666666666667, 233.33333333333334),锌(毫克): 7.2431600000000005 within (4.0, 13.333333333333334),维生素A(微克): 995.3826 within (256.6666666666667, 1000.0),铜(毫克): 0.54899 within (0.26666666666666666, 2.6666666666666665),钾(毫克): 627.07符合,磷(毫克): 376.762 within (240.0, 1166.6666666666667),硒(微克): 22.7422 within (20.0, 133.33333333333334), NO: 硫胺素(毫克): 0.20207000000000003不合适,核黄素(毫克): 0.57533不合适,镁(毫克): 73.036不合适,脂肪(克): 11.2606 not (15.933333333333332, 23.900000000000002),膳食纤维(克): 4.3232 not (8.333333333333334, 10.0),钠(毫克): 448.2451不合适"
12,"鸡腿: 32.0克,黄瓜: 189.0克,胡萝卜: 71.4克,黄豆芽: 140.3克,面条均值: 129.0克,花生酱: 10.5克,海鲜酱汁: 73.4克,精盐: 0.5克,花生油: 0.5克"," (18, 30)_男_低,YES: 硫胺素(毫克): 0.44846符合,蛋白质(克): 27.18706 within (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.51212符合,脂肪(克): 16.23982 within (15.933333333333332, 23.900000000000002),烟酸(毫克): 6.523662000000001 within (5.0, 11.666666666666666),铁(毫克): 8.64694 within (4.0, 14.0),锰(毫克): 2.0369680000000003 within (1.5, 3.6666666666666665),膳食纤维(克): 8.4509 within (8.333333333333334, 10.0),锌(毫克): 4.05936 within (4.0, 13.333333333333334),铜(毫克): 0.6967920000000002 within (0.26666666666666666, 2.6666666666666665),磷(毫克): 475.609 within (240.0, 1166.6666666666667),硒(微克): 22.58578 within (20.0, 133.33333333333334), NO: 钙(毫克): 130.068 not (266.6666666666667, 666.6666666666666),镁(毫克): 143.63199999999998不合适,维生素C(毫克): 21.0222 not (33.333333333333336, 666.6666666666666),维生素E(毫克): 3.0563100000000003 not (4.666666666666667, 233.33333333333334),维生素A(微克): 3660.3764 not (256.6666666666667, 1000.0),钾(毫克): 1080.1960000000001不合适,钠(毫克): 1747.5581不合适"
15,"鸡蛋: 98.1克,山药: 73.0克,大白菜(青白口): 20.7克,精盐: 0.9克,花生油: 2.0克"," (18, 30)_男_低,YES: 核黄素(毫克): 0.47755000000000003符合,维生素A(微克): 262.467 within (256.6666666666667, 1000.0),铜(毫克): 0.33489 within (0.26666666666666666, 2.6666666666666665),钠(毫克): 506.4673符合, NO: 硫胺素(毫克): 0.29662不合适,钙(毫克): 74.29899999999999 not (266.6666666666667, 666.6666666666666),蛋白质(克): 20.1991 not (21.666666666666668, 35.833333333333336),镁(毫克): 26.331不合适,脂肪(克): 11.381500000000003 not (15.933333333333332, 23.900000000000002),烟酸(毫克): 0.498 not (5.0, 11.666666666666666),铁(毫克): 2.3722 not (4.0, 14.0),维生素C(毫克): 9.446 not (33.333333333333336, 666.6666666666666),锰(毫克): 0.16917 not (1.5, 3.6666666666666665),膳食纤维(克): 1.2083 not (8.333333333333334, 10.0),维生素E(毫克): 2.89596 not (4.666666666666667, 233.33333333333334),锌(毫克): 1.41423 not (4.0, 13.333333333333334),钾(毫克): 325.3399999999999不合适,磷(毫克): 158.446 not (240.0, 1166.6666666666667),硒(微克): 14.55877 not (20.0, 133.33333333333334)"
17,"大葱: 0.0克,香菜[芫荽]: 79.8克,洋葱[葱头]: 26.7克,生抽: 127.5克,芝麻油: 17.0克,精盐: 0.0克"," (18, 30)_男_低,YES: 脂肪(克): 17.422400000000003 within (15.933333333333332, 23.900000000000002),铁(毫克): 6.186769999999999 within (4.0, 14.0),维生素C(毫克): 40.279799999999994 within (33.333333333333336, 666.6666666666666),维生素E(毫克): 12.293840000000001 within (4.666666666666667, 233.33333333333334),铜(毫克): 0.288493 within (0.26666666666666666, 2.6666666666666665),钾(毫克): 692.088符合, NO: 硫胺素(毫克): 0.069702不合适,钙(毫克): 108.66900000000001 not (266.6666666666667, 666.6666666666666),蛋白质(克): 7.850099999999999 not (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.259179不合适,镁(毫克): 66.48899999999999不合适,烟酸(毫克): 3.1635720000000003 not (5.0, 11.666666666666666),锰(毫克): 0.7568329999999999 not (1.5, 3.6666666666666665),膳食纤维(克): 1.4115 not (8.333333333333334, 10.0),锌(毫克): 1.00714 not (4.0, 13.333333333333334),维生素A(微克): 154.17419999999998 not (256.6666666666667, 1000.0),磷(毫克): 122.75 not (240.0, 1166.6666666666667),钠(毫克): 8180.832999999999不合适,硒(微克): 2.21394 not (20.0, 133.33333333333334)"
18,"羊排: 118.8克,花椒: 10.0克,姜: 100.0克,萝卜: 0.0克,粉丝: 33.2克,蒜苗: 0.0克,香菜: 11.6克,精盐: 0.1克,花生油: 0.4克"," (18, 30)_男_低,YES: 蛋白质(克): 24.184800000000003 within (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.45227999999999996符合,脂肪(克): 16.3772 within (15.933333333333332, 23.900000000000002),烟酸(毫克): 6.4563999999999995 within (5.0, 11.666666666666666),铁(毫克): 6.614600000000001 within (4.0, 14.0),锰(毫克): 3.6168900000000006 within (1.5, 3.6666666666666665),锌(毫克): 4.7132000000000005 within (4.0, 13.333333333333334),铜(毫克): 0.28369999999999995 within (0.26666666666666666, 2.6666666666666665),钾(毫克): 614.306符合,磷(毫克): 256.79600000000005 within (240.0, 1166.6666666666667), NO: 硫胺素(毫克): 0.26043999999999995不合适,钙(毫克): 130.798 not (266.6666666666667, 666.6666666666666),镁(毫克): 82.78599999999999不合适,维生素C(毫克): 9.568 not (33.333333333333336, 666.6666666666666),膳食纤维(克): 6.0744 not (8.333333333333334, 10.0),维生素E(毫克): 1.33964 not (4.666666666666667, 233.33333333333334),维生素A(微克): 66.452 not (256.6666666666667, 1000.0),钠(毫克): 146.0866不合适,硒(微克): 3.60716 not (20.0, 133.33333333333334)"
20,"胡萝卜: 20.0克,豆腐皮: 44.3克,菠菜: 18.0克,山药: 60.7克,粉丝: 41.4克,鸡蛋: 54.7克,小麦粉(标准粉): 14.0克,精盐: 0.5克,五香粉: 5.9克,芝麻油: 6.3克,生抽: 2.3克"," (18, 30)_男_低,YES: 硫胺素(毫克): 0.42856999999999995符合,蛋白质(克): 35.50809999999999 within (21.666666666666668, 35.833333333333336),核黄素(毫克): 0.43577999999999995符合,镁(毫克): 101.01499999999999符合,脂肪(克): 20.295200000000005 within (15.933333333333332, 23.900000000000002),铁(毫克): 13.356499999999999 within (4.0, 14.0),锰(毫克): 2.17621 within (1.5, 3.6666666666666665),维生素E(毫克): 15.923849999999998 within (4.666666666666667, 233.33333333333334),铜(毫克): 1.2430499999999998 within (0.26666666666666666, 2.6666666666666665),钾(毫克): 724.547符合,磷(毫克): 286.889 within (240.0, 1166.6666666666667),钠(毫克): 464.7732符合, NO: 钙(毫克): 145.05 not (266.6666666666667, 666.6666666666666),烟酸(毫克): 1.8418599999999998 not (5.0, 11.666666666666666),维生素C(毫克): 9.273 not (33.333333333333336, 666.6666666666666),膳食纤维(克): 2.9565 not (8.333333333333334, 10.0),锌(毫克): 3.12507 not (4.0, 13.333333333333334),维生素A(微克): 1661.8458 not (256.6666666666667, 1000.0),硒(微克): 11.905840000000001 not (20.0, 133.33333333333334)"
23,"糯米: 300.0克,红糖: 79.9克,精盐: 1.2克,花生油: 0.2克"," (18, 30)_男_低,YES: 蛋白质(克): 22.4593 within (21.666666666666668, 35.833333333333336),烟酸(毫克): 7.1396999999999995 within (5.0, 11.666666666666666),铁(毫克): 5.975599999999999 within (4.0, 14.0),锌(毫克): 4.903490000000001 within (4.0, 13.333333333333334),铜(毫克): 0.87183 within (0.26666666666666666, 2.6666666666666665),钾(毫克): 602.93符合,磷(毫克): 347.81899999999996 within (240.0, 1166.6666666666667),钠(毫克): 490.8607符合, NO: 硫胺素(毫克): 0.33799不合适,钙(毫克): 203.73100000000002 not (266.6666666666667, 666.6666666666666),核黄素(毫克): 0.12不合适,镁(毫克): 190.174不合适,脂肪(克): 3.1998 not (15.933333333333332, 23.900000000000002),维生素C(毫克): 0.0 not (33.333333333333336, 666.6666666666666),锰(毫克): 4.8398699999999995 not (1.5, 3.6666666666666665),膳食纤维(克): 2.4000000000000004 not (8.333333333333334, 10.0),维生素E(毫克): 3.95412 not (4.666666666666667, 233.33333333333334),维生素A(微克): 0.0 not (256.6666666666667, 1000.0),硒(微克): 11.4978 not (20.0, 133.33333333333334)"
25,"鲜贝: 4.4克,梨: 1126.2克,罗汉果: 54.6克,枣: 35.3克,陈皮: 6.0克,麦芽糖: 55.9克,冰糖: 11.6克,精盐: 1.1克,花生油: 0.7克"," (18, 30)_男_低,YES: 硫胺素(毫克): 0.49712符合,镁(毫克): 108.59000000000002符合,烟酸(毫克): 10.4024 within (5.0, 11.666666666666666),铁(毫克): 8.00254 within (4.0, 14.0),维生素C(毫克): 95.07900000000001 within (33.333333333333336, 666.6666666666666),锰(毫克): 1.7287120000000002 within (1.5, 3.6666666666666665),维生素E(毫克): 15.853540000000002 within (4.666666666666667, 233.33333333333334),锌(毫克): 5.8932899999999995 within (4.0, 13.333333333333334),磷(毫克): 276.576 within (240.0, 1166.6666666666667),钠(毫克): 469.79550000000006符合, NO: 钙(毫克): 139.757 not (266.6666666666667, 666.6666666666666),蛋白质(克): 13.527400000000002 not (21.666666666666668, 35.833333333333336),核黄素(毫克): 1.0314699999999999不合适,脂肪(克): 3.6769 not (15.933333333333332, 23.900000000000002),膳食纤维(克): 57.229800000000004 not (8.333333333333334, 10.0),维生素A(微克): 75.888 not (256.6666666666667, 1000.0),铜(毫克): 7.286739000000002 not (0.26666666666666666, 2.6666666666666665),钾(毫克): 1218.8990000000001不合适,硒(微克): 16.865579999999998 not (20.0, 133.33333333333334)"
27,"腊肉(生): 32.5克,大葱: 28.1克,精盐: 4.0克,胡椒粉: 3.3克,酱油(冬菇): 7.3克,姜粉: 2.7克,鸡蛋: 38.6克,小麦粉: 163.1克,花生油: 1.3克"," (18, 30)_男_低,YES: 蛋白质(克): 28.78396 within (21.666666666666668, 35.833333333333336),镁(毫克): 114.34899999999999符合,脂肪(克): 23.31061 within (15.933333333333332, 23.900000000000002),铁(毫克): 10.05139 within (4.0, 14.0),锰(毫克): 3.6030900000000003 within (1.5, 3.6666666666666665),维生素E(毫克): 6.30187 within (4.666666666666667, 233.33333333333334),锌(毫克): 4.51759 within (4.0, 13.333333333333334),铜(毫克): 0.825463 within (0.26666666666666666, 2.6666666666666665),钾(毫克): 618.9240000000001符合,磷(毫克): 465.68 within (240.0, 1166.6666666666667),硒(微克): 23.966790000000003 within (20.0, 133.33333333333334), NO: 硫胺素(毫克): 0.5148480000000001不合适,钙(毫克): 92.897 not (266.6666666666667, 666.6666666666666),核黄素(毫克): 0.263277不合适,烟酸(毫克): 4.0052840000000005 not (5.0, 11.666666666666666),维生素C(毫克): 4.7959000000000005 not (33.333333333333336, 666.6666666666666),膳食纤维(克): 4.2835 not (8.333333333333334, 10.0),维生素A(微克): 129.3107 not (256.6666666666667, 1000.0),钠(毫克): 2376.6676不合适"
